Ensembl_Gene_ID,Gene_name
ENSG00000131697,NPHP4
ENSG00000011143,MKS1
ENSG00000122507,BBS9
ENSG00000125124,BBS2
ENSG00000131018,SYNE1
ENSG00000077327,SPAG6
ENSG00000096093,EFHC1
ENSG00000101222,SPEF1
ENSG00000152763,WDR78
ENSG00000163879,DNALI1
ENSG00000164675,IQUB
ENSG00000172426,RSPH9
ENSG00000183690,EFHC2
ENSG00000119333,WDR34
ENSG00000138587,MNS1
ENSG00000140403,DNAJA4
ENSG00000171497,PPID
ENSG00000092850,TEKT2
ENSG00000103494,RPGRIP1L
ENSG00000068885,IFT80
ENSG00000070761,C16orf80
ENSG00000101052,IFT52
ENSG00000138175,ARL3
ENSG00000163093,BBS5
ENSG00000187535,IFT140
ENSG00000166963,MAP1A
ENSG00000123977,WDR69
ENSG00000119661,DNAL1
ENSG00000100271,TTLL1
ENSG00000105877,DNAH11
ENSG00000118997,DNAH7
ENSG00000158486,DNAH3
ENSG00000197653,DNAH10
ENSG00000115423,DNAH6
ENSG00000155026,RSPH10B
ENSG00000159079,C21orf59
ENSG00000174844,DNAH12
ENSG00000067369,TP53BP1
ENSG00000116127,ALMS1
ENSG00000111554,MDM1
ENSG00000187391,MAGI2
ENSG00000196220,SRGAP3
ENSG00000034239,EFCAB1
ENSG00000111913,FAM65B
ENSG00000112539,C6orf118
ENSG00000112981,NME5
ENSG00000124237,C20orf85
ENSG00000133665,DYDC2
ENSG00000137821,LRRC49
ENSG00000141294,LRRC46
ENSG00000152076,CCDC74B
ENSG00000159713,TPPP3
ENSG00000160345,C9orf116
ENSG00000173947,PIFO
ENSG00000178965,C1orf173
ENSG00000179902,C1orf194
ENSG00000215217,C5orf49
ENSG00000110274,CEP164
ENSG00000106992,AK1
ENSG00000158234,FAIM
ENSG00000101350,KIF3B
ENSG00000204852,TCTN1
ENSG00000085433,WDR47
ENSG00000135541,AHI1
ENSG00000004838,ZMYND10
ENSG00000103021,CCDC113
ENSG00000114473,IQCG
ENSG00000137473,TTC29
ENSG00000145491,ROPN1L
ENSG00000162643,WDR63
ENSG00000162814,SPATA17
ENSG00000205084,TMEM231
ENSG00000170264,FAM161A
ENSG00000064199,SPA17
ENSG00000080572,PIH1D3
ENSG00000100218,RTDR1
ENSG00000103540,CCP110
ENSG00000105792,C7orf63
ENSG00000118513,MYB
ENSG00000129007,CALML4
ENSG00000150773,PIH1D2
ENSG00000154479,CCDC173
ENSG00000155761,SPAG17
ENSG00000162543,UBXN10
ENSG00000164185,ZNF474
ENSG00000172361,CCDC11
ENSG00000172771,EFCAB12
ENSG00000173627,APOBEC4
ENSG00000177994,C2orf73
ENSG00000189350,FAM179A
ENSG00000198003,CCDC151
ENSG00000198553,KCNRG
ENSG00000203778,FAM229B
ENSG00000203780,FANK1
ENSG00000172915,NBEA
ENSG00000075945,KIFAP3
ENSG00000080823,MOK
ENSG00000111834,RSPH4A
ENSG00000131044,TTLL9
ENSG00000163885,CCDC37
ENSG00000197826,C4orf22
ENSG00000138771,SHROOM3
ENSG00000141519,CCDC40
ENSG00000135205,CCDC146
ENSG00000139714,MORN3
ENSG00000159625,CCDC135
ENSG00000169402,RSPH10B2
ENSG00000171174,RBKS
ENSG00000182224,CYB5D1
ENSG00000213204,C6orf165
ENSG00000126870,WDR60
ENSG00000055163,CYFIP2
ENSG00000164114,MAP9
ENSG00000115685,PPP1R7
ENSG00000198947,DMD
ENSG00000168026,TTC21A
ENSG00000025796,SEC63
ENSG00000133265,HSPBP1
ENSG00000110619,CARS
ENSG00000166402,TUB
ENSG00000127914,AKAP9
ENSG00000011485,PPP5C
ENSG00000123416,TUBA1B
ENSG00000167553,TUBA1C
ENSG00000167306,MYO5B
ENSG00000079156,OSBPL6
ENSG00000102781,KATNAL1
ENSG00000144451,SPAG16
ENSG00000119636,CCDC176
ENSG00000128536,CDHR3
ENSG00000129654,FOXJ1
ENSG00000152611,CAPSL
ENSG00000153347,FAM81B
ENSG00000167646,DNAAF3
ENSG00000178053,MLF1
ENSG00000183644,C11orf88
ENSG00000141367,CLTC
ENSG00000163468,CCT3
ENSG00000081870,HSPB11
ENSG00000108883,EFTUD2
ENSG00000156508,EEF1A1
ENSG00000174373,RALGAPA1
ENSG00000197694,SPTAN1
ENSG00000204843,DCTN1
ENSG00000042317,SPATA7
ENSG00000058453,CROCC
ENSG00000070087,PFN2
ENSG00000140463,BBS4
ENSG00000171533,MAP6
ENSG00000175792,RUVBL1
ENSG00000112796,ENPP5
ENSG00000153822,KCNJ16
ENSG00000166592,RRAD
ENSG00000203666,EFCAB2
ENSG00000120051,CCDC147
ENSG00000130413,STK33
ENSG00000141499,WRAP53
ENSG00000168734,PKIG
ENSG00000108946,PRKAR1A
ENSG00000125868,DSTN
ENSG00000174437,ATP2A2
ENSG00000005249,PRKAR2B
ENSG00000075886,TUBA3D
ENSG00000204052,LRRC73
ENSG00000139637,C12orf10
ENSG00000100211,CBY1
ENSG00000134874,DZIP1
ENSG00000162105,SHANK2
ENSG00000163617,KIAA1407
ENSG00000166171,DPCD
ENSG00000166578,IQCD
ENSG00000179029,TMEM107
ENSG00000181004,BBS12
ENSG00000108953,YWHAE
ENSG00000118492,ADGB
ENSG00000140284,SLC27A2
ENSG00000149292,TTC12
ENSG00000152582,SPEF2
ENSG00000156206,C15orf26
ENSG00000156345,CDK20
ENSG00000166352,C11orf74
ENSG00000070718,AP3M2
ENSG00000163001,CCDC104
ENSG00000184831,APOO
ENSG00000163686,ABHD6
ENSG00000101333,PLCB4
ENSG00000197748,WDR96
ENSG00000099995,SF3A1
ENSG00000101104,PABPC1L
ENSG00000039139,DNAH5
ENSG00000100246,DNAL4
ENSG00000119685,TTLL5
ENSG00000175970,UNC119B
ENSG00000213123,TCTEX1D2
ENSG00000136811,ODF2
ENSG00000154380,ENAH
ENSG00000132259,CNGA4
ENSG00000173588,CCDC41
ENSG00000183346,C10orf107
ENSG00000203965,EFCAB7
ENSG00000086758,HUWE1
ENSG00000087191,PSMC5
ENSG00000127948,POR
ENSG00000166598,HSP90B1
ENSG00000196455,PIK3R4
ENSG00000137267,TUBB2A
ENSG00000137285,TUBB2B
ENSG00000161057,PSMC2
ENSG00000122643,NT5C3
ENSG00000135778,NTPCR
ENSG00000074054,CLASP1
ENSG00000087111,PIGS
ENSG00000134308,YWHAQ
ENSG00000119977,TCTN3
ENSG00000127445,PIN1
ENSG00000179387,ELMOD2
ENSG00000182973,CNOT10
ENSG00000198589,LRBA
ENSG00000198612,COPS8
ENSG00000109756,RAPGEF2
ENSG00000143653,SCCPDH
ENSG00000144061,NPHP1
ENSG00000084764,MAPRE3
ENSG00000087460,GNAS
ENSG00000164104,HMGB2
ENSG00000168778,TCTN2
ENSG00000132321,IQCA1
ENSG00000163349,HIPK1
ENSG00000153904,DDAH1
ENSG00000125971,DYNLRB1
ENSG00000010626,LRRC23
ENSG00000088727,KIF9
ENSG00000105519,CAPS
ENSG00000117477,C1orf114
ENSG00000118307,CASC1
ENSG00000120262,CCDC170
ENSG00000133115,STOML3
ENSG00000135951,TSGA10
ENSG00000137691,C11orf70
ENSG00000138400,MDH1B
ENSG00000156042,TTC18
ENSG00000159588,CCDC17
ENSG00000161574,CCL15-CCL14
ENSG00000162004,CCDC78
ENSG00000163040,CCDC74A
ENSG00000164746,C7orf57
ENSG00000164972,C9orf24
ENSG00000167858,TEKT1
ENSG00000168658,VWA3B
ENSG00000169064,ZBBX
ENSG00000171757,LRRC34
ENSG00000173467,AGR3
ENSG00000175664,TEX26
ENSG00000177459,C8orf47
ENSG00000179813,FAM216B
ENSG00000185681,MORN5
ENSG00000186471,AKAP14
ENSG00000188817,SNTN
ENSG00000197208,SLC22A4
ENSG00000204711,C9orf135
ENSG00000155097,ATP6V1C1
ENSG00000111752,PHC1
ENSG00000032389,TSSC1
ENSG00000065665,SEC61A2
ENSG00000165092,ALDH1A1
ENSG00000188352,FOCAD
ENSG00000087903,RFX2
ENSG00000104450,SPAG1
ENSG00000065150,IPO5
ENSG00000226704,HSPA1L
ENSG00000069329,VPS35
ENSG00000109083,IFT20
ENSG00000133026,MYH10
ENSG00000164070,HSPA4L
ENSG00000046651,OFD1
ENSG00000198707,CEP290
ENSG00000068796,KIF2A
ENSG00000087365,SF3B2
ENSG00000096384,HSP90AB1
ENSG00000113558,SKP1
ENSG00000166226,CCT2
ENSG00000204390,HSPA1L
ENSG00000206383,HSPA1L
ENSG00000234258,HSPA1L
ENSG00000236251,HSPA1L
ENSG00000054654,SYNE2
ENSG00000083535,PIBF1
ENSG00000104695,PPP2CB
ENSG00000171703,TCEA2
ENSG00000183914,DNAH2
ENSG00000141013,GAS8
ENSG00000169118,CSNK1G1
ENSG00000089289,IGBP1
ENSG00000243955,GSTA1
ENSG00000244067,GSTA2
ENSG00000103599,IQCH
ENSG00000121413,ZSCAN18
ENSG00000124074,ENKD1
ENSG00000125409,TEKT3
ENSG00000132554,RGS22
ENSG00000135469,COQ10A
ENSG00000140104,C14orf79
ENSG00000140481,CCDC33
ENSG00000149179,C11orf49
ENSG00000158113,LRRC43
ENSG00000160298,C21orf58
ENSG00000160401,C9orf117
ENSG00000166246,C16orf71
ENSG00000170788,DYDC1
ENSG00000174628,IQCK
ENSG00000186952,TMEM232
ENSG00000188659,FAM154B
ENSG00000198920,KIAA0753
ENSG00000100228,RAB36
ENSG00000102904,TSNAXIP1
ENSG00000106012,IQCE
ENSG00000109771,LRP2BP
ENSG00000110318,KIAA1377
ENSG00000114670,NEK11
ENSG00000116793,PHTF1
ENSG00000116885,OSCP1
ENSG00000132122,SPATA6
ENSG00000141665,FBXO15
ENSG00000163075,PCDP1
ENSG00000174007,CEP19
ENSG00000007062,PROM1
ENSG00000187726,DNAJB13
ENSG00000119650,IFT43
ENSG00000127824,TUBA4A
ENSG00000135315,KIAA1009
ENSG00000153140,CETN3
ENSG00000135338,LCA5
ENSG00000109971,HSPA8
ENSG00000010361,FUZ
ENSG00000164066,INTU
ENSG00000168014,C2CD3
ENSG00000174483,BBS1
ENSG00000082701,GSK3B
ENSG00000197535,MYO5A
ENSG00000083312,TNPO1
ENSG00000229684,TUBB
ENSG00000042781,USH2A
ENSG00000137100,DCTN3
ENSG00000104237,RP1
ENSG00000130638,ATXN10
ENSG00000251569,BBS5
ENSG00000130363,RSPH3
ENSG00000141551,CSNK1D
ENSG00000114841,DNAH1
ENSG00000256061,DYX1C1
ENSG00000175216,CKAP5
ENSG00000169126,ARMC4
ENSG00000110367,DDX6
ENSG00000126001,CEP250
ENSG00000170312,CDK1
ENSG00000080824,HSP90AA1
ENSG00000160299,PCNT
ENSG00000108641,B9D1
ENSG00000137601,NEK1
ENSG00000145075,CCDC39
ENSG00000155530,LRGUK
ENSG00000109062,SLC9A3R1
ENSG00000078142,PIK3C3
ENSG00000150433,TMEM218
ENSG00000163482,STK36
ENSG00000159720,ATP6V0D1
ENSG00000058668,ATP2B4
ENSG00000072062,PRKACA
ENSG00000103769,RAB11A
ENSG00000105479,CCDC114
ENSG00000198718,FAM179B
ENSG00000105568,PPP2R1A
ENSG00000156261,CCT8
ENSG00000164087,POC1A
ENSG00000174799,CEP135
ENSG00000196236,XPNPEP3
ENSG00000119397,CNTRL
ENSG00000131711,MAP1B
ENSG00000152556,PFKM
ENSG00000173226,IQCB1
ENSG00000130640,TUBGCP2
ENSG00000131558,EXOC4
ENSG00000141577,AZI1
ENSG00000157869,RAB28
ENSG00000165695,AK8
ENSG00000100503,NIN
ENSG00000112144,ICK
ENSG00000167131,CCDC103
ENSG00000080298,RFX3
ENSG00000007168,PAFAH1B1
ENSG00000078668,VDAC3
ENSG00000142609,C1orf222
ENSG00000148498,PARD3
ENSG00000104833,TUBB4A
ENSG00000137343,ATAT1
ENSG00000079335,CDC14A
ENSG00000099901,RANBP1
ENSG00000100554,ATP6V1D
ENSG00000095397,DFNB31
ENSG00000146038,DCDC2
ENSG00000158163,DZIP1L
ENSG00000174898,CATSPERD
ENSG00000188596,C12orf55
ENSG00000165506,DNAAF2
ENSG00000170703,TTLL6
ENSG00000074935,TUBE1
ENSG00000067225,PKM
ENSG00000152669,CCNO
ENSG00000138190,EXOC6
ENSG00000106477,CEP41
ENSG00000214413,BBIP1
ENSG00000114302,PRKAR2A
ENSG00000132932,ATP8A2
ENSG00000168036,CTNNB1
ENSG00000124198,ARFGEF2
ENSG00000137474,MYO7A
ENSG00000135046,ANXA1
ENSG00000168944,CEP120
ENSG00000155755,TMEM237
ENSG00000099204,ABLIM1
ENSG00000135912,TTLL4
ENSG00000054116,TRAPPC3
ENSG00000156973,PDE6D
ENSG00000186889,TMEM17
ENSG00000185920,PTCH1
ENSG00000109944,C11orf63
ENSG00000137822,TUBGCP4
ENSG00000156172,C8orf37
ENSG00000164818,HEATR2
ENSG00000171811,TTC40
ENSG00000079805,DNM2
ENSG00000113712,CSNK1A1
ENSG00000132341,RAN
ENSG00000204435,CSNK2B
ENSG00000117155,SSX2IP
ENSG00000137941,TTLL7
ENSG00000188878,FBF1
ENSG00000131462,TUBG1
ENSG00000183311,TUBB
ENSG00000196230,TUBB
ENSG00000197102,DYNC1H1
ENSG00000224156,TUBB
ENSG00000227739,TUBB
ENSG00000232421,TUBB
ENSG00000232575,TUBB
ENSG00000235067,TUBB
ENSG00000196981,WDR5B
ENSG00000196924,FLNA
ENSG00000047849,MAP4
ENSG00000134202,GSTM3
ENSG00000167632,TRAPPC9
ENSG00000142875,PRKACB
ENSG00000092200,RPGRIP1
ENSG00000117650,NEK2
ENSG00000132881,RSG1
ENSG00000181378,CCDC108
ENSG00000088256,GNA11
ENSG00000092820,EZR
ENSG00000126216,TUBGCP3
ENSG00000164199,GPR98
ENSG00000213066,FGFR1OP
ENSG00000106571,GLI3
ENSG00000146425,DYNLT1
ENSG00000186638,KIF24
ENSG00000102001,CACNA1F
ENSG00000148019,CEP78
ENSG00000054282,SDCCAG8
ENSG00000101004,NINL
ENSG00000213024,NUP62
ENSG00000138686,BBS7
ENSG00000168280,KIF5C
ENSG00000168385,2-Sep
ENSG00000180104,EXOC3
ENSG00000144848,ATG3
ENSG00000152240,HAUS1
ENSG00000015676,NUDCD3
ENSG00000091536,MYO15A
ENSG00000115355,CCDC88A
ENSG00000130702,LAMA5
ENSG00000142192,APP
ENSG00000158079,PTPDC1
ENSG00000077684,PHF17
ENSG00000143951,WDPCP
ENSG00000198089,SFI1
ENSG00000163382,APOA1BP
ENSG00000197386,HTT
ENSG00000048545,GUCA1A
ENSG00000069966,GNB5
ENSG00000112210,RAB23
ENSG00000144191,CNGA3
ENSG00000165059,PRKACG
ENSG00000148180,GSN
ENSG00000137942,FNBP1L
ENSG00000156876,SASS6
ENSG00000160602,NEK8
ENSG00000169762,TAPT1
ENSG00000185842,DNAH14
ENSG00000213923,CSNK1E
ENSG00000139323,POC1B
ENSG00000111254,AKAP3
ENSG00000117245,KIF17
ENSG00000151208,DLG5
ENSG00000078246,TULP3
ENSG00000114904,NEK4
ENSG00000119401,TRIM32
ENSG00000121289,CEP89
ENSG00000127328,RAB3IP
ENSG00000188343,FAM92A1
ENSG00000106524,ANKMY2
ENSG00000146350,C6orf170
ENSG00000148384,INPP5E
ENSG00000165115,KIF27
ENSG00000178234,GALNT11
ENSG00000105220,GPI
ENSG00000206488,ATAT1
ENSG00000223752,ATAT1
ENSG00000229061,ATAT1
ENSG00000231257,ATAT1
ENSG00000234549,ATAT1
ENSG00000235658,ATAT1
ENSG00000128881,TTBK2
ENSG00000124721,DNAH8
ENSG00000130561,SAG
ENSG00000133393,FOPNL
ENSG00000116198,CEP104
ENSG00000160226,C21orf2
ENSG00000182504,CEP97
ENSG00000140263,SORD
ENSG00000164690,SHH
ENSG00000186094,AGBL4
ENSG00000124839,RAB17
ENSG00000119705,SLIRP
ENSG00000076201,PTPN23
ENSG00000077380,DYNC1I2
ENSG00000078369,GNB1
ENSG00000104892,KLC3
ENSG00000112041,TULP1
ENSG00000124659,TBCC
ENSG00000125354,6-Sep
ENSG00000138107,ACTR1A
ENSG00000153317,ASAP1
ENSG00000160218,TRAPPC10
ENSG00000167461,RAB8A
ENSG00000168374,ARF4
ENSG00000170759,KIF5B
ENSG00000175203,DCTN2
ENSG00000214415,GNAT3
ENSG00000122545,7-Sep
ENSG00000132639,SNAP25
ENSG00000184640,9-Sep
ENSG00000141933,TPGS1
ENSG00000085832,EPS15
ENSG00000100379,KCTD17
ENSG00000118762,PKD2
ENSG00000179397,C1orf101
ENSG00000244607,CCDC13
ENSG00000153789,FAM92B
ENSG00000114107,CEP70
ENSG00000123473,STIL
ENSG00000149483,TMEM138
ENSG00000154040,CABYR
ENSG00000166037,CEP57
ENSG00000187049,TMEM216
ENSG00000214021,TTLL3
ENSG00000081377,CDC14B
ENSG00000091140,DLD
ENSG00000102218,RP2
ENSG00000176101,SSNA1
ENSG00000177143,CETN1
ENSG00000197548,ATG7
ENSG00000004455,AK2
ENSG00000040199,PHLPP2
ENSG00000084731,KIF3C
ENSG00000125257,ABCC4
ENSG00000170296,GABARAP
ENSG00000187775,DNAH17
ENSG00000155980,KIF5A
ENSG00000072864,NDE1
ENSG00000101624,CEP76
ENSG00000113971,NPHP3
ENSG00000117724,CENPF
ENSG00000198331,HYLS1
ENSG00000186710,CCDC42B
ENSG00000248710,TRIM59
ENSG00000008710,PKD1
ENSG00000125863,MKKS
ENSG00000139350,NEDD1
ENSG00000176225,RTTN
ENSG00000179941,BBS10
ENSG00000249115,HAUS5
ENSG00000070367,EXOC5
ENSG00000070729,CNGB1
ENSG00000102076,OPN1LW
ENSG00000108370,RGS9
ENSG00000108387,4-Sep
ENSG00000112619,PRPH2
ENSG00000114349,GNAT1
ENSG00000116703,PDC
ENSG00000120500,ARR3
ENSG00000132518,GUCY2D
ENSG00000144036,EXOC6B
ENSG00000147044,CASK
ENSG00000163914,RHO
ENSG00000047617,ANO2
ENSG00000100592,DAAM1
ENSG00000101890,GUCY2F
ENSG00000133256,PDE6B
ENSG00000148600,CDHR1
ENSG00000149489,ROM1
ENSG00000156052,GNAQ
ENSG00000142731,PLK4
ENSG00000107954,NEURL
ENSG00000111783,RFX4
ENSG00000147081,AKAP4
ENSG00000173805,HAP1
ENSG00000111087,GLI1
ENSG00000157093,LYZL4
ENSG00000006611,USH1C
ENSG00000007047,MARK4
ENSG00000008300,CELSR3
ENSG00000072840,EVC
ENSG00000095906,NUBP2
ENSG00000099940,SNAP29
ENSG00000102931,ARL2BP
ENSG00000103995,CEP152
ENSG00000116747,TROVE2
ENSG00000119509,INVS
ENSG00000126883,NUP214
ENSG00000136861,CDK5RAP2
ENSG00000139437,TCHP
ENSG00000143801,PSEN2
ENSG00000153575,TUBGCP5
ENSG00000160007,ARHGAP35
ENSG00000166851,PLK1
ENSG00000174233,ADCY6
ENSG00000205250,E2F4
ENSG00000111490,TBC1D30
ENSG00000177947,ODF3
ENSG00000085840,ORC1
ENSG00000103274,NUBP1
ENSG00000119048,UBE2B
ENSG00000151849,CENPJ
ENSG00000188191,PRKAR1B
ENSG00000013016,EHD3
ENSG00000084733,RAB10
ENSG00000101367,MAPRE1
ENSG00000110047,EHD1
ENSG00000115091,ACTR3
ENSG00000150275,PCDH15
ENSG00000170027,YWHAG
ENSG00000087586,AURKA
ENSG00000116213,WRAP73
ENSG00000170950,PGK2
ENSG00000213186,TRIM59
ENSG00000153310,FAM49B
ENSG00000075188,NUP37
ENSG00000092036,HAUS4
ENSG00000100578,KIAA0586
ENSG00000112742,TTK
ENSG00000114547,ROPN1B
ENSG00000122126,OCRL
ENSG00000124678,TCP11
ENSG00000125388,GRK4
ENSG00000126603,GLIS2
ENSG00000128602,SMO
ENSG00000151466,SCLT1
ENSG00000152061,RABGAP1L
ENSG00000154803,FLCN
ENSG00000155066,PROM2
ENSG00000166762,CATSPER2
ENSG00000180638,SLC47A2
ENSG00000196169,KIF19
ENSG00000205038,PKHD1L1
ENSG00000188026,RILPL1
ENSG00000172139,SLC9C1
ENSG00000183862,CNGA2
ENSG00000215203,GRXCR1
ENSG00000234602,MCIN
ENSG00000094631,HDAC6
ENSG00000108753,HNF1B
ENSG00000150977,RILPL2
ENSG00000161048,NAPEPLD
ENSG00000168038,ULK4
ENSG00000170927,PKHD1
ENSG00000177042,TMEM80
ENSG00000197603,C5orf42
ENSG00000166813,KIF7
ENSG00000057663,ATG5
ENSG00000061656,SPAG4
ENSG00000074047,GLI2
ENSG00000102935,ZNF423
ENSG00000102981,PARD6A
ENSG00000105650,PDE4C
ENSG00000111199,TRPV4
ENSG00000111319,SCNN1A
ENSG00000124587,PEX6
ENSG00000140526,ABHD2
ENSG00000145536,ADAMTS16
ENSG00000149295,DRD2
ENSG00000163002,NUP35
ENSG00000173040,EVC2
ENSG00000182923,CEP63
ENSG00000187003,ACTL7A
ENSG00000205795,CYS1
ENSG00000219435,TEX40
ENSG00000225697,SLC26A6
ENSG00000139998,RAB15
ENSG00000255374,TAS2R43
ENSG00000260092,RP11-77K12.7
ENSG00000261949,CTD-3148I10.1
ENSG00000262525,TAS2R46
ENSG00000262612,TAS2R43
ENSG00000112599,GUCA1B
ENSG00000127928,GNGT1
ENSG00000128617,OPN1SW
ENSG00000132915,PDE6A
ENSG00000134183,GNAT2
ENSG00000138071,ACTR2
ENSG00000156194,PPEF2
ENSG00000166900,STX3
ENSG00000185974,GRK1
ENSG00000186326,RGS9BP
ENSG00000198515,CNGA1
ENSG00000198691,ABCA4
ENSG00000107736,CDH23
ENSG00000110497,AMBRA1
ENSG00000131351,HAUS8
ENSG00000134086,VHL
ENSG00000156515,HK1
ENSG00000160050,CCDC28B
ENSG00000166454,ATMIN
ENSG00000171495,MROH2B
ENSG00000196363,WDR5
ENSG00000211455,STK38L
ENSG00000214367,HAUS3
ENSG00000086288,NME8
ENSG00000100815,TRIP11
ENSG00000102900,NUP93
ENSG00000162738,VANGL2
ENSG00000162946,DISC1
ENSG00000165138,ANKS6
ENSG00000179532,DNHD1
ENSG00000181751,C5orf30
ENSG00000186862,PDZD7
ENSG00000213213,KIAA1984
ENSG00000133962,CATSPERB
ENSG00000162456,KNCN
ENSG00000138892,TTLL8
ENSG00000163060,TEKT4
ENSG00000178404,CTD-2373H9.6
ENSG00000182077,PTCHD3
ENSG00000188396,TCTEX1D4
ENSG00000188452,CERKL
ENSG00000188523,C9orf171
ENSG00000188782,CATSPER4
ENSG00000214513,NOTO
ENSG00000226761,TAS2R46
ENSG00000226784,PGAM4
ENSG00000142208,AKT1
ENSG00000173093,CCDC63
ENSG00000268221,OPN1MW
ENSG00000044012,GUCA2B
ENSG00000064300,NGFR
ENSG00000069974,RAB27A
ENSG00000075073,TACR2
ENSG00000083799,CYLD
ENSG00000092964,DPYSL2
ENSG00000104804,TULP2
ENSG00000105974,CAV1
ENSG00000107404,DVL1
ENSG00000107593,PKD2L1
ENSG00000107882,SUFU
ENSG00000113248,PCDHB15
ENSG00000113249,HAVCR1
ENSG00000115353,TACR1
ENSG00000119547,ONECUT2
ENSG00000123901,GPR83
ENSG00000124818,OPN5
ENSG00000128159,TUBGCP6
ENSG00000135100,HNF1A
ENSG00000136425,CIB2
ENSG00000137075,RNF38
ENSG00000138472,GUCA1C
ENSG00000140474,ULK3
ENSG00000140941,MAP1LC3B
ENSG00000142459,EVI5L
ENSG00000143199,ADCY10
ENSG00000147874,HAUS6
ENSG00000152705,CATSPER3
ENSG00000153208,MERTK
ENSG00000154678,PDE1C
ENSG00000158683,PKD1L1
ENSG00000161011,SQSTM1
ENSG00000162496,DHRS3
ENSG00000164037,SLC9B1
ENSG00000164161,HHIP
ENSG00000165376,CLDN2
ENSG00000169344,UMOD
ENSG00000169856,ONECUT1
ENSG00000170011,MYRIP
ENSG00000179270,C2orf71
ENSG00000180245,RRH
ENSG00000180758,GPR157
ENSG00000183473,SSTR3
ENSG00000184845,DRD1
ENSG00000185149,NPY2R
ENSG00000186792,HYAL3
ENSG00000197579,TOPORS
ENSG00000198754,OXCT2
ENSG00000212122,TSSK1B
ENSG00000018408,WWTR1
ENSG00000090565,RAB11FIP3
ENSG00000099338,CATSPERG
ENSG00000101639,CEP192
ENSG00000112877,CEP72
ENSG00000126775,ATG14
ENSG00000130338,TULP4
ENSG00000135407,AVIL
ENSG00000137814,HAUS2
ENSG00000143147,GPR161
ENSG00000145979,TBC1D7
ENSG00000151475,SLC25A31
ENSG00000152894,PTPRK
ENSG00000154429,CCSAP
ENSG00000155087,ODF1
ENSG00000166796,LDHC
ENSG00000169676,DRD5
ENSG00000173020,ADRBK1
ENSG00000175294,CATSPER1
ENSG00000175764,TTLL11
ENSG00000213397,HAUS7
ENSG00000244187,TMEM141
ENSG00000080815,PSEN1
ENSG00000085978,ATG16L1
ENSG00000100644,HIF1A
ENSG00000137877,SPTBN5
ENSG00000170289,CNGB3
ENSG00000182040,USH1G
ENSG00000185900,SGK196
ENSG00000004948,CALCR
ENSG00000034971,MYOC
ENSG00000039987,BEST2
ENSG00000054277,OPN3
ENSG00000086300,SNX10
ENSG00000091138,SLC26A3
ENSG00000095303,PTGS1
ENSG00000100078,PLA2G3
ENSG00000112486,CCR6
ENSG00000114124,GRK7
ENSG00000115459,ELMOD3
ENSG00000120370,GORAB
ENSG00000122375,OPN4
ENSG00000123999,INHA
ENSG00000125831,CST11
ENSG00000127364,TAS2R4
ENSG00000128285,MCHR1
ENSG00000128310,GALR3
ENSG00000130545,CRB3
ENSG00000138031,ADCY3
ENSG00000140623,12-Sep
ENSG00000145309,CABS1
ENSG00000148400,NOTCH1
ENSG00000153060,TEKT5
