gene_claim_name,gene_concept_id,Gene_name,interaction_source_db_name,interaction_source_db_version,interaction_type,interaction_score,drug_claim_name,drug_concept_id,drug_name,approved,immunotherapy,anti_neoplastic
UNIPROT:P14416,hgnc:3023,DRD2,TEND,1-Aug-11,,0.04180018,RISPERIDONE,rxcui:35636,RISPERIDONE,TRUE,FALSE,FALSE
DOPAMINE D2 RECEPTOR,hgnc:3023,DRD2,TTD,2020.06.01,,0.031350135,Levodopa,rxcui:6375,LEVODOPA,TRUE,FALSE,FALSE
UNIPROT:P14416,hgnc:3023,DRD2,TEND,1-Aug-11,,0.066619037,BROMOCRIPTINE,rxcui:1760,BROMOCRIPTINE,TRUE,FALSE,FALSE
TUBB3,hgnc:20772,TUBB3,ChEMBL,32,inhibitor,0.047951263,VINFLUNINE,ncit:C61564,VINFLUNINE,TRUE,FALSE,FALSE
TUBA1C,hgnc:20768,TUBA1C,DTC,5-Jun-23,,0.125090252,PODOFILOX,rxcui:8463,PODOFILOX,TRUE,FALSE,TRUE
TUBA4A,hgnc:12407,TUBA4A,DTC,5-Jun-23,,0.021796029,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE
DRD2,hgnc:3023,DRD2,ChEMBL,32,inhibitor,0.059216922,PROCHLORPERAZINE MALEATE,rxcui:8704,PROCHLORPERAZINE,TRUE,FALSE,FALSE
DRD2,hgnc:3023,DRD2,ChEMBL,32,inhibitor,0.355301529,FLUPHENAZINE ENANTHATE,rxcui:30129,FLUPHENAZINE ENANTHATE,TRUE,FALSE,FALSE
DRD2,hgnc:3023,DRD2,ChEMBL,32,inhibitor,0.096900417,PALIPERIDONE,rxcui:679314,PALIPERIDONE,TRUE,FALSE,FALSE
TUBB2B,hgnc:30829,TUBB2B,ChEMBL,32,inhibitor,0.140726534,COLCHICINE,rxcui:2683,COLCHICINE,TRUE,FALSE,FALSE
TUBA4A,hgnc:12407,TUBA4A,ChEMBL,32,inhibitor,0.140726534,COLCHICINE,rxcui:2683,COLCHICINE,TRUE,FALSE,FALSE
TUBA1C,hgnc:20768,TUBA1C,ChEMBL,32,inhibitor,0.140726534,COLCHICINE,rxcui:2683,COLCHICINE,TRUE,FALSE,FALSE
TUBA1B,hgnc:18809,TUBA1B,ChEMBL,32,inhibitor,0.140726534,COLCHICINE,rxcui:2683,COLCHICINE,TRUE,FALSE,FALSE
DRD2,hgnc:3023,DRD2,ChEMBL,32,inhibitor,0.040114689,CLOZAPINE,rxcui:2626,CLOZAPINE,TRUE,FALSE,FALSE
DRD2,hgnc:3023,DRD2,ChEMBL,32,inhibitor,0.236867686,LOXAPINE,rxcui:6475,LOXAPINE,TRUE,FALSE,FALSE
DRD2,hgnc:3023,DRD2,ChEMBL,32,inhibitor,0.064600278,THIORIDAZINE HYDROCHLORIDE,rxcui:10502,THIORIDAZINE,TRUE,FALSE,FALSE
DRD2,hgnc:3023,DRD2,ChEMBL,32,inhibitor,0.064600278,THIORIDAZINE,rxcui:10502,THIORIDAZINE,TRUE,FALSE,FALSE
DRD2,hgnc:3023,DRD2,ChEMBL,32,agonist,0.213180918,ROTIGOTINE,rxcui:616739,ROTIGOTINE,TRUE,FALSE,FALSE
TUBA4A,hgnc:12407,TUBA4A,ChEMBL,32,inhibitor,0.044954309,ENFORTUMAB VEDOTIN,rxcui:2268306,ENFORTUMAB VEDOTIN-EJFV,TRUE,FALSE,TRUE
TUBA1B,hgnc:18809,TUBA1B,ChEMBL,32,inhibitor,0.044954309,ENFORTUMAB VEDOTIN,rxcui:2268306,ENFORTUMAB VEDOTIN-EJFV,TRUE,FALSE,TRUE
TUBA3C,hgnc:12408,TUBA3C,ChEMBL,32,inhibitor,0.044954309,ENFORTUMAB VEDOTIN,rxcui:2268306,ENFORTUMAB VEDOTIN-EJFV,TRUE,FALSE,TRUE
TUBA1C,hgnc:20768,TUBA1C,ChEMBL,32,inhibitor,0.044954309,ENFORTUMAB VEDOTIN,rxcui:2268306,ENFORTUMAB VEDOTIN-EJFV,TRUE,FALSE,TRUE
TUBA3D,hgnc:24071,TUBA3D,DTC,5-Jun-23,,0.488447651,PODOFILOX,rxcui:8463,PODOFILOX,TRUE,FALSE,TRUE
TUBB2A,hgnc:12412,TUBB2A,DTC,5-Jun-23,,0.122111913,PODOFILOX,rxcui:8463,PODOFILOX,TRUE,FALSE,TRUE
TUBB2B,hgnc:30829,TUBB2B,DTC,5-Jun-23,,0.031272563,VORINOSTAT,rxcui:194337,VORINOSTAT,TRUE,FALSE,TRUE
DRD2,hgnc:3023,DRD2,DTC,5-Jun-23,,0.040114689,CLOZAPINE,rxcui:2626,CLOZAPINE,TRUE,FALSE,FALSE
DRD2,hgnc:3023,DRD2,NCI,14-Sep-17,,0.040114689,CLOZAPINE,rxcui:2626,CLOZAPINE,TRUE,FALSE,FALSE
NOS1,hgnc:7872,NOS1,NCI,14-Sep-17,,0.357454872,GINKGO BILOBA,rxcui:236809,GINKGO BILOBA EXTRACT,TRUE,FALSE,FALSE
PRKCA,hgnc:9393,PRKCA,PharmGKB,5-Jun-23,,0.136527903,bevacizumab,rxcui:2046138,BEVACIZUMAB-AWWB,TRUE,TRUE,TRUE
BMP7,hgnc:1074,BMP7,PharmGKB,5-Jun-23,,0.040958371,doxorubicin,rxcui:142433,DOXORUBICIN HYDROCHLORIDE,TRUE,FALSE,TRUE
UNIPROT:P14416,hgnc:3023,DRD2,TdgClinicalTrial,14-Jan,,0.101514723,APOMORPHINE,rxcui:1043,APOMORPHINE,TRUE,FALSE,FALSE
UNIPROT:P14416,hgnc:3023,DRD2,TdgClinicalTrial,14-Jan,,0.096900417,PALIPERIDONE,rxcui:679314,PALIPERIDONE,TRUE,FALSE,FALSE
UNIPROT:P17252,hgnc:9393,PRKCA,TdgClinicalTrial,14-Jan,,0.223409295,INGENOL MEBUTATE,rxcui:1242806,INGENOL MEBUTATE,TRUE,FALSE,FALSE
UNIPROT:Q9UBN7,hgnc:14064,HDAC6,TdgClinicalTrial,14-Jan,,0.501531071,BELINOSTAT,rxcui:1543543,BELINOSTAT,TRUE,FALSE,TRUE
UNIPROT:P07437,hgnc:20778,TUBB,TdgClinicalTrial,14-Jan,,0.05933607,VINCRISTINE,rxcui:11202,VINCRISTINE,TRUE,FALSE,TRUE
UNIPROT:P14416,hgnc:3023,DRD2,TdgClinicalTrial,14-Jan,,0.071060306,FLUPHENAZINE,rxcui:203207,FLUPHENAZINE HYDROCHLORIDE,TRUE,FALSE,FALSE
UNIPROT:P14416,hgnc:3023,DRD2,TdgClinicalTrial,14-Jan,,0.064600278,THIORIDAZINE,rxcui:10502,THIORIDAZINE,TRUE,FALSE,FALSE
UNIPROT:P14416,hgnc:3023,DRD2,TEND,1-Aug-11,,0.096900417,PALIPERIDONE,rxcui:679314,PALIPERIDONE,TRUE,FALSE,FALSE
UNIPROT:P14416,hgnc:3023,DRD2,TEND,1-Aug-11,,0.213180918,ROTIGOTINE,rxcui:616739,ROTIGOTINE,TRUE,FALSE,FALSE
TUBULIN BETA-2 CHAIN,hgnc:12412,TUBB2A,TTD,2020.06.01,,0.085108303,Vinblastine,rxcui:11198,VINBLASTINE,TRUE,FALSE,TRUE
DOPAMINE D2 RECEPTOR,hgnc:3023,DRD2,TTD,2020.06.01,,0.118433843,Aripiprazole,rxcui:1673265,ARIPIPRAZOLE LAUROXIL,TRUE,FALSE,FALSE
DOPAMINE D2 RECEPTOR,hgnc:3023,DRD2,TTD,2020.06.01,,0.050757361,Levomepromazine,rxcui:6852,METHOTRIMEPRAZINE,TRUE,FALSE,FALSE
DOPAMINE D2 RECEPTOR,hgnc:3023,DRD2,TTD,2020.06.01,,0.064600278,Thioridazine,rxcui:10502,THIORIDAZINE,TRUE,FALSE,FALSE
AKT1,hgnc:391,AKT1,CIViC,5-Jun-23,,0.024781535,VEMURAFENIB,rxcui:1147220,VEMURAFENIB,TRUE,FALSE,TRUE
TUBB4A,hgnc:20774,TUBB4A,DTC,5-Jun-23,,0.021796029,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE
TUBA1B,hgnc:18809,TUBA1B,DTC,5-Jun-23,,0.021796029,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE
DRD2,hgnc:3023,DRD2,ChEMBL,32,inhibitor,0.118433843,CARPHENAZINE MALEATE,ncit:C65289,CARPHENAZINE MALEATE,TRUE,FALSE,FALSE
HTT,hgnc:4851,HTT,DTC,5-Jun-23,,0.022976258,FLUSPIRILENE,rxcui:4507,FLUSPIRILENE,TRUE,FALSE,FALSE
TUBA1B,hgnc:18809,TUBA1B,DTC,5-Jun-23,,0.125090252,PODOFILOX,rxcui:8463,PODOFILOX,TRUE,FALSE,TRUE
CTNNB1,hgnc:2514,CTNNB1,PharmGKB,5-Jun-23,,0.054993057,celecoxib,rxcui:140587,CELECOXIB,TRUE,FALSE,TRUE
DRD2,hgnc:3023,DRD2,ChEMBL,32,inhibitor,0.177650765,THIOTHIXENE,rxcui:10510,THIOTHIXENE,TRUE,FALSE,FALSE
DRD2,hgnc:3023,DRD2,ChEMBL,32,inhibitor,0.071060306,PERPHENAZINE,rxcui:8076,PERPHENAZINE,TRUE,FALSE,FALSE
TUBB4A,hgnc:20774,TUBB4A,ChEMBL,32,inhibitor,0.140726534,COLCHICINE,rxcui:2683,COLCHICINE,TRUE,FALSE,FALSE
TUBB4B,hgnc:20771,TUBB4B,ChEMBL,32,inhibitor,0.139031033,COLCHICINE,rxcui:2683,COLCHICINE,TRUE,FALSE,FALSE
TUBB2A,hgnc:12412,TUBB2A,ChEMBL,32,inhibitor,0.137375902,COLCHICINE,rxcui:2683,COLCHICINE,TRUE,FALSE,FALSE
DRD2,hgnc:3023,DRD2,ChEMBL,32,agonist,0.118433843,PRAMIPEXOLE DIHYDROCHLORIDE,rxcui:236747,PRAMIPEXOLE DIHYDROCHLORIDE,TRUE,FALSE,FALSE
DRD2,hgnc:3023,DRD2,ChEMBL,32,inhibitor,0.02090009,CHLORPROMAZINE HYDROCHLORIDE,rxcui:104728,CHLORPROMAZINE HYDROCHLORIDE,TRUE,FALSE,FALSE
DRD2,hgnc:3023,DRD2,ChEMBL,32,inhibitor,0.071060306,LOXAPINE HYDROCHLORIDE,rxcui:91138,LOXAPINE HYDROCHLORIDE,TRUE,FALSE,FALSE
TUBA4A,hgnc:12407,TUBA4A,ChEMBL,32,inhibitor,0.047951263,VINFLUNINE,ncit:C61564,VINFLUNINE,TRUE,FALSE,FALSE
TUBB4A,hgnc:20774,TUBB4A,ChEMBL,32,inhibitor,0.047951263,VINFLUNINE,ncit:C61564,VINFLUNINE,TRUE,FALSE,FALSE
TUBB,hgnc:20778,TUBB,ChEMBL,32,inhibitor,0.040122486,VINFLUNINE,ncit:C61564,VINFLUNINE,TRUE,FALSE,FALSE
TUBA3C,hgnc:12408,TUBA3C,ChEMBL,32,inhibitor,0.047951263,VINFLUNINE,ncit:C61564,VINFLUNINE,TRUE,FALSE,FALSE
TUBB4B,hgnc:20771,TUBB4B,ChEMBL,32,inhibitor,0.044412691,ENFORTUMAB VEDOTIN,rxcui:2268306,ENFORTUMAB VEDOTIN-EJFV,TRUE,FALSE,TRUE
TUBB,hgnc:20778,TUBB,DTC,5-Jun-23,,0.104667354,PODOFILOX,rxcui:8463,PODOFILOX,TRUE,FALSE,TRUE
TUBB4B,hgnc:20771,TUBB4B,DTC,5-Jun-23,,0.123583141,PODOFILOX,rxcui:8463,PODOFILOX,TRUE,FALSE,TRUE
HTT,hgnc:4851,HTT,DTC,5-Jun-23,,0.016982451,THIOMERSAL,rxcui:10472,THIMEROSAL,TRUE,FALSE,FALSE
HTT,hgnc:4851,HTT,DTC,5-Jun-23,,0.097649096,OXYBENZONE,rxcui:32673,OXYBENZONE,TRUE,FALSE,FALSE
TUBB4A,hgnc:20774,TUBB4A,DTC,5-Jun-23,,0.031272563,VORINOSTAT,rxcui:194337,VORINOSTAT,TRUE,FALSE,TRUE
TUBA1C,hgnc:20768,TUBA1C,DTC,5-Jun-23,,0.031272563,VORINOSTAT,rxcui:194337,VORINOSTAT,TRUE,FALSE,TRUE
TUBB4B,hgnc:20771,TUBB4B,DTC,5-Jun-23,,0.030895785,VORINOSTAT,rxcui:194337,VORINOSTAT,TRUE,FALSE,TRUE
HTT,hgnc:4851,HTT,DTC,5-Jun-23,,0.008877191,IDARUBICIN,rxcui:5650,IDARUBICIN,TRUE,FALSE,TRUE
TUBB2A,hgnc:12412,TUBB2A,DTC,5-Jun-23,,0.021277076,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE
TUBA1C,hgnc:20768,TUBA1C,DTC,5-Jun-23,,0.021796029,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE
NOS1,hgnc:7872,NOS1,NCI,14-Sep-17,,0.031355691,RAPAMYCIN,rxcui:35302,SIROLIMUS,TRUE,TRUE,TRUE
KLC3,hgnc:20717,KLC3,PharmGKB,5-Jun-23,,0.278207801,fluorouracil,rxcui:4492,FLUOROURACIL,TRUE,FALSE,TRUE
HDAC6,hgnc:14064,HDAC6,TALC,12-May-16,inhibitor,0.22468592,PANOBINOSTAT,rxcui:1603350,PANOBINOSTAT,TRUE,FALSE,TRUE
UNIPROT:P14416,hgnc:3023,DRD2,TdgClinicalTrial,14-Jan,,0.355301529,MOLINDONE,rxcui:7019,MOLINDONE,TRUE,FALSE,FALSE
UNIPROT:P07437,hgnc:20778,TUBB,TdgClinicalTrial,14-Jan,,0.091187467,VINBLASTINE,rxcui:11198,VINBLASTINE,TRUE,FALSE,TRUE
UNIPROT:P14416,hgnc:3023,DRD2,TEND,1-Aug-11,,0.266476147,CARPHENAZINE,ncit:C73285,CARPHENAZINE,TRUE,FALSE,FALSE
UNIPROT:P14416,hgnc:3023,DRD2,TEND,1-Aug-11,,0.355301529,MOLINDONE,rxcui:7019,MOLINDONE,TRUE,FALSE,FALSE
UNIPROT:P07437,hgnc:20778,TUBB,TEND,1-Aug-11,,0.057317837,IXABEPILONE,rxcui:337523,IXABEPILONE,TRUE,FALSE,FALSE
DOPAMINE D2 RECEPTOR,hgnc:3023,DRD2,TTD,2020.06.01,,0.01480423,Methamphetamine,rxcui:6816,METHAMPHETAMINE,TRUE,FALSE,FALSE
DOPAMINE D2 RECEPTOR,hgnc:3023,DRD2,TTD,2020.06.01,,0.177650765,Thiothixene,rxcui:10510,THIOTHIXENE,TRUE,FALSE,FALSE
CTNNB1,hgnc:2514,CTNNB1,JAX-CKB,5-Jun-23,,0.105133786,Cetuximab,rxcui:318341,CETUXIMAB,TRUE,TRUE,TRUE
TUBB4A,hgnc:20774,TUBB4A,ChEMBL,32,inhibitor,0.044954309,ENFORTUMAB VEDOTIN,rxcui:2268306,ENFORTUMAB VEDOTIN-EJFV,TRUE,FALSE,TRUE
CSNK1A1,hgnc:2451,CSNK1A1,NCI,14-Sep-17,,0.216838433,HEPARIN,rxcui:104466,TINZAPARIN SODIUM,TRUE,FALSE,FALSE
TUBA3D,hgnc:24071,TUBA3D,DTC,5-Jun-23,,0.122111913,VORINOSTAT,rxcui:194337,VORINOSTAT,TRUE,FALSE,TRUE
HTT,hgnc:4851,HTT,DTC,5-Jun-23,,0.027899742,TERFENADINE,rxcui:42330,TERFENADINE,TRUE,FALSE,FALSE
DOPAMINE D2 RECEPTOR,hgnc:3023,DRD2,TTD,2020.06.01,,0.027330887,Phenylephrine,rxcui:8163,PHENYLEPHRINE,TRUE,FALSE,FALSE
TUBA3C,hgnc:12408,TUBA3C,ChEMBL,32,inhibitor,0.140726534,COLCHICINE,rxcui:2683,COLCHICINE,TRUE,FALSE,FALSE
TUBB,hgnc:20778,TUBB,ChEMBL,32,inhibitor,0.130834192,COLCHICINE,rxcui:2683,COLCHICINE,TRUE,FALSE,FALSE
DRD2,hgnc:3023,DRD2,ChEMBL,32,agonist,0.050757361,PERGOLIDE MESYLATE,rxcui:8048,PERGOLIDE MESYLATE,TRUE,FALSE,FALSE
DRD2,hgnc:3023,DRD2,ChEMBL,32,inhibitor,0.236867686,DROPERIDOL,rxcui:3648,DROPERIDOL,TRUE,FALSE,FALSE
PDE4C,hgnc:8782,PDE4C,ChEMBL,32,inhibitor,0.203379496,OXTRIPHYLLINE,rxcui:20976,OXTRIPHYLLINE,TRUE,FALSE,FALSE
TUBA1C,hgnc:20768,TUBA1C,ChEMBL,32,inhibitor,0.047951263,VINFLUNINE,ncit:C61564,VINFLUNINE,TRUE,FALSE,FALSE
TUBA1A,hgnc:20766,TUBA1A,ChEMBL,32,inhibitor,0.047373537,VINFLUNINE,ncit:C61564,VINFLUNINE,TRUE,FALSE,FALSE
TUBB2A,hgnc:12412,TUBB2A,ChEMBL,32,inhibitor,0.046809567,VINFLUNINE,ncit:C61564,VINFLUNINE,TRUE,FALSE,FALSE
TUBB4B,hgnc:20771,TUBB4B,ChEMBL,32,inhibitor,0.047373537,VINFLUNINE,ncit:C61564,VINFLUNINE,TRUE,FALSE,FALSE
DRD2,hgnc:3023,DRD2,ChEMBL,32,inhibitor,0.355301529,VERALIPRIDE,rxcui:39468,VERALIPRIDE,TRUE,FALSE,FALSE
TUBB3,hgnc:20772,TUBB3,ChEMBL,32,inhibitor,0.044954309,ENFORTUMAB VEDOTIN,rxcui:2268306,ENFORTUMAB VEDOTIN-EJFV,TRUE,FALSE,TRUE
TUBB,hgnc:20778,TUBB,ChEMBL,32,inhibitor,0.03761483,ENFORTUMAB VEDOTIN,rxcui:2268306,ENFORTUMAB VEDOTIN-EJFV,TRUE,FALSE,TRUE
TUBA1A,hgnc:20766,TUBA1A,ChEMBL,32,inhibitor,0.044412691,ENFORTUMAB VEDOTIN,rxcui:2268306,ENFORTUMAB VEDOTIN-EJFV,TRUE,FALSE,TRUE
TUBB3,hgnc:20772,TUBB3,ClearityFoundationBiomarkers,26-Jul-13,,0.104747905,PACLITAXEL,rxcui:56946,PACLITAXEL,TRUE,FALSE,TRUE
TUBA4A,hgnc:12407,TUBA4A,DTC,5-Jun-23,,0.125090252,PODOFILOX,rxcui:8463,PODOFILOX,TRUE,FALSE,TRUE
TUBB2B,hgnc:30829,TUBB2B,DTC,5-Jun-23,,0.125090252,PODOFILOX,rxcui:8463,PODOFILOX,TRUE,FALSE,TRUE
TUBB4A,hgnc:20774,TUBB4A,DTC,5-Jun-23,,0.125090252,PODOFILOX,rxcui:8463,PODOFILOX,TRUE,FALSE,TRUE
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.580031586,VORINOSTAT,rxcui:194337,VORINOSTAT,TRUE,FALSE,TRUE
TUBB,hgnc:20778,TUBB,DTC,5-Jun-23,,0.026166838,VORINOSTAT,rxcui:194337,VORINOSTAT,TRUE,FALSE,TRUE
TUBA1A,hgnc:20766,TUBA1A,DTC,5-Jun-23,,0.030895785,VORINOSTAT,rxcui:194337,VORINOSTAT,TRUE,FALSE,TRUE
TUBB3,hgnc:20772,TUBB3,DTC,5-Jun-23,,0.031272563,VORINOSTAT,rxcui:194337,VORINOSTAT,TRUE,FALSE,TRUE
HTT,hgnc:4851,HTT,DTC,5-Jun-23,,0.021699799,CLIOQUINOL,rxcui:5942,CLIOQUINOL,TRUE,FALSE,FALSE
TUBA3C,hgnc:12408,TUBA3C,DTC,5-Jun-23,,0.021796029,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE
TUBB3,hgnc:20772,TUBB3,DTC,5-Jun-23,,0.021796029,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE
TUBB4B,hgnc:20771,TUBB4B,DTC,5-Jun-23,,0.021533426,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE
TUBB,hgnc:20778,TUBB,DTC,5-Jun-23,,0.018237493,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE
NOS1,hgnc:7872,NOS1,NCI,14-Sep-17,,0.105133786,CLARITHROMYCIN,rxcui:21212,CLARITHROMYCIN,TRUE,FALSE,FALSE
NOS1,hgnc:7872,NOS1,NCI,14-Sep-17,,0.111704648,ENALAPRIL,rxcui:203123,ENALAPRIL MALEATE,TRUE,FALSE,FALSE
NOS1,hgnc:7872,NOS1,NCI,14-Sep-17,,0.085108303,ROSIGLITAZONE,rxcui:84108,ROSIGLITAZONE,TRUE,FALSE,FALSE
DRD2,hgnc:3023,DRD2,PharmGKB,5-Jun-23,,0.355301529,rasagiline,rxcui:134748,RASAGILINE,TRUE,FALSE,FALSE
NOS1,hgnc:7872,NOS1,PharmGKB,5-Jun-23,,0.012411628,doxorubicin,rxcui:142433,DOXORUBICIN HYDROCHLORIDE,TRUE,FALSE,TRUE
