gene_claim_name,gene_concept_id,Gene_name,interaction_source_db_name,interaction_source_db_version,interaction_type,interaction_score,drug_claim_name,drug_concept_id,drug_name,approved,immunotherapy,anti_neoplastic
PRKACA,hgnc:9380,PRKACA,DTC,5-Jun-23,,0.028355795,PF-562271,iuphar.ligand:9381,PF-562271,False,False,True
PRKACA,hgnc:9380,PRKACA,DTC,5-Jun-23,,0.028911791,TAE-684,iuphar.ligand:5714,NVP-TAE684,False,False,False
PRKACA,hgnc:9380,PRKACA,DTC,5-Jun-23,,0.105321525,AG-1879,iuphar.ligand:9404,PP2,False,False,False
HDAC6,hgnc:14064,HDAC6,TALC,12-May-16,inhibitor,0.22468592,PANOBINOSTAT,rxcui:1603350,PANOBINOSTAT,True,False,True
PRKACB,hgnc:9381,PRKACB,DTC,5-Jun-23,,2.184446441,FASUDIL,ncit:C65624,FASUDIL,False,False,True
PRKACB,hgnc:9381,PRKACB,ChEMBL,32,inhibitor,1.734707468,GSK-690693,drugbank:DB12745,GSK-690693,False,False,False
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.242118448,LARGAZOLE,chembl:CHEMBL1173445,LARGAZOLE,False,False,False
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.580031586,VORINOSTAT,rxcui:194337,VORINOSTAT,True,False,True
PRKACA,hgnc:9380,PRKACA,DTC,5-Jun-23,,0.067022789,GSK-269962A,drugbank:DB17030,GSK-269962A,False,False,False
PRKACA,hgnc:9380,PRKACA,DTC,5-Jun-23,,0.044681859,PHA-767491,drugbank:DB17043,PHA-767491,False,False,False
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.255324909,2-ENE-VALPROATE,chembl:CHEMBL117487,CHEMBL:CHEMBL117487,False,False,False
HDAC6,hgnc:14064,HDAC6,TALC,12-May-16,inhibitor,0.580031586,VORINOSTAT,rxcui:194337,VORINOSTAT,True,False,True
UNIPROT:Q9UBN7,hgnc:14064,HDAC6,TdgClinicalTrial,14-Jan,,0.580031586,VORINOSTAT,rxcui:194337,VORINOSTAT,True,False,True
HDAC6,hgnc:14064,HDAC6,ChEMBL,32,inhibitor,0.382987363,TACEDINALINE,ncit:C2202,TACEDINALINE,False,False,False
UNIPROT:Q9UBN7,hgnc:14064,HDAC6,TdgClinicalTrial,14-Jan,,0.2808574,GIVINOSTAT,ncit:C71716,GIVINOSTAT,False,False,True
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,1.404286998,Citarinostat,ncit:C121641,CITARINOSTAT,False,False,False
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32b,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32c,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32g,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32o,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32t,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32x,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32z,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-33a,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-33d,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-33o,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-34b,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-15,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-16,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-18,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-21,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-23,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-26,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-27,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-43,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-44,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-61,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-67,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-73,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-9,,,,,
PRKACA,hgnc:9380,PRKACA,DTC,5-Jun-23,,0.09830009,SB-220025,drugbank:DB04338,SB220025,False,False,False
PRKACA,hgnc:9380,PRKACA,DTC,5-Jun-23,,0.068581458,GO-6976,drugbank:DB17029,GO-6976,False,False,False
HDAC6,hgnc:14064,HDAC6,TALC,12-May-16,inhibitor,0.501531071,BELINOSTAT,rxcui:1543543,BELINOSTAT,True,False,True
UNIPROT:Q9UBN7,hgnc:14064,HDAC6,TdgClinicalTrial,14-Jan,,0.382987363,CRA-024781,ncit:C68920,ABEXINOSTAT,False,False,True
HDAC6,hgnc:14064,HDAC6,ChEMBL,32,inhibitor,0.082605118,FIMEPINOSTAT,ncit:C104008,FIMEPINOSTAT,False,False,False
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.255324909,BUTYRYLHYDROXAMIC ACID,chembl:CHEMBL1672332,BUTYRYLHYDROXAMIC ACID,False,False,False
UNIPROT:Q9UBN7,hgnc:14064,HDAC6,TdgClinicalTrial,14-Jan,,0.127662454,PRACINOSTAT,ncit:C71708,PRACINOSTAT,False,False,True
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.100306214,VALPROIC ACID,rxcui:11118,VALPROIC ACID,True,False,True
PRKACA,hgnc:9380,PRKACA,DTC,5-Jun-23,,0.05671159,PD-0166285,chembl:CHEMBL3545196,PD-0166285,False,False,False
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.11234296,7-ETHYL-10-HYDROXY-CAMPTOTHECIN,iuphar.ligand:6925,SN-38,False,False,False
PRKACA,hgnc:9380,PRKACA,DTC,5-Jun-23,,0.421286099,SB-242235,chembl:CHEMBL95692,SB-242235,False,False,False
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.234047833,SCRIPTAID,drugbank:DB17053,SCRIPTAID,False,False,False
UNIPROT:Q9UBN7,hgnc:14064,HDAC6,TdgClinicalTrial,14-Jan,,0.351071749,ROMIDEPSIN,rxcui:877510,ROMIDEPSIN,True,False,True
UNIPROT:Q9UBN7,hgnc:14064,HDAC6,TEND,1-Aug-11,,0.580031586,VORINOSTAT,rxcui:194337,VORINOSTAT,True,False,True
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.040703971,DAUNORUBICIN,rxcui:3109,DAUNORUBICIN,True,False,True
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,2.808573995,VALPROPYLHYDROXAMIC ACID,chembl:CHEMBL186311,VALPROPYLHYDROXAMIC ACID,False,False,False
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.234047833,URSOLIC ACID,rxcui:1426931,URSOLIC ACID,False,False,False
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.255324909,BML-210,chembl:CHEMBL324053,CHEMBL:CHEMBL324053,False,False,False
HDAC6,hgnc:14064,HDAC6,TALC,12-May-16,inhibitor,0.2808574,GIVINOSTAT,ncit:C71716,GIVINOSTAT,False,False,True
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32d,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32h,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32i,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32k,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32n,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32r,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32s,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32y,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-33c,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-33e,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-33f,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-33j,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-33k,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-33m,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-34c,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-11,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-13,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-19,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-24,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-38a,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-39,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-62,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,Sulfonamide derivative 16,,,,,
HDAC6,hgnc:14064,HDAC6,ChEMBL,32,inhibitor,0.501531071,BELINOSTAT,rxcui:1543543,BELINOSTAT,True,False,True
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.413025588,ENTINOSTAT,ncit:C1863,ENTINOSTAT,False,False,True
HDAC6,hgnc:14064,HDAC6,TALC,12-May-16,inhibitor,0.382987363,PCI-24781,ncit:C68920,ABEXINOSTAT,False,False,True
HDAC6,hgnc:14064,HDAC6,TALC,12-May-16,inhibitor,0.127662454,DACINOSTAT,ncit:C81158,DACINOSTAT,False,False,True
PRKACA,hgnc:9380,PRKACA,DTC,5-Jun-23,,0.067022789,ALISERTIB,ncit:C71717,ALISERTIB,False,False,True
UNIPROT:Q9UBN7,hgnc:14064,HDAC6,TdgClinicalTrial,14-Jan,,0.22468592,PANOBINOSTAT,rxcui:1603350,PANOBINOSTAT,True,False,True
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.22468592,PANOBINOSTAT,rxcui:1603350,PANOBINOSTAT,True,False,True
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,2.808573995,4-CHLOROBENZOHYDROXAMIC ACID,chembl:CHEMBL569419,CHEMBL:CHEMBL569419,False,False,False
HDAC6,hgnc:14064,HDAC6,ChEMBL,32,inhibitor,0.351071749,ROMIDEPSIN,rxcui:877510,ROMIDEPSIN,True,False,True
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.351071749,ROMIDEPSIN,rxcui:877510,ROMIDEPSIN,True,False,True
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.1404287,PHENYLBUTANOIC ACID,rxcui:1546447,4-PHENYLBUTYRIC ACID,True,False,True
UNIPROT:Q9UBN7,hgnc:14064,HDAC6,TEND,1-Aug-11,,0.351071749,ROMIDEPSIN,rxcui:877510,ROMIDEPSIN,True,False,True
HDAC6,hgnc:14064,HDAC6,ChEMBL,32,inhibitor,0.580031586,VORINOSTAT,rxcui:194337,VORINOSTAT,True,False,True
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.127662454,BUTANOIC ACID,rxcui:1362696,BUTYRIC ACID,True,False,False
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.382987363,TACEDINALINE,ncit:C2202,TACEDINALINE,False,False,False
UNIPROT:Q9UBN7,hgnc:14064,HDAC6,TdgClinicalTrial,14-Jan,,0.127662454,RESMINOSTAT,ncit:C84856,RESMINOSTAT,False,False,False
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,Diaryl amine derivative 3,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32j,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32l,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32m,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32p,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-32u,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-33g,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-33h,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID28092474-Compound-33p,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-28,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-31,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-38b,,,,,
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,,PMID29671355-Compound-56,,,,,
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.255324909,PHENYLBUTYRYLHYDROXAMIC ACID,chembl:CHEMBL55895,PHENYLBUTYRYLHYDROXAMIC ACID,False,False,False
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,2.808573995,NICOXAMAT,ncit:C77068,NICOXAMAT,False,False,False
HDAC6,hgnc:14064,HDAC6,ChEMBL,32,inhibitor,0.200612428,CUDC-101,drugbank:DB12174,CUDC-101,False,False,True
HDAC6,hgnc:14064,HDAC6,ChEMBL,32,inhibitor,0.413025588,ENTINOSTAT,ncit:C1863,ENTINOSTAT,False,False,True
HDAC6,hgnc:14064,HDAC6,ChEMBL,32,inhibitor,0.382987363,ABEXINOSTAT,ncit:C68920,ABEXINOSTAT,False,False,True
PRKACA,hgnc:9380,PRKACA,DTC,5-Jun-23,,0.08425722,AST-487,iuphar.ligand:5661,AST-487,False,False,True
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.255324909,4-(4-AMINOPHENYL)BUTANOIC ACID,chembl:CHEMBL1650245,CHEMBL:CHEMBL1650245,False,False,False
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.501531071,BELINOSTAT,rxcui:1543543,BELINOSTAT,True,False,True
UNIPROT:Q9UBN7,hgnc:14064,HDAC6,TdgClinicalTrial,14-Jan,,2.808573995,ACY-1215,ncit:C96431,RICOLINOSTAT,False,False,False
UNIPROT:Q9UBN7,hgnc:14064,HDAC6,TdgClinicalTrial,14-Jan,,0.200612428,CUDC-101,drugbank:DB12174,CUDC-101,False,False,True
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.255324909,SUBEROHYDROXAMIC ACID,chembl:CHEMBL320497,SUBEROHYDROXAMIC ACID,False,False,False
PRKACA,hgnc:9380,PRKACA,DTC,5-Jun-23,,0.327666966,DIMETHYLADENINE,chembl:CHEMBL407391,DIMETHYLADENINE,False,False,False
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.32406623,PSAMMAPLIN A,chembl:CHEMBL83747,PSAMMAPLIN A,False,False,False
HDAC6,hgnc:14064,HDAC6,ChEMBL,32,inhibitor,0.127662454,PANOBINOSTAT LACTATE,rxcui:1603349,PANOBINOSTAT LACTATE,True,False,False
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.255324909,APICIDIN,iuphar.ligand:7495,APICIDIN,False,False,False
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.517368894,TRICHOSTATIN,drugbank:DB04297,TRICHOSTATIN A,False,False,False
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,4.212860993,BENZOHYDROXAMATE,chembl:CHEMBL16300,BENZOHYDROXAMATE,False,False,False
UNIPROT:Q9UBN7,hgnc:14064,HDAC6,TdgClinicalTrial,14-Jan,,0.117023916,AR-42,drugbank:DB12707,AR-42,False,False,True
UNIPROT:Q9UBN7,hgnc:14064,HDAC6,TdgClinicalTrial,14-Jan,,0.432088307,MGCD-0103,ncit:C62521,MOCETINOSTAT,False,False,True
HISTONE DEACETYLASE 6,hgnc:14064,HDAC6,TTD,2020.06.01,,1.404286998,KA2507,iuphar.ligand:12269,KA2507,False,False,False
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.432088307,MOCETINOSTAT,ncit:C62521,MOCETINOSTAT,False,False,True
