gene_claim_name,gene_concept_id,Gene_name,interaction_source_db_name,interaction_source_db_version,interaction_type,interaction_score,drug_claim_name,drug_concept_id,drug_name,approved,immunotherapy,anti_neoplastic,ATC_Code,ATC_Category
ERBB2,hgnc:3430,ERBB2,CGI,5-Jun-23,,0.841610358,Neratinib,rxcui:1940643,NERATINIB,True,False,True,,
HDAC2,hgnc:4853,HDAC2,CGI,5-Jun-23,,0.036885587,Olaparib,rxcui:1597582,OLAPARIB,True,False,True,,
KIT,hgnc:6342,KIT,CGI,5-Jun-23,,0.536530705,Ponatinib,rxcui:1364347,PONATINIB,True,False,True,,
JAK2,hgnc:6192,JAK2,CGI,5-Jun-23,,2.548835518,Ruxolitinib,rxcui:1193326,RUXOLITINIB,True,False,True,,
IL7R,hgnc:6024,IL7R,CGI,5-Jun-23,,6.805390834,Ruxolitinib,rxcui:1193326,RUXOLITINIB,True,False,True,,
RET,hgnc:9967,RET,CGI,5-Jun-23,,0.413895115,Ponatinib,rxcui:1364347,PONATINIB,True,False,True,,
FLT3,hgnc:3765,FLT3,CGI,5-Jun-23,,0.612933849,Ponatinib,rxcui:1364347,PONATINIB,True,False,True,,
ROS1,hgnc:10261,ROS1,CGI,5-Jun-23,,0.160271886,Cabozantinib,rxcui:1363267,CABOZANTINIB S-MALATE,True,False,True,L01XE26,Antineoplastic agents
CHRM3,hgnc:1952,CHRM3,ChEMBL,32,inhibitor,0.398513878,MEPENZOLATE BROMIDE,rxcui:52560,MEPENZOLATE BROMIDE,True,False,False,,
SSTR5,hgnc:11334,SSTR5,ChEMBL,32,agonist,6.143755614,LANREOTIDE ACETATE,rxcui:236167,LANREOTIDE ACETATE,True,False,False,,
ACE,hgnc:2707,ACE,ChEMBL,32,inhibitor,0.567115903,BENAZEPRIL HYDROCHLORIDE,rxcui:235758,BENAZEPRIL HYDROCHLORIDE,True,False,False,,
TOP2A,hgnc:11989,TOP2A,ChEMBL,32,inhibitor,0.04787342,IDARUBICIN HYDROCHLORIDE,rxcui:5650,IDARUBICIN,True,False,True,L01DB06,Anthracyclines and related substances
TNF,hgnc:11892,TNF,ChEMBL,32,inhibitor,0.085478339,ADALIMUMAB,rxcui:2103477,ADALIMUMAB-ADBM,True,False,False,,
HRH1,hgnc:5182,HRH1,ChEMBL,32,inhibitor,0.475645596,DIPHENHYDRAMINE CITRATE,rxcui:82004,DIPHENHYDRAMINE CITRATE,True,False,False,,
HTR2B,hgnc:5294,HTR2B,ChEMBL,32,agonist,0.819167415,METHYLERGONOVINE MALEATE,rxcui:84158,METHYLERGONOVINE MALEATE,True,False,False,,
AGTR1,hgnc:336,AGTR1,ChEMBL,32,inhibitor,0.99966193,EPROSARTAN MESYLATE,rxcui:236878,EPROSARTAN MESYLATE,True,False,False,,
ALOX5,hgnc:435,ALOX5,ChEMBL,32,inhibitor,0.263303812,MECLOFENAMATE SODIUM,rxcui:6677,MECLOFENAMATE SODIUM,True,False,False,,
AVPR1A,hgnc:895,AVPR1A,ChEMBL,32,inhibitor,1.404286998,CONIVAPTAN HYDROCHLORIDE,rxcui:1294548,CONIVAPTAN HYDROCHLORIDE,True,False,False,,
RAF1,hgnc:9829,RAF1,ChEMBL,32,inhibitor,0.221175202,SORAFENIB TOSYLATE,rxcui:495881,SORAFENIB,True,False,True,L01XE05,Antineoplastic agents
SLC6A4,hgnc:11050,SLC6A4,ChEMBL,32,inhibitor,0.077964381,AMITRIPTYLINE HYDROCHLORIDE,rxcui:203168,AMITRIPTYLINE HYDROCHLORIDE,True,False,False,N06AA09,Antidepressants
SLC6A4,hgnc:11050,SLC6A4,ChEMBL,32,inhibitor,0.331348617,VENLAFAXINE HYDROCHLORIDE,rxcui:235988,VENLAFAXINE HYDROCHLORIDE,True,False,False,,
SCTR,hgnc:10608,SCTR,ChEMBL,32,agonist,44.23504042,SECRETIN,rxcui:606396,"SECRETIN HUMAN, SYNTHETIC",True,False,False,,
PDGFRB,hgnc:8804,PDGFRB,ChEMBL,32,inhibitor,0.088922779,SORAFENIB TOSYLATE,rxcui:495881,SORAFENIB,True,False,True,L01XE05,Antineoplastic agents
IGF1R,hgnc:5465,IGF1R,ChEMBL,32,agonist,1.512309074,MECASERMIN,rxcui:274403,MECASERMIN,True,False,False,,
DPP4,hgnc:3009,DPP4,ChEMBL,32,inhibitor,1.769401617,SITAGLIPTIN PHOSPHATE,rxcui:593411,SITAGLIPTIN,True,False,False,,
KCNH2,hgnc:6251,KCNH2,ChEMBL,32,blocker,0.112022894,SOTALOL HYDROCHLORIDE,rxcui:7008,SOTALOL HYDROCHLORIDE,True,False,False,,
VDR,hgnc:12679,VDR,ChEMBL,32,agonist,0.125223044,ERGOCALCIFEROL,rxcui:4018,ERGOCALCIFEROL,True,False,False,,
INSR,hgnc:6091,INSR,ChEMBL,32,agonist,0.85478339,INSULIN ZINC SUSP PURIFIED BEEF,chembl:CHEMBL1201546,INSULIN ZINC SUSP PURIFIED BEEF,True,False,False,,
INSR,hgnc:6091,INSR,ChEMBL,32,agonist,1.70956678,INSULIN PORK,rxcui:221109,"INSULIN, REGULAR, PORK",True,False,False,,
INSR,hgnc:6091,INSR,ChEMBL,32,agonist,0.85478339,INSULIN SUSP ISOPHANE PURIFIED PORK,chembl:CHEMBL1201656,INSULIN SUSP ISOPHANE PURIFIED PORK,True,False,False,,
CYP19A1,hgnc:2594,CYP19A1,ChEMBL,32,inhibitor,1.203674569,AMINOGLUTETHIMIDE,rxcui:677,AMINOGLUTETHIMIDE,True,False,True,,
GHR,hgnc:4263,GHR,ChEMBL,32,agonist,1.685144397,SOMATROPIN,rxcui:314845,SOMATROPIN (RECOMBINANT DNA ORIGIN),True,False,False,,
HTR2A,hgnc:5293,HTR2A,ChEMBL,32,inhibitor,0.350376558,LURASIDONE HYDROCHLORIDE,rxcui:1040027,LURASIDONE HYDROCHLORIDE,True,False,False,,
HTR2C,hgnc:5295,HTR2C,ChEMBL,32,inhibitor,0.185471868,LOXAPINE,rxcui:6475,LOXAPINE,True,False,False,,
NR3C1,hgnc:7978,NR3C1,ChEMBL,32,agonist,0.230390836,MEDRYSONE,rxcui:29439,MEDRYSONE,True,False,False,,
ACHE,hgnc:108,ACHE,ChEMBL,32,inhibitor,1.134231806,ECHOTHIOPHATE IODIDE,rxcui:3740,ECHOTHIOPHATE IODIDE,True,False,False,,
HTR2C,hgnc:5295,HTR2C,ChEMBL,32,inhibitor,0.222566241,OLANZAPINE PAMOATE,rxcui:1294588,OLANZAPINE PAMOATE,True,False,False,,
MURA,,,ChEMBL,32,inhibitor,,FOSFOMYCIN TROMETHAMINE,rxcui:142135,FOSFOMYCIN TROMETHAMINE,True,False,False,,
NR3C2,hgnc:7979,NR3C2,ChEMBL,32,agonist,2.808573995,FLUDROCORTISONE ACETATE,rxcui:165516,FLUDROCORTISONE ACETATE,True,False,False,,
PTGIR,hgnc:9602,PTGIR,ChEMBL,32,agonist,4.212860993,EPOPROSTENOL SODIUM,rxcui:104463,EPOPROSTENOL SODIUM,True,False,False,,
OPRM1,hgnc:8156,OPRM1,ChEMBL,32,agonist,0.225688982,HYDROMORPHONE HYDROCHLORIDE,rxcui:203177,HYDROMORPHONE HYDROCHLORIDE,True,False,False,,
SLC6A3,hgnc:11049,SLC6A3,ChEMBL,32,inhibitor,0.214472923,BUPROPION HYDROBROMIDE,rxcui:203204,BUPROPION HYDROCHLORIDE,True,False,False,,
FLT1,hgnc:3763,FLT1,CancerCommons,25-Jul-13,inhibitor,0.819167415,AV951,rxcui:2534233,TIVOZANIB,True,False,True,,
OPRM1,hgnc:8156,OPRM1,ChEMBL,32,agonist,0.143620261,BUPRENORPHINE,rxcui:1819,BUPRENORPHINE,True,False,False,,
ACHE,hgnc:108,ACHE,ChEMBL,32,inhibitor,1.134231806,DONEPEZIL HYDROCHLORIDE,rxcui:236559,DONEPEZIL HYDROCHLORIDE,True,False,False,,
KIT,hgnc:6342,KIT,CancerCommons,25-Jul-13,inhibitor,0.728148814,PLX3397,rxcui:2183102,PEXIDARTINIB,True,False,True,,
M,,,ChEMBL,32,inhibitor,,RIMANTADINE HYDROCHLORIDE,rxcui:82093,RIMANTADINE HYDROCHLORIDE,True,False,False,,
DHFR,hgnc:2861,DHFR,ChEMBL,32,inhibitor,4.536927223,METHOTREXATE SODIUM,rxcui:287734,METHOTREXATE SODIUM,True,False,False,,
POL,hgnc:39043,ERVW-4,ChEMBL,32,inhibitor,0.526607624,RILPIVIRINE HYDROCHLORIDE,rxcui:1102270,RILPIVIRINE,True,False,False,,
NR1H4,hgnc:7967,NR1H4,ChEMBL,32,agonist,1.465342954,CHENODIOL,rxcui:2323,CHENODEOXYCHOLIC ACID,True,False,False,,
ESR1,hgnc:3467,ESR1,ChEMBL,32,agonist,0.126634576,MESTRANOL,rxcui:6782,MESTRANOL,True,False,False,,
SLC6A2,hgnc:11048,SLC6A2,ChEMBL,32,other/unknown,0.834623404,GUANADREL SULFATE,rxcui:91239,GUANADREL SULFATE,True,False,False,,
SCN4A,hgnc:10591,SCN4A,ChEMBL,32,blocker,0.113423181,RANOLAZINE,rxcui:35829,RANOLAZINE,True,False,False,,
SLC6A2,hgnc:11048,SLC6A2,ChEMBL,32,inhibitor,0.065460659,AMITRIPTYLINE HYDROCHLORIDE,rxcui:203168,AMITRIPTYLINE HYDROCHLORIDE,True,False,False,N06AA09,Antidepressants
SLC6A2,hgnc:11048,SLC6A2,ChEMBL,32,inhibitor,0.278207801,IMIPRAMINE PAMOATE,rxcui:91118,IMIPRAMINE PAMOATE,True,False,False,,
PGA5,hgnc:8887,PGA5,ChEMBL,32,inhibitor,19.66001797,SUCRALFATE,rxcui:10156,SUCRALFATE,True,False,False,,
SLC6A2,hgnc:11048,SLC6A2,ChEMBL,32,inhibitor,0.092735934,NORTRIPTYLINE HYDROCHLORIDE,rxcui:203130,NORTRIPTYLINE HYDROCHLORIDE,True,False,False,,
SLC6A2,hgnc:11048,SLC6A2,ChEMBL,32,inhibitor,0.139103901,PHENDIMETRAZINE TARTRATE,rxcui:33272,PHENDIMETRAZINE,True,False,False,,
TMP1,,,ChEMBL,32,inhibitor,,FLUCYTOSINE,rxcui:4451,FLUCYTOSINE,True,False,False,,
MMP13,hgnc:7159,MMP13,ChEMBL,32,inhibitor,0.335113943,DOXYCYCLINE HYCLATE,rxcui:1545992,DOXYCYCLINE ANHYDROUS,True,False,True,,
GART,hgnc:4163,GART,ChEMBL,32,inhibitor,2.328160022,PEMETREXED DISODIUM,rxcui:282443,PEMETREXED DISODIUM,True,False,True,,
MET,hgnc:7029,MET,ChEMBL,32,inhibitor,0.520565348,CRIZOTINIB,rxcui:1148495,CRIZOTINIB,True,False,True,,
MMP8,hgnc:7175,MMP8,ChEMBL,32,inhibitor,2.106430496,DOXYCYCLINE CALCIUM,rxcui:82012,DOXYCYCLINE CALCIUM,True,False,False,,
MMP13,hgnc:7159,MMP13,ChEMBL,32,inhibitor,0.335113943,DOXYCYCLINE,rxcui:1545992,DOXYCYCLINE ANHYDROUS,True,False,True,,
BRAF,hgnc:1097,BRAF,ChEMBL,32,inhibitor,0.12770728,SORAFENIB TOSYLATE,rxcui:495881,SORAFENIB,True,False,True,L01XE05,Antineoplastic agents
PGR,hgnc:8910,PGR,ChEMBL,32,inhibitor,0.114154943,MIFEPRISTONE,rxcui:6964,MIFEPRISTONE,True,False,False,,
HMGCR,hgnc:5006,HMGCR,ChEMBL,32,inhibitor,0.786400719,ROSUVASTATIN CALCIUM,rxcui:301542,ROSUVASTATIN,True,False,False,,
ESR1,hgnc:3467,ESR1,ChEMBL,32,modulator,0.131505137,TOREMIFENE CITRATE,rxcui:38409,TOREMIFENE,True,False,True,,
OPRK1,hgnc:8154,OPRK1,ChEMBL,32,agonist,0.276901661,HYDROCODONE POLISTIREX,rxcui:221107,HYDROCODONE POLISTIREX,True,False,False,,
OPRD1,hgnc:8153,OPRD1,ChEMBL,32,agonist,0.44681859,HYDROCODONE POLISTIREX,rxcui:221107,HYDROCODONE POLISTIREX,True,False,False,,
GRIN3B,hgnc:16768,GRIN3B,ChEMBL,32,inhibitor,0.090738544,ACAMPROSATE CALCIUM,rxcui:152761,ACAMPROSATE CALCIUM,True,False,False,,
GRIN2B,hgnc:4586,GRIN2B,ChEMBL,32,inhibitor,0.058980054,ACAMPROSATE CALCIUM,rxcui:152761,ACAMPROSATE CALCIUM,True,False,False,,
GRIN2C,hgnc:4587,GRIN2C,ChEMBL,32,inhibitor,0.189038634,FELBAMATE,rxcui:24812,FELBAMATE,True,False,False,,
GRIN3B,hgnc:16768,GRIN3B,ChEMBL,32,inhibitor,0.189038634,FELBAMATE,rxcui:24812,FELBAMATE,True,False,False,,
ADRA2C,hgnc:283,ADRA2C,ChEMBL,32,agonist,0.21064305,GUANABENZ ACETATE,rxcui:227225,GUANABENZ ACETATE,True,False,False,,
TOP2B,hgnc:11990,TOP2B,ChEMBL,32,inhibitor,0.38802667,ETOPOSIDE,rxcui:4179,ETOPOSIDE,True,False,True,,
GUCY1B2,hgnc:4686,GUCY1B2,ChEMBL,32,activator,0.412447929,ISOSORBIDE DINITRATE,rxcui:6058,ISOSORBIDE DINITRATE,True,False,False,,
GUCY1B2,hgnc:4686,GUCY1B2,ChEMBL,32,activator,0.64813246,NITRIC OXIDE,rxcui:7442,NITRIC OXIDE,True,False,False,,
IMPDH2,hgnc:6053,IMPDH2,ChEMBL,32,inhibitor,0.21064305,THIOGUANINE,rxcui:10485,THIOGUANINE,True,False,True,,
GUCY1A2,hgnc:4684,GUCY1A2,ChEMBL,32,activator,1.123429598,NITRIC OXIDE,rxcui:7442,NITRIC OXIDE,True,False,False,,
ADRA1D,hgnc:280,ADRA1D,ChEMBL,32,agonist,0.129626492,ERGOTAMINE TARTRATE,rxcui:42676,ERGOTAMINE TARTRATE,True,False,False,,
ABCC8,hgnc:59,ABCC8,ChEMBL,32,blocker,1.474501347,"TOLBUTAMIDE SODIUM, STERILE",chembl:CHEMBL1200874,"TOLBUTAMIDE SODIUM, STERILE",True,False,False,,
FLT1,hgnc:3763,FLT1,ChEMBL,32,inhibitor,0.184774605,SUNITINIB MALATE,rxcui:357977,SUNITINIB,True,False,True,,
CACNA1S,hgnc:1397,CACNA1S,ChEMBL,32,blocker,0.075229661,NISOLDIPINE,rxcui:7435,NISOLDIPINE,True,False,False,,
ITGAV,hgnc:6150,ITGAV,ChEMBL,32,inhibitor,0.756154537,ABCIXIMAB,rxcui:83929,ABCIXIMAB,True,False,False,,
CHRNA3,hgnc:1957,CHRNA3,ChEMBL,32,inhibitor,2.106430496,PENTOLINIUM TARTRATE,ncit:C66345,PENTOLINIUM TARTRATE,True,False,False,,
ADRB2,hgnc:286,ADRB2,ChEMBL,32,inhibitor,0.223409295,METIPRANOLOL HYDROCHLORIDE,rxcui:314731,METIPRANOLOL HYDROCHLORIDE,True,False,False,,
AR,hgnc:644,AR,ChEMBL,32,agonist,0.041053402,METHYLTESTOSTERONE,rxcui:6904,METHYLTESTOSTERONE,True,False,False,,
RPOB,,,ChEMBL,32,inhibitor,,RIFABUTIN,rxcui:55672,RIFABUTIN,True,False,False,,
RPOA,,,ChEMBL,32,inhibitor,,RIFABUTIN,rxcui:55672,RIFABUTIN,True,False,False,,
RPOC,,,ChEMBL,32,inhibitor,,RIFABUTIN,rxcui:55672,RIFABUTIN,True,False,False,,
RPOZ,,,ChEMBL,32,inhibitor,,RIFABUTIN,rxcui:55672,RIFABUTIN,True,False,False,,
RPOB,,,ChEMBL,32,inhibitor,,RIFAPENTINE,rxcui:35617,RIFAPENTINE,True,False,False,,
RPOA,,,ChEMBL,32,inhibitor,,RIFAPENTINE,rxcui:35617,RIFAPENTINE,True,False,False,,
RPOC,,,ChEMBL,32,inhibitor,,RIFAPENTINE,rxcui:35617,RIFAPENTINE,True,False,False,,
GSC1,,,ChEMBL,32,inhibitor,,ANIDULAFUNGIN,rxcui:341018,ANIDULAFUNGIN,True,False,False,,
ABAT,hgnc:23,ABAT,ChEMBL,32,inhibitor,11.79601078,VIGABATRIN,rxcui:14851,VIGABATRIN,True,False,False,,
GB,,,ChEMBL,32,inhibitor,,DOCOSANOL,rxcui:594680,DOCOSANOL,True,False,False,,
GG,,,ChEMBL,32,inhibitor,,DOCOSANOL,rxcui:594680,DOCOSANOL,True,False,False,,
GJ,,,ChEMBL,32,inhibitor,,DOCOSANOL,rxcui:594680,DOCOSANOL,True,False,False,,
GN,,,ChEMBL,32,inhibitor,,DOCOSANOL,rxcui:594680,DOCOSANOL,True,False,False,,
PBPB,,,ChEMBL,32,inhibitor,,AZLOCILLIN SODIUM,rxcui:203836,AZLOCILLIN SODIUM,True,False,False,,
PBPA,,,ChEMBL,32,inhibitor,,AZLOCILLIN SODIUM,rxcui:203836,AZLOCILLIN SODIUM,True,False,False,,
PONB,,,ChEMBL,32,inhibitor,,AZLOCILLIN SODIUM,rxcui:203836,AZLOCILLIN SODIUM,True,False,False,,
PBPC,,,ChEMBL,32,inhibitor,,AZLOCILLIN SODIUM,rxcui:203836,AZLOCILLIN SODIUM,True,False,False,,
DACA,,,ChEMBL,32,inhibitor,,AZLOCILLIN SODIUM,rxcui:203836,AZLOCILLIN SODIUM,True,False,False,,
MRCA,,,ChEMBL,32,inhibitor,,AZLOCILLIN SODIUM,rxcui:203836,AZLOCILLIN SODIUM,True,False,False,,
GI,hgnc:4384,GNAI1,ChEMBL,32,inhibitor,7.372506737,DOCOSANOL,rxcui:594680,DOCOSANOL,True,False,False,,
LAMC3,hgnc:6494,LAMC3,ChEMBL,32,cleavage,1.552106681,OCRIPLASMIN,rxcui:29998,OCRIPLASMIN,True,False,False,,
PSMA4,hgnc:9533,PSMA4,ChEMBL,32,inhibitor,0.571235389,CARFILZOMIB,rxcui:1302966,CARFILZOMIB,True,False,True,,
COL15A1,hgnc:2192,COL15A1,ChEMBL,32,cleavage,0.776053341,OCRIPLASMIN,rxcui:29998,OCRIPLASMIN,True,False,False,,
PSMA8,hgnc:22985,PSMA8,ChEMBL,32,inhibitor,0.666441287,CARFILZOMIB,rxcui:1302966,CARFILZOMIB,True,False,True,,
COL18A1,hgnc:2195,COL18A1,ChEMBL,32,cleavage,0.110864763,OCRIPLASMIN,rxcui:29998,OCRIPLASMIN,True,False,False,,
COL1A1,hgnc:2197,COL1A1,ChEMBL,32,cleavage,0.221729526,OCRIPLASMIN,rxcui:29998,OCRIPLASMIN,True,False,False,,
COL28A1,hgnc:22442,COL28A1,ChEMBL,32,cleavage,0.776053341,OCRIPLASMIN,rxcui:29998,OCRIPLASMIN,True,False,False,,
PSMC4,hgnc:9551,PSMC4,ChEMBL,32,inhibitor,0.799729544,CARFILZOMIB,rxcui:1302966,CARFILZOMIB,True,False,True,,
PSMD13,hgnc:9558,PSMD13,ChEMBL,32,inhibitor,0.799729544,CARFILZOMIB,rxcui:1302966,CARFILZOMIB,True,False,True,,
ERG11,,,ChEMBL,32,inhibitor,,MICONAZOLE,rxcui:42790,MICONAZOLE NITRATE,True,False,False,,
ERG11,,,ChEMBL,32,inhibitor,,TIOCONAZOLE,rxcui:38298,TIOCONAZOLE,True,False,False,,
PTGS2,hgnc:9605,PTGS2,ChEMBL,32,inhibitor,1.608546924,VALDECOXIB,rxcui:278567,VALDECOXIB,True,False,False,,
CHRNG,hgnc:1967,CHRNG,ChEMBL,32,agonist,0.842572199,DECAMETHONIUM BROMIDE,ncit:C65365,DECAMETHONIUM BROMIDE,True,False,False,,
MS4A1,hgnc:7315,MS4A1,ChEMBL,32,binder,1.058616352,RITUXIMAB,rxcui:121191,RITUXIMAB,True,True,True,,
CHRNE,hgnc:1966,CHRNE,ChEMBL,32,inhibitor,0.786400719,TUBOCURARINE CHLORIDE,rxcui:82115,TUBOCURARINE CHLORIDE,True,False,False,,
CHRNB1,hgnc:1961,CHRNB1,ChEMBL,32,inhibitor,0.786400719,TUBOCURARINE CHLORIDE,rxcui:82115,TUBOCURARINE CHLORIDE,True,False,False,,
MT-ND4L,hgnc:7460,MT-ND4L,ChEMBL,32,inhibitor,0.351071749,METFORMIN HYDROCHLORIDE,rxcui:235743,METFORMIN HYDROCHLORIDE,True,False,True,,
MT-ND2,hgnc:7456,MT-ND2,ChEMBL,32,inhibitor,0.351071749,METFORMIN HYDROCHLORIDE,rxcui:235743,METFORMIN HYDROCHLORIDE,True,False,True,,
NDUFS8,hgnc:7715,NDUFS8,ChEMBL,32,inhibitor,0.351071749,METFORMIN HYDROCHLORIDE,rxcui:235743,METFORMIN HYDROCHLORIDE,True,False,True,,
NDUFAB1,hgnc:7694,NDUFAB1,ChEMBL,32,inhibitor,0.351071749,METFORMIN HYDROCHLORIDE,rxcui:235743,METFORMIN HYDROCHLORIDE,True,False,True,,
GLRB,hgnc:4329,GLRB,ChEMBL,32,agonist,0.44681859,METHOXYFLURANE,rxcui:6857,METHOXYFLURANE,True,False,False,,
MT-ND5,hgnc:7461,MT-ND5,ChEMBL,32,inhibitor,0.351071749,METFORMIN HYDROCHLORIDE,rxcui:235743,METFORMIN HYDROCHLORIDE,True,False,True,,
NDUFA10,hgnc:7684,NDUFA10,ChEMBL,32,inhibitor,0.351071749,METFORMIN HYDROCHLORIDE,rxcui:235743,METFORMIN HYDROCHLORIDE,True,False,True,,
NDUFV3,hgnc:7719,NDUFV3,ChEMBL,32,inhibitor,0.351071749,METFORMIN HYDROCHLORIDE,rxcui:235743,METFORMIN HYDROCHLORIDE,True,False,True,,
NDUFB9,hgnc:7704,NDUFB9,ChEMBL,32,inhibitor,0.351071749,METFORMIN HYDROCHLORIDE,rxcui:235743,METFORMIN HYDROCHLORIDE,True,False,True,,
NDUFB11,hgnc:20372,NDUFB11,ChEMBL,32,inhibitor,0.351071749,METFORMIN HYDROCHLORIDE,rxcui:235743,METFORMIN HYDROCHLORIDE,True,False,True,,
NDUFA7,hgnc:7691,NDUFA7,ChEMBL,32,inhibitor,0.351071749,METFORMIN HYDROCHLORIDE,rxcui:235743,METFORMIN HYDROCHLORIDE,True,False,True,,
NDUFB4,hgnc:7699,NDUFB4,ChEMBL,32,inhibitor,0.351071749,METFORMIN HYDROCHLORIDE,rxcui:235743,METFORMIN HYDROCHLORIDE,True,False,True,,
GABRQ,hgnc:14454,GABRQ,ChEMBL,32,positive modulator,0.036228534,METHOXYFLURANE,rxcui:6857,METHOXYFLURANE,True,False,False,,
GABRG2,hgnc:4087,GABRG2,ChEMBL,32,positive modulator,0.031915614,METHOXYFLURANE,rxcui:6857,METHOXYFLURANE,True,False,False,,
GABRA2,hgnc:4076,GABRA2,ChEMBL,32,positive modulator,0.029460566,METHOXYFLURANE,rxcui:6857,METHOXYFLURANE,True,False,False,,
GABRB1,hgnc:4081,GABRB1,ChEMBL,32,negative modulator,0.037856261,FLUMAZENIL,rxcui:4457,FLUMAZENIL,True,False,False,,
GABRA5,hgnc:4079,GABRA5,ChEMBL,32,positive modulator,0.030464904,METHOXYFLURANE,rxcui:6857,METHOXYFLURANE,True,False,False,,
GABRG1,hgnc:4086,GABRG1,ChEMBL,32,negative modulator,0.039797607,FLUMAZENIL,rxcui:4457,FLUMAZENIL,True,False,False,,
GABRE,hgnc:4085,GABRE,ChEMBL,32,positive modulator,0.034370661,METHOXYFLURANE,rxcui:6857,METHOXYFLURANE,True,False,False,,
GABRA4,hgnc:4078,GABRA4,ChEMBL,32,negative modulator,0.037856261,FLUMAZENIL,rxcui:4457,FLUMAZENIL,True,False,False,,
GABRQ,hgnc:14454,GABRQ,ChEMBL,32,agonist,0.04427932,MEPROBAMATE,rxcui:6760,MEPROBAMATE,True,False,False,,
GABRA4,hgnc:4078,GABRA4,ChEMBL,32,agonist,0.119878158,MEPROBAMATE,rxcui:6760,MEPROBAMATE,True,False,False,,
GABRB2,hgnc:4082,GABRB2,ChEMBL,32,agonist,0.03810081,MEPROBAMATE,rxcui:6760,MEPROBAMATE,True,False,False,,
GABRB3,hgnc:4083,GABRB3,ChEMBL,32,agonist,0.040452712,MEPROBAMATE,rxcui:6760,MEPROBAMATE,True,False,False,,
GABRE,hgnc:4085,GABRE,ChEMBL,32,positive modulator,0.103111982,CLOBAZAM,rxcui:21241,CLOBAZAM,True,False,False,,
GABRA5,hgnc:4079,GABRA5,ChEMBL,32,positive modulator,0.091394712,CLOBAZAM,rxcui:21241,CLOBAZAM,True,False,False,,
GABRG1,hgnc:4086,GABRG1,ChEMBL,32,positive modulator,0.103111982,CLOBAZAM,rxcui:21241,CLOBAZAM,True,False,False,,
GABRE,hgnc:4085,GABRE,ChEMBL,32,positive modulator,0.098628853,CLONAZEPAM,rxcui:2598,CLONAZEPAM,True,False,False,,
GABRA4,hgnc:4078,GABRA4,ChEMBL,32,positive modulator,0.093817689,CLONAZEPAM,rxcui:2598,CLONAZEPAM,True,False,False,,
