Gene,term,References,Evidence,,Type_GO,product_name,,type,,Date,,,
HSPA8,GO:0005515,PMID:17022977,IPI,UniProtKB:P03485,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:17332742,IPI,UniProtKB:Q15428,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:17400507,IPI,UniProtKB:Q5S007,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:17620599,IPI,UniProtKB:P32121,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:17620599,IPI,UniProtKB:P49407,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:18320024,IPI,UniProtKB:O95801,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20190715,UniProt,,
HSPA8,GO:0005515,PMID:18457437,IPI,UniProtKB:O95816,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,GO:0005634,
HSPA8,GO:0005515,PMID:18457437,IPI,UniProtKB:Q8AZK7,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:19338310,IPI,UniProtKB:P60709,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:19800331,IPI,UniProtKB:Q99933,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:20195357,IPI,UniProtKB:P05412,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,GO:0000785,
HSPA8,GO:0005515,PMID:20391533,IPI,UniProtKB:Q8TDR0,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,GO:0005634,
HSPA8,GO:0005515,PMID:20618441,IPI,UniProtKB:Q9UNE7,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:21148293,IPI,UniProtKB:Q9NXW2,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20170307,UniProt,,
HSPA8,GO:0005515,PMID:21150129,IPI,UniProtKB:Q9NXW2,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20170307,UniProt,,
HSPA8,GO:0005515,PMID:22085931,IPI,UniProtKB:Q9GZX7,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:22365833,IPI,UniProtKB:O95816,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,GO:0005634,
HSPA8,GO:0005515,PMID:22645275,IPI,UniProtKB:Q9NQ11,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:22990239,IPI,UniProtKB:P34932,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,GO:0005634,
HSPA8,GO:0005515,PMID:23431407,IPI,UniProtKB:P56696,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20161011,UniProt,,
HSPA8,GO:0005515,PMID:23455607,IPI,UniProtKB:Q5S007,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:23523103,IPI,UniProtKB:P00338,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:23801752,IPI,UniProtKB:Q969S8,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20181108,UniProt,,
HSPA8,GO:0005515,PMID:24122553,IPI,UniProtKB:Q9UKB3,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20170518,UniProt,,
HSPA8,GO:0005515,PMID:24136289,IPI,UniProtKB:Q99IB8-PRO_0000045603,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:24189400,IPI,UniProtKB:P00533,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:24318877,IPI,UniProtKB:O95816,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20170130,UniProt,,
HSPA8,GO:0005515,PMID:24318877,IPI,UniProtKB:O95817,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20170130,UniProt,,
HSPA8,GO:0005515,PMID:24318877,IPI,UniProtKB:Q99933,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20170130,UniProt,,
HSPA8,GO:0005515,PMID:24510904,IPI,UniProtKB:O14976,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:24510904,IPI,UniProtKB:Q5S007,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:24658140,IPI,UniProtKB:P00533,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:24787902,IPI,UniProtKB:Q9H095,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20160610,UniProt,,
HSPA8,GO:0005515,PMID:24947832,IPI,UniProtKB:Q5S007,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:25416956,IPI,UniProtKB:O00635,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:25416956,IPI,UniProtKB:Q9NZL4,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:25502805,IPI,UniProtKB:P40692,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:25609649,IPI,UniProtKB:P05412,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,GO:0000785,
HSPA8,GO:0005515,PMID:25719862,IPI,UniProtKB:P08621,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20151007,ParkinsonsUK-UCL,,
HSPA8,GO:0005515,PMID:25760597,IPI,UniProtKB:Q53FT3,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20180405,UniProt,,
HSPA8,GO:0005515,PMID:25910212,IPI,UniProtKB:P14598,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:25910212,IPI,UniProtKB:P61764,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:25959826,IPI,UniProtKB:P42858,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:25959826,IPI,UniProtKB:P54253,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:26212789,IPI,UniProtKB:Q96PG8,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20151008,ParkinsonsUK-UCL,,
HSPA8,GO:0005515,PMID:26775844,IPI,UniProtKB:P15516,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20230831,UniProt,,
HSPA8,GO:0005515,PMID:26775844,IPI,UniProtKB:P46527,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20230831,UniProt,,
HSPA8,GO:0005515,PMID:26871637,IPI,UniProtKB:Q99933,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:27103069,IPI,UniProtKB:Q8TEV9,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20170216,HGNC,,
HSPA8,GO:0005515,PMID:27103069,IPI,UniProtKB:Q96LT7,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20170216,HGNC,,
HSPA8,GO:0005515,PMID:27708256,IPI,UniProtKB:Q9BPY8,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20170130,UniProt,,
HSPA8,GO:0005515,PMID:27708256,IPI,UniProtKB:Q9UNE7,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20170130,UniProt,,
HSPA8,GO:0005515,PMID:27916661,IPI,UniProtKB:Q8TBM8,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20170307,UniProt,,
HSPA8,GO:0005515,PMID:27916661,IPI,UniProtKB:Q9NXW2,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20170307,UniProt,,
HSPA8,GO:0005515,PMID:28514442,IPI,UniProtKB:O14976,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:28514442,IPI,UniProtKB:Q15428,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:28514442,IPI,UniProtKB:Q9NZL4,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:29519959,IPI,UniProtKB:Q5S007,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:29568061,IPI,UniProtKB:O14976,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:29568061,IPI,UniProtKB:O95429,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:29568061,IPI,UniProtKB:O95816,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,GO:0005634,
HSPA8,GO:0005515,PMID:29568061,IPI,UniProtKB:P34932,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,GO:0005634,
HSPA8,GO:0005515,PMID:29568061,IPI,UniProtKB:Q9BQI3,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:29568061,IPI,UniProtKB:Q9NZL4,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:29568061,IPI,UniProtKB:Q9UNE7,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:29601588,IPI,UniProtKB:O75800,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20180516,UniProt,,
HSPA8,GO:0005515,PMID:29764935,IPI,UniProtKB:P01308-PRO_0000015820,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:29764935,IPI,UniProtKB:P01893,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:29764935,IPI,UniProtKB:P10636,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:29764935,IPI,UniProtKB:P10636-6,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:30021884,IPI,UniProtKB:O95816,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,GO:0005634,
HSPA8,GO:0005515,PMID:30021884,IPI,UniProtKB:P34932,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,GO:0005634,
HSPA8,GO:0005515,PMID:30021884,IPI,UniProtKB:Q8TDR0,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,GO:0005634,
HSPA8,GO:0005515,PMID:30827827,IPI,UniProtKB:Q5WZW9,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:31273097,IPI,UniProtKB:Q9BQI3,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:31980649,IPI,UniProtKB:P00533,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:32296183,IPI,UniProtKB:O00635,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:32296183,IPI,UniProtKB:O95429,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:32671205,IPI,UniProtKB:C0HMA1,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20231002,UniProt,,
HSPA8,GO:0005515,PMID:32814053,IPI,UniProtKB:O60260-5,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:32814053,IPI,UniProtKB:P05067,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:32814053,IPI,UniProtKB:P42858,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:32814053,IPI,UniProtKB:P54253,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240406,IntAct,,
HSPA8,GO:0005515,PMID:33857403,IPI,UniProtKB:Q8WXX5,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20210528,UniProt,,
HSPA8,GO:0005515,PMID:35044787,IPI,UniProtKB:Q9UL15,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20220721,UniProt,,
HSPA8,GO:0005515,PMID:9305631,IPI,UniProtKB:Q99933,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20091102,UniProt,,
HSPA8,GO:0005515,PMID:9499401,IPI,UniProtKB:Q00613,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20161129,UniProt,,
HSPA8,GO:0005524,PMID:23921388,IDA,,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20140415,BHF-UCL,,
HSPA8,GO:0016887,PMID:8530083,NAS,,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20040112,UniProt,,
HSPA8,GO:0016887,Reactome:R-HSA-3371422,TAS,,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20210811,Reactome,,
HSPA8,GO:0016887,Reactome:R-HSA-8868658,TAS,,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20210811,Reactome,,
HSPA8,GO:0019899,PMID:23921388,IPI,UniProtKB:Q8WXB1,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20140415,BHF-UCL,,
HSPA8,GO:0023026,PMID:20458337,HDA,,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20130829,UniProt,,
HSPA8,GO:0030674,PMID:11559757,IDA,,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20230119,UniProt,,
HSPA8,GO:0030674,PMID:16207813,IPI,UniProtKB:O95816|UniProtKB:Q9UNE7,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20180305,ARUK-UCL,,
HSPA8,GO:0030674,PMID:2799391,IDA,,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20230119,UniProt,,
HSPA8,GO:0030674,PMID:36586411,IDA,,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20230119,UniProt,UniProtKB:Q96P20|GO:0061740,
HSPA8,GO:0031072,PMID:17182002,IPI,UniProtKB:Q8WXX5,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20150731,UniProt,,
HSPA8,GO:0031072,PMID:23921388,IPI,UniProtKB:P25685,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20140415,BHF-UCL,,
HSPA8,GO:0031625,PMID:12150907,IPI,UniProtKB:O60260,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20140813,ParkinsonsUK-UCL,,
HSPA8,GO:0031625,PMID:16207813,IPI,UniProtKB:Q9UNE7,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20180305,ARUK-UCL,,
HSPA8,GO:0031686,GO_REF:0000107,IEA,UniProtKB:P63018|ensembl:ENSRNOP00000042159,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240129,Ensembl,,
HSPA8,GO:0042277,GO_REF:0000107,IEA,UniProtKB:P63018|ensembl:ENSRNOP00000042159,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240129,Ensembl,,
HSPA8,GO:0043531,GO_REF:0000107,IEA,UniProtKB:P63018|ensembl:ENSRNOP00000042159,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240129,Ensembl,,
HSPA8,GO:0045296,PMID:25468996,HDA,,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20180328,BHF-UCL,,
HSPA8,GO:0051082,PMID:21231916,IDA,,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20140403,UniProt,,
HSPA8,GO:0051087,PMID:16207813,IPI,UniProtKB:O95816,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20180305,ARUK-UCL,,
HSPA8,GO:0055131,PMID:25281747,IPI,UniProtKB:Q6ZRF8,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20150224,BHF-UCL,,
HSPA8,GO:0140545,PMID:23921388,IDA,,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20210519,BHF-UCL,,
HSPA8,GO:0140597,PMID:25719862,TAS,,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20210519,ParkinsonsUK-UCL,,
HSPA8,GO:0140662,GO_REF:0000002,IEA,InterPro:IPR013126,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240408,InterPro,,
HSPA8,GO:1904593,GO_REF:0000107,IEA,UniProtKB:P63018|ensembl:ENSRNOP00000042159,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240129,Ensembl,,
HSPA8,GO:1990833,GO_REF:0000107,IEA,UniProtKB:P63018|ensembl:ENSRNOP00000042159,F,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240129,Ensembl,,
HSPA8,GO:0000082,GO_REF:0000107,IEA,UniProtKB:P63018|ensembl:ENSRNOP00000042159,P,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240129,Ensembl,,
HSPA8,GO:0000398,PMID:23742842,NAS,,P,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20210519,ComplexPortal,,
HSPA8,GO:0001822,GO_REF:0000107,IEA,UniProtKB:P63018|ensembl:ENSRNOP00000042159,P,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240129,Ensembl,,
HSPA8,GO:0001916,GO_REF:0000107,IEA,UniProtKB:P63018|ensembl:ENSRNOP00000042159,P,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240129,Ensembl,,
HSPA8,GO:0006457,PMID:8530083,NAS,,P,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20011018,UniProt,,
HSPA8,GO:0006606,GO_REF:0000107,IEA,UniProtKB:P63018|ensembl:ENSRNOP00000042159,P,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240129,Ensembl,,
HSPA8,GO:0006986,PMID:11093761,NAS,,P,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20050308,UniProt,,
HSPA8,GO:0007519,GO_REF:0000107,IEA,UniProtKB:P63018|ensembl:ENSRNOP00000042159,P,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20240129,Ensembl,,
HSPA8,GO:0009267,PMID:20176123,TAS,,P,Heat shock cognate 71 kDa protein,HSC70|HSP73|HSPA10,protein,NCBITaxon:9606,20151116,ParkinsonsUK-UCL,,
