ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:1903902,positive regulation of viral life cycle,1/2,61/18866,0.006456376,0.025154502,0.000863427,HSPA8,1
GO:0051851,modulation by host of symbiont process,1/2,62/18866,0.006562044,0.025154502,0.000863427,HSPA8,1
GO:1904589,regulation of protein import,1/2,62/18866,0.006562044,0.025154502,0.000863427,HSPA8,1
GO:0072665,protein localization to vacuole,1/2,68/18866,0.007195934,0.026210043,0.000899658,HSPA8,1
GO:0008088,axo-dendritic transport,1/2,70/18866,0.007407186,0.026210043,0.000899658,HSPA8,1
GO:1900034,regulation of cellular response to heat,1/2,79/18866,0.008357541,0.028477546,0.00097749,HSPA8,1
GO:1903313,positive regulation of mRNA metabolic process,1/2,82/18866,0.008674225,0.028501023,0.000978296,HSPA8,1
GO:0051702,interaction with symbiont,1/2,93/18866,0.009834966,0.030221771,0.001037361,HSPA8,1
GO:0051817,modulation of process of other organism involved in symbiotic interaction,1/2,99/18866,0.010467811,0.030221771,0.001037361,HSPA8,1
GO:0045069,regulation of viral genome replication,1/2,100/18866,0.010573265,0.030221771,0.001037361,HSPA8,1
GO:0048524,positive regulation of viral process,1/2,107/18866,0.011311289,0.030221771,0.001037361,HSPA8,1
GO:0099175,regulation of postsynapse organization,1/2,107/18866,0.011311289,0.030221771,0.001037361,HSPA8,1
GO:0007041,lysosomal transport,1/2,110/18866,0.011627501,0.030221771,0.001037361,HSPA8,1
GO:0035821,modulation of process of other organism,1/2,113/18866,0.011943662,0.030221771,0.001037361,HSPA8,1
GO:0048024,"regulation of mRNA splicing, via spliceosome",1/2,113/18866,0.011943662,0.030221771,0.001037361,HSPA8,1
GO:0051261,protein depolymerization,1/2,115/18866,0.012154408,0.030221771,0.001037361,HSPA8,1
GO:0034605,cellular response to heat,1/2,125/18866,0.013207801,0.03165369,0.001086511,HSPA8,1
GO:0019079,viral genome replication,1/2,127/18866,0.013418412,0.03165369,0.001086511,HSPA8,1
GO:0034620,cellular response to unfolded protein,1/2,146/18866,0.015418097,0.032054772,0.001100278,HSPA8,1
GO:0007034,vacuolar transport,1/2,150/18866,0.015838825,0.032054772,0.001100278,HSPA8,1
GO:0050684,regulation of mRNA processing,1/2,152/18866,0.016049155,0.032054772,0.001100278,HSPA8,1
GO:0003341,cilium movement,1/2,156/18866,0.016469748,0.032054772,0.001100278,ZBBX,1
GO:0043484,regulation of RNA splicing,1/2,156/18866,0.016469748,0.032054772,0.001100278,HSPA8,1
GO:1902904,negative regulation of supramolecular fiber organization,1/2,156/18866,0.016469748,0.032054772,0.001100278,HSPA8,1
GO:1903900,regulation of viral life cycle,1/2,157/18866,0.016574882,0.032054772,0.001100278,HSPA8,1
GO:0010970,transport along microtubule,1/2,161/18866,0.016995362,0.032054772,0.001100278,HSPA8,1
GO:0009267,cellular response to starvation,1/2,163/18866,0.017205569,0.032054772,0.001100278,HSPA8,1
GO:0009408,response to heat,1/2,166/18866,0.017520837,0.032054772,0.001100278,HSPA8,1
GO:0035967,cellular response to topologically incorrect protein,1/2,166/18866,0.017520837,0.032054772,0.001100278,HSPA8,1
GO:0099173,postsynapse organization,1/2,173/18866,0.018256265,0.032054772,0.001100278,HSPA8,1
GO:0007269,neurotransmitter secretion,1/2,175/18866,0.018466336,0.032054772,0.001100278,HSPA8,1
GO:0099643,signal release from synapse,1/2,175/18866,0.018466336,0.032054772,0.001100278,HSPA8,1
GO:0006986,response to unfolded protein,1/2,183/18866,0.019306398,0.032080833,0.001101173,HSPA8,1
GO:0043488,regulation of mRNA stability,1/2,186/18866,0.019621329,0.032080833,0.001101173,HSPA8,1
GO:0099111,microtubule-based transport,1/2,190/18866,0.020041157,0.032080833,0.001101173,HSPA8,1
GO:0043487,regulation of RNA stability,1/2,195/18866,0.020565817,0.032080833,0.001101173,HSPA8,1
GO:0017038,protein import,1/2,200/18866,0.021090336,0.032080833,0.001101173,HSPA8,1
GO:0030705,cytoskeleton-dependent intracellular transport,1/2,200/18866,0.021090336,0.032080833,0.001101173,HSPA8,1
GO:0035966,response to topologically incorrect protein,1/2,205/18866,0.021614714,0.032080833,0.001101173,HSPA8,1
GO:0042594,response to starvation,1/2,206/18866,0.021719573,0.032080833,0.001101173,HSPA8,1
GO:0061013,regulation of mRNA catabolic process,1/2,208/18866,0.021929274,0.032080833,0.001101173,HSPA8,1
GO:0050792,regulation of viral process,1/2,217/18866,0.022872649,0.032080833,0.001101173,HSPA8,1
GO:0031669,cellular response to nutrient levels,1/2,221/18866,0.023291781,0.032080833,0.001101173,HSPA8,1
GO:0043624,cellular protein complex disassembly,1/2,224/18866,0.023606071,0.032080833,0.001101173,HSPA8,1
GO:0006836,neurotransmitter transport,1/2,229/18866,0.024129775,0.032080833,0.001101173,HSPA8,1
GO:0050807,regulation of synapse organization,1/2,229/18866,0.024129775,0.032080833,0.001101173,HSPA8,1
GO:0006457,protein folding,1/2,230/18866,0.024234499,0.032080833,0.001101173,HSPA8,1
GO:0043903,regulation of symbiotic process,1/2,231/18866,0.024339217,0.032080833,0.001101173,HSPA8,1
GO:0009266,response to temperature stimulus,1/2,233/18866,0.024548637,0.032080833,0.001101173,HSPA8,1
GO:0001505,regulation of neurotransmitter levels,1/2,235/18866,0.024758034,0.032080833,0.001101173,HSPA8,1
GO:0050803,regulation of synapse structure or activity,1/2,240/18866,0.025281429,0.032304049,0.001108835,HSPA8,1
GO:0031668,cellular response to extracellular stimulus,1/2,253/18866,0.026641599,0.033575714,0.001152484,HSPA8,1
GO:0031647,regulation of protein stability,1/2,296/18866,0.031133856,0.038706956,0.001328614,HSPA8,1
GO:0046034,ATP metabolic process,1/2,311/18866,0.032698478,0.040110132,0.001376778,HSPA8,1
GO:0071496,cellular response to external stimulus,1/2,326/18866,0.034261835,0.041434072,0.001422222,HSPA8,1
GO:0032984,protein-containing complex disassembly,1/2,330/18866,0.034678517,0.041434072,0.001422222,HSPA8,1
GO:0019058,viral life cycle,1/2,341/18866,0.035823928,0.042082657,0.001444485,HSPA8,1
GO:1903311,regulation of mRNA metabolic process,1/2,344/18866,0.036136195,0.042082657,0.001444485,HSPA8,1
GO:1902903,regulation of supramolecular fiber organization,1/2,373/18866,0.039152167,0.044823189,0.001538553,HSPA8,1
GO:0006402,mRNA catabolic process,1/2,376/18866,0.039463895,0.044823189,0.001538553,HSPA8,1
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",1/2,390/18866,0.040917954,0.045156004,0.001549977,HSPA8,1
GO:0000398,"mRNA splicing, via spliceosome",1/2,390/18866,0.040917954,0.045156004,0.001549977,HSPA8,1
GO:0000375,"RNA splicing, via transesterification reactions",1/2,393/18866,0.041229395,0.045156004,0.001549977,HSPA8,1
GO:0006401,RNA catabolic process,1/2,415/18866,0.043511749,0.04709507,0.001616536,HSPA8,1
GO:0050808,synapse organization,1/2,433/18866,0.045377107,0.048542951,0.001666234,HSPA8,1
GO:0006605,protein targeting,1/2,444/18866,0.046516151,0.049171568,0.001687811,HSPA8,1
GO:0043254,regulation of protein-containing complex assembly,1/2,449/18866,0.047033674,0.049171568,0.001687811,HSPA8,1
GO:0031667,response to nutrient levels,1/2,473/18866,0.049515827,0.0511849,0.001756919,HSPA8,1
GO:0008380,RNA splicing,1/2,487/18866,0.050962255,0.051272061,0.001759911,HSPA8,1
GO:0043312,neutrophil degranulation,1/2,487/18866,0.050962255,0.051272061,0.001759911,HSPA8,1
GO:0002283,neutrophil activation involved in immune response,1/2,490/18866,0.051272061,0.051272061,0.001759911,HSPA8,1
GO:0023026,MHC class II protein complex binding,1/2,16/18352,0.001742967,0.01249659,,HSPA8,1
GO:0023023,MHC protein complex binding,1/2,25/18352,0.002722717,0.01249659,,HSPA8,1
GO:0044183,protein folding chaperone,1/2,27/18352,0.002940374,0.01249659,,HSPA8,1
GO:0051787,misfolded protein binding,1/2,27/18352,0.002940374,0.01249659,,HSPA8,1
GO:0001786,phosphatidylserine binding,1/2,58/18352,0.00631102,0.021457469,,HSPA8,1
GO:0072341,modified amino acid binding,1/2,90/18352,0.009784411,0.026053328,,HSPA8,1
GO:0051087,chaperone binding,1/2,104/18352,0.011302107,0.026053328,,HSPA8,1
GO:0051082,unfolded protein binding,1/2,118/18352,0.012818639,0.026053328,,HSPA8,1
GO:0031072,heat shock protein binding,1/2,127/18352,0.013792938,0.026053328,,HSPA8,1
GO:0030674,protein-macromolecule adaptor activity,1/2,244/18352,0.02641505,0.04063571,,HSPA8,1
GO:0001664,G protein-coupled receptor binding,1/2,293/18352,0.031677082,0.04063571,,HSPA8,1
GO:0031625,ubiquitin protein ligase binding,1/2,297/18352,0.032106006,0.04063571,,HSPA8,1
GO:0044389,ubiquitin-like protein ligase binding,1/2,316/18352,0.034142097,0.04063571,,HSPA8,1
GO:0060090,molecular adaptor activity,1/2,316/18352,0.034142097,0.04063571,,HSPA8,1
GO:0045296,cadherin binding,1/2,332/18352,0.035855038,0.04063571,,HSPA8,1
GO:0016887,ATPase activity,1/2,423/18352,0.045568477,0.048416506,,HSPA8,1
GO:0005543,phospholipid binding,1/2,454/18352,0.04886622,0.04886622,,HSPA8,1
GO:0097470,ribbon synapse,1/2,11/19559,0.001124514,0.014310903,,HSPA8,1
GO:0060198,clathrin-sculpted vesicle,1/2,12/19559,0.001226712,0.014310903,,HSPA8,1
GO:0000974,Prp19 complex,1/2,13/19559,0.001328904,0.014310903,,HSPA8,1
GO:0099523,presynaptic cytosol,1/2,14/19559,0.00143109,0.014310903,,HSPA8,1
GO:0099524,postsynaptic cytosol,1/2,18/19559,0.001839785,0.014598854,,HSPA8,1
GO:0099522,region of cytosol,1/2,25/19559,0.002554799,0.014598854,,HSPA8,1
GO:0101031,chaperone complex,1/2,25/19559,0.002554799,0.014598854,,HSPA8,1
GO:0098576,lumenal side of membrane,1/2,36/19559,0.003677876,0.01838938,,HSPA8,1
GO:0043195,terminal bouton,1/2,56/19559,0.005718213,0.025414278,,HSPA8,1
GO:0043202,lysosomal lumen,1/2,96/19559,0.009792612,0.029442831,,HSPA8,1
GO:0005776,autophagosome,1/2,97/19559,0.009894365,0.029442831,,HSPA8,1
GO:0042470,melanosome,1/2,105/19559,0.010708199,0.029442831,,HSPA8,1
GO:0048770,pigment granule,1/2,105/19559,0.010708199,0.029442831,,HSPA8,1
GO:0030665,clathrin-coated vesicle membrane,1/2,118/19559,0.012029966,0.029442831,,HSPA8,1
GO:0099634,postsynaptic specialization membrane,1/2,118/19559,0.012029966,0.029442831,,HSPA8,1
GO:0101002,ficolin-1-rich granule,1/2,124/19559,0.012639714,0.029442831,,HSPA8,1
GO:1904813,ficolin-1-rich granule lumen,1/2,124/19559,0.012639714,0.029442831,,HSPA8,1
GO:0043679,axon terminus,1/2,130/19559,0.013249274,0.029442831,,HSPA8,1
GO:0072562,blood microparticle,1/2,148/19559,0.015076825,0.030356611,,HSPA8,1
GO:0044306,neuron projection terminus,1/2,149/19559,0.015178306,0.030356611,,HSPA8,1
GO:0005775,vacuolar lumen,1/2,173/19559,0.01761228,0.032393098,,HSPA8,1
GO:0030662,coated vesicle membrane,1/2,183/19559,0.018625547,0.032393098,,HSPA8,1
GO:0005681,spliceosomal complex,1/2,192/19559,0.01953704,0.032393098,,HSPA8,1
GO:0030136,clathrin-coated vesicle,1/2,194/19559,0.019739536,0.032393098,,HSPA8,1
GO:0031514,motile cilium,1/2,199/19559,0.020245686,0.032393098,,ZBBX,1
GO:0005770,late endosome,1/2,278/19559,0.028225507,0.041573956,,HSPA8,1
GO:0045211,postsynaptic membrane,1/2,280/19559,0.028427104,0.041573956,,HSPA8,1
GO:0030135,coated vesicle,1/2,298/19559,0.030240538,0.041573956,,HSPA8,1
GO:0150034,distal axon,1/2,309/19559,0.031347914,0.041573956,,HSPA8,1
GO:0034774,secretory granule lumen,1/2,322/19559,0.032655816,0.041573956,,HSPA8,1
GO:0060205,cytoplasmic vesicle lumen,1/2,326/19559,0.033058069,0.041573956,,HSPA8,1
GO:0031983,vesicle lumen,1/2,328/19559,0.033259165,0.041573956,,HSPA8,1
GO:0098978,glutamatergic synapse,1/2,361/19559,0.036574219,0.042198762,,HSPA8,1
GO:0099572,postsynaptic specialization,1/2,361/19559,0.036574219,0.042198762,,HSPA8,1
GO:0005765,lysosomal membrane,1/2,375/19559,0.037978885,0.042198762,,HSPA8,1
GO:0098852,lytic vacuole membrane,1/2,375/19559,0.037978885,0.042198762,,HSPA8,1
GO:0097060,synaptic membrane,1/2,387/19559,0.03918207,0.042358994,,HSPA8,1
GO:0005925,focal adhesion,1/2,415/19559,0.041986572,0.043187247,,HSPA8,1
GO:0030055,cell-substrate junction,1/2,423/19559,0.042787105,0.043187247,,HSPA8,1
GO:0005774,vacuolar membrane,1/2,427/19559,0.043187247,0.043187247,,HSPA8,1
