gene_claim_name,gene_concept_id,Gene_name,interaction_source_db_name,interaction_source_db_version,interaction_type,interaction_score,drug_claim_name,drug_concept_id,drug_name,approved,immunotherapy,anti_neoplastic,Interactor_Type,ATC_Code,ATC_Category
UNIPROT:P68366,hgnc:12407,TUBA4A,TdgClinicalTrial,14-Jan,,0.050652743,VINCRISTINE,rxcui:11202,VINCRISTINE,TRUE,FALSE,TRUE,Unknown,,Antineoplastic agents
TUBULIN BETA,hgnc:20778,TUBB,TTD,2020.06.01,,0.120367457,Mebendazole,rxcui:6672,MEBENDAZOLE,TRUE,FALSE,FALSE,Known,,Anthelmintics
HTT,hgnc:4851,HTT,DTC,5-Jun-23,,0.011159897,DACTINOMYCIN,rxcui:3100,DACTINOMYCIN,TRUE,FALSE,FALSE,Both,,Antineoplastic agents
AKT1,hgnc:391,AKT1,PharmGKB,5-Jun-23,,0.031206378,nortriptyline,rxcui:7531,NORTRIPTYLINE,TRUE,FALSE,FALSE,Known,,Nervous system
TUBA1A,hgnc:20766,TUBA1A,DTC,5-Jun-23,,0.021533426,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE,Both,,Not classified
TUBA3C,hgnc:12408,TUBA3C,DTC,5-Jun-23,,0.031272563,VORINOSTAT,rxcui:194337,VORINOSTAT,TRUE,FALSE,TRUE,Unknown,,Antineoplastic agents
TUBB3,hgnc:20772,TUBB3,ChEMBL,32,inhibitor,0.047951263,VINFLUNINE,ncit:C61564,VINFLUNINE,TRUE,FALSE,FALSE,Both,,Antineoplastic agents
TUBA1C,hgnc:20768,TUBA1C,DTC,5-Jun-23,,0.125090252,PODOFILOX,rxcui:8463,PODOFILOX,TRUE,FALSE,TRUE,Novel,,Dermatologicals
TUBA4A,hgnc:12407,TUBA4A,DTC,5-Jun-23,,0.021796029,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE,Unknown,,Not classified
TUBB2B,hgnc:30829,TUBB2B,ChEMBL,32,inhibitor,0.140726534,COLCHICINE,rxcui:2683,COLCHICINE,TRUE,FALSE,FALSE,Both,,Musculo-skeletal system
TUBA4A,hgnc:12407,TUBA4A,ChEMBL,32,inhibitor,0.140726534,COLCHICINE,rxcui:2683,COLCHICINE,TRUE,FALSE,FALSE,Unknown,,Musculo-skeletal system
TUBA1C,hgnc:20768,TUBA1C,ChEMBL,32,inhibitor,0.140726534,COLCHICINE,rxcui:2683,COLCHICINE,TRUE,FALSE,FALSE,Novel,,Musculo-skeletal system
TUBA1B,hgnc:18809,TUBA1B,ChEMBL,32,inhibitor,0.140726534,COLCHICINE,rxcui:2683,COLCHICINE,TRUE,FALSE,FALSE,Novel,,Musculo-skeletal system
TUBA4A,hgnc:12407,TUBA4A,ChEMBL,32,inhibitor,0.044954309,ENFORTUMAB VEDOTIN,rxcui:2268306,ENFORTUMAB VEDOTIN-EJFV,TRUE,FALSE,TRUE,Unknown,,Antineoplastic agents
TUBA1B,hgnc:18809,TUBA1B,ChEMBL,32,inhibitor,0.044954309,ENFORTUMAB VEDOTIN,rxcui:2268306,ENFORTUMAB VEDOTIN-EJFV,TRUE,FALSE,TRUE,Novel,,Antineoplastic agents
TUBA3C,hgnc:12408,TUBA3C,ChEMBL,32,inhibitor,0.044954309,ENFORTUMAB VEDOTIN,rxcui:2268306,ENFORTUMAB VEDOTIN-EJFV,TRUE,FALSE,TRUE,Unknown,,Antineoplastic agents
TUBA1C,hgnc:20768,TUBA1C,ChEMBL,32,inhibitor,0.044954309,ENFORTUMAB VEDOTIN,rxcui:2268306,ENFORTUMAB VEDOTIN-EJFV,TRUE,FALSE,TRUE,Novel,,Antineoplastic agents
TUBA3D,hgnc:24071,TUBA3D,DTC,5-Jun-23,,0.488447651,PODOFILOX,rxcui:8463,PODOFILOX,TRUE,FALSE,TRUE,Novel,,Dermatologicals
TUBB2A,hgnc:12412,TUBB2A,DTC,5-Jun-23,,0.122111913,PODOFILOX,rxcui:8463,PODOFILOX,TRUE,FALSE,TRUE,Unknown,,Dermatologicals
TUBB2B,hgnc:30829,TUBB2B,DTC,5-Jun-23,,0.031272563,VORINOSTAT,rxcui:194337,VORINOSTAT,TRUE,FALSE,TRUE,Both,,Antineoplastic agents
PRKCA,hgnc:9393,PRKCA,PharmGKB,5-Jun-23,,0.136527903,bevacizumab,rxcui:2046138,BEVACIZUMAB-AWWB,TRUE,TRUE,TRUE,Novel,,Antineoplastic agents
UNIPROT:P05067,hgnc:620,APP,TdgClinicalTrial,14-Jan,,3.932003593,GANTENERUMAB,ncit:C88580,GANTENERUMAB,FALSE,FALSE,FALSE,Both,,Monoclonal Antibody
UNIPROT:P17252,hgnc:9393,PRKCA,TdgClinicalTrial,14-Jan,,0.223409295,INGENOL MEBUTATE,rxcui:1242806,INGENOL MEBUTATE,TRUE,FALSE,FALSE,Novel,,Dermatologicals
UNIPROT:Q9UBN7,hgnc:14064,HDAC6,TdgClinicalTrial,14-Jan,,0.501531071,BELINOSTAT,rxcui:1543543,BELINOSTAT,TRUE,FALSE,TRUE,Known,,Other antineoplastic agents
UNIPROT:P07437,hgnc:20778,TUBB,TdgClinicalTrial,14-Jan,,0.05933607,VINCRISTINE,rxcui:11202,VINCRISTINE,TRUE,FALSE,TRUE,Known,,Antineoplastic agents
TUBULIN BETA-2 CHAIN,hgnc:12412,TUBB2A,TTD,2020.06.01,,0.085108303,Vinblastine,rxcui:11198,VINBLASTINE,TRUE,FALSE,TRUE,Unknown,,Vinca alkaloids and analogues
AKT1,hgnc:391,AKT1,CIViC,5-Jun-23,,0.024781535,VEMURAFENIB,rxcui:1147220,VEMURAFENIB,TRUE,FALSE,TRUE,Known,,Protein kinase inhibitors
TUBB4A,hgnc:20774,TUBB4A,DTC,5-Jun-23,,0.021796029,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE,Novel,,Not classified
TUBA1B,hgnc:18809,TUBA1B,DTC,5-Jun-23,,0.021796029,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE,Novel,,Not classified
HTT,hgnc:4851,HTT,DTC,5-Jun-23,,0.022976258,FLUSPIRILENE,rxcui:4507,FLUSPIRILENE,TRUE,FALSE,FALSE,Both,,Nervous system
AKT1,hgnc:391,AKT1,DTC,5-Jun-23,,0.031206378,FASUDIL,ncit:C65624,FASUDIL,FALSE,FALSE,TRUE,Known,,Rho-Kinase Inhibitor
HTT,hgnc:4851,HTT,DTC,5-Jun-23,,0.055799483,GNF-PF-1319,chembl:CHEMBL235891,CHEMBL:CHEMBL235891,FALSE,FALSE,FALSE,Both,,Tubulin Polymerization Inhibitor
TUBA3C,hgnc:12408,TUBA3C,ChEMBL,32,inhibitor,0.047951263,CROLIBULIN,ncit:C66938,CROLIBULIN,FALSE,FALSE,FALSE,Unknown,,Natural Product
AKT1,hgnc:391,AKT1,DTC,5-Jun-23,,0.561714799,ANDROGRAPHOLIDE,ncit:C61637,ANDROGRAPHOLIDE,FALSE,FALSE,FALSE,Known,,Natural Product
TUBA1B,hgnc:18809,TUBA1B,DTC,5-Jun-23,,0.125090252,PODOFILOX,rxcui:8463,PODOFILOX,TRUE,FALSE,TRUE,Novel,,Dermatologicals
GSK3B,hgnc:4617,GSK3B,DTC,5-Jun-23,,2.621335729,MANZAMINE A,chembl:CHEMBL403233,MANZAMINE A,FALSE,FALSE,FALSE,Known,,Alzheimer's Disease Therapeutic Agent
CTNNB1,hgnc:2514,CTNNB1,PharmGKB,5-Jun-23,,0.054993057,celecoxib,rxcui:140587,CELECOXIB,TRUE,FALSE,TRUE,,,Coxibs
TUBB4A,hgnc:20774,TUBB4A,ChEMBL,32,inhibitor,0.140726534,COLCHICINE,rxcui:2683,COLCHICINE,TRUE,FALSE,FALSE,Novel,,Musculo-skeletal system
TUBB4B,hgnc:20771,TUBB4B,ChEMBL,32,inhibitor,0.139031033,COLCHICINE,rxcui:2683,COLCHICINE,TRUE,FALSE,FALSE,Novel,,Musculo-skeletal system
TUBB2A,hgnc:12412,TUBB2A,ChEMBL,32,inhibitor,0.137375902,COLCHICINE,rxcui:2683,COLCHICINE,TRUE,FALSE,FALSE,Unknown,,Musculo-skeletal system
APP,hgnc:620,APP,ChEMBL,32,binder,3.932003593,SOLANEZUMAB,ncit:C88585,SOLANEZUMAB,FALSE,FALSE,FALSE,Both,,Monoclonal Antibody
APP,hgnc:620,APP,ChEMBL,32,binder,3.932003593,BAPINEUZUMAB,ncit:C79569,BAPINEUZUMAB,FALSE,FALSE,FALSE,Both,,Monoclonal Antibody
TUBB4B,hgnc:20771,TUBB4B,ChEMBL,32,inhibitor,0.047373537,CROLIBULIN,ncit:C66938,CROLIBULIN,FALSE,FALSE,FALSE,Novel,,Natural Product
TUBB4A,hgnc:20774,TUBB4A,ChEMBL,32,inhibitor,0.047951263,CROLIBULIN,ncit:C66938,CROLIBULIN,FALSE,FALSE,FALSE,Novel,,Natural Product
TUBA1C,hgnc:20768,TUBA1C,ChEMBL,32,inhibitor,0.047951263,CROLIBULIN,ncit:C66938,CROLIBULIN,FALSE,FALSE,FALSE,Novel,,Natural Product
TUBA4A,hgnc:12407,TUBA4A,ChEMBL,32,inhibitor,0.047951263,VINFLUNINE,ncit:C61564,VINFLUNINE,TRUE,FALSE,FALSE,Unknown,,Antineoplastic agents
TUBB4A,hgnc:20774,TUBB4A,ChEMBL,32,inhibitor,0.047951263,VINFLUNINE,ncit:C61564,VINFLUNINE,TRUE,FALSE,FALSE,Novel,,Antineoplastic agents
TUBB,hgnc:20778,TUBB,ChEMBL,32,inhibitor,0.040122486,VINFLUNINE,ncit:C61564,VINFLUNINE,TRUE,FALSE,FALSE,Known,,Antineoplastic agents
TUBA3C,hgnc:12408,TUBA3C,ChEMBL,32,inhibitor,0.047951263,VINFLUNINE,ncit:C61564,VINFLUNINE,TRUE,FALSE,FALSE,Unknown,,Antineoplastic agents
PDE4C,hgnc:8782,PDE4C,ChEMBL,32,inhibitor,0.338965827,IBUDILAST,ncit:C65876,IBUDILAST,FALSE,FALSE,FALSE,Unknown,,Phosphodiesterase Inhibitor
TUBB4B,hgnc:20771,TUBB4B,ChEMBL,32,inhibitor,0.044412691,ENFORTUMAB VEDOTIN,rxcui:2268306,ENFORTUMAB VEDOTIN-EJFV,TRUE,FALSE,TRUE,Novel,,Antineoplastic agents
PRKACA,hgnc:9380,PRKACA,DTC,5-Jun-23,,0.109222322,FASUDIL,ncit:C65624,FASUDIL,FALSE,FALSE,TRUE,Both,,Rho-Kinase Inhibitor
TUBB,hgnc:20778,TUBB,DTC,5-Jun-23,,0.104667354,PODOFILOX,rxcui:8463,PODOFILOX,TRUE,FALSE,TRUE,Known,,Dermatologicals
TUBB4B,hgnc:20771,TUBB4B,DTC,5-Jun-23,,0.123583141,PODOFILOX,rxcui:8463,PODOFILOX,TRUE,FALSE,TRUE,Novel,,Dermatologicals
HTT,hgnc:4851,HTT,DTC,5-Jun-23,,0.016982451,THIOMERSAL,rxcui:10472,THIMEROSAL,TRUE,FALSE,FALSE,Both,,Organic mercury compounds
HTT,hgnc:4851,HTT,DTC,5-Jun-23,,0.097649096,OXYBENZONE,rxcui:32673,OXYBENZONE,TRUE,FALSE,FALSE,Both,,Benzophenone derivatives
TUBB4A,hgnc:20774,TUBB4A,DTC,5-Jun-23,,0.031272563,VORINOSTAT,rxcui:194337,VORINOSTAT,TRUE,FALSE,TRUE,Novel,,Antineoplastic agents
TUBA1C,hgnc:20768,TUBA1C,DTC,5-Jun-23,,0.031272563,VORINOSTAT,rxcui:194337,VORINOSTAT,TRUE,FALSE,TRUE,Novel,,Antineoplastic agents
TUBB4B,hgnc:20771,TUBB4B,DTC,5-Jun-23,,0.030895785,VORINOSTAT,rxcui:194337,VORINOSTAT,TRUE,FALSE,TRUE,Novel,,Antineoplastic agents
HTT,hgnc:4851,HTT,DTC,5-Jun-23,,0.008877191,IDARUBICIN,rxcui:5650,IDARUBICIN,TRUE,FALSE,TRUE,Both,,Anthracyclines and related substances
GSK3B,hgnc:4617,GSK3B,DTC,5-Jun-23,,0.02788655,KENPAULLONE,iuphar.ligand:6000,KENPAULLONE,FALSE,FALSE,FALSE,Known,,CDK Inhibitor
TUBB2A,hgnc:12412,TUBB2A,DTC,5-Jun-23,,0.021277076,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE,Unknown,,Not classified
TUBA1C,hgnc:20768,TUBA1C,DTC,5-Jun-23,,0.021796029,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE,Novel,,Not classified
KLC3,hgnc:20717,KLC3,PharmGKB,5-Jun-23,,0.278207801,fluorouracil,rxcui:4492,FLUOROURACIL,TRUE,FALSE,TRUE,Both,,Pyrimidine analogues
HDAC6,hgnc:14064,HDAC6,TALC,12-May-16,inhibitor,0.22468592,PANOBINOSTAT,rxcui:1603350,PANOBINOSTAT,TRUE,FALSE,TRUE,Known,,Other antineoplastic agents
UNIPROT:P05067,hgnc:620,APP,TdgClinicalTrial,14-Jan,,3.932003593,SOLANEZUMAB,ncit:C88585,SOLANEZUMAB,FALSE,FALSE,FALSE,Both,,Monoclonal Antibody
UNIPROT:P07437,hgnc:20778,TUBB,TdgClinicalTrial,14-Jan,,0.091187467,VINBLASTINE,rxcui:11198,VINBLASTINE,TRUE,FALSE,TRUE,Known,,Vinca alkaloids and analogues
UNIPROT:P07437,hgnc:20778,TUBB,TEND,1-Aug-11,,0.057317837,IXABEPILONE,rxcui:337523,IXABEPILONE,TRUE,FALSE,FALSE,Known,,Epothilones
CTNNB1,hgnc:2514,CTNNB1,JAX-CKB,5-Jun-23,,0.105133786,Cetuximab,rxcui:318341,CETUXIMAB,TRUE,TRUE,TRUE,,,Monoclonal antibodies
GSK3B,hgnc:4617,GSK3B,DTC,5-Jun-23,,0.026213357,ALSTERPAULLONE,drugbank:DB04014,ALSTERPAULLONE,FALSE,FALSE,FALSE,Known,,CDK Inhibitor
PRKACB,hgnc:9381,PRKACB,DTC,5-Jun-23,,2.184446441,FASUDIL,ncit:C65624,FASUDIL,FALSE,FALSE,TRUE,Both,,Rho-Kinase Inhibitor
TUBB4A,hgnc:20774,TUBB4A,ChEMBL,32,inhibitor,0.044954309,ENFORTUMAB VEDOTIN,rxcui:2268306,ENFORTUMAB VEDOTIN-EJFV,TRUE,FALSE,TRUE,Novel,,Antineoplastic agents
TUBB2A,hgnc:12412,TUBB2A,ChEMBL,32,inhibitor,0.046809567,CROLIBULIN,ncit:C66938,CROLIBULIN,FALSE,FALSE,FALSE,Unknown,,Natural Product
CSNK1A1,hgnc:2451,CSNK1A1,NCI,14-Sep-17,,0.216838433,HEPARIN,rxcui:104466,TINZAPARIN SODIUM,TRUE,FALSE,FALSE,Novel,,Heparin group
TUBA3D,hgnc:24071,TUBA3D,DTC,5-Jun-23,,0.122111913,VORINOSTAT,rxcui:194337,VORINOSTAT,TRUE,FALSE,TRUE,Novel,,Antineoplastic agents
HTT,hgnc:4851,HTT,DTC,5-Jun-23,,0.027899742,TERFENADINE,rxcui:42330,TERFENADINE,TRUE,FALSE,FALSE,Both,,Other antihistamines for systemic use
TUBA1B,hgnc:18809,TUBA1B,ChEMBL,32,inhibitor,0.047951263,CROLIBULIN,ncit:C66938,CROLIBULIN,FALSE,FALSE,FALSE,Novel,,Natural Product
AKT1,hgnc:391,AKT1,CancerCommons,25-Jul-13,inhibitor,0.2808574,MK2206,ncit:C90581,AKT INHIBITOR MK2206,FALSE,FALSE,TRUE,Known,,Protein Kinase Inhibitor
TUBA3C,hgnc:12408,TUBA3C,ChEMBL,32,inhibitor,0.140726534,COLCHICINE,rxcui:2683,COLCHICINE,TRUE,FALSE,FALSE,Unknown,,Musculo-skeletal system
TUBB,hgnc:20778,TUBB,ChEMBL,32,inhibitor,0.130834192,COLCHICINE,rxcui:2683,COLCHICINE,TRUE,FALSE,FALSE,Known,,Musculo-skeletal system
PDE4C,hgnc:8782,PDE4C,ChEMBL,32,inhibitor,0.203379496,OXTRIPHYLLINE,rxcui:20976,OXTRIPHYLLINE,TRUE,FALSE,FALSE,Unknown,,Xanthines
TUBB3,hgnc:20772,TUBB3,ChEMBL,32,inhibitor,0.047951263,CROLIBULIN,ncit:C66938,CROLIBULIN,FALSE,FALSE,FALSE,Both,,Natural Product
TUBB2B,hgnc:30829,TUBB2B,ChEMBL,32,inhibitor,0.047951263,CROLIBULIN,ncit:C66938,CROLIBULIN,FALSE,FALSE,FALSE,Both,,Natural Product
TUBA1A,hgnc:20766,TUBA1A,ChEMBL,32,inhibitor,0.047373537,CROLIBULIN,ncit:C66938,CROLIBULIN,FALSE,FALSE,FALSE,Both,,Natural Product
TUBA4A,hgnc:12407,TUBA4A,ChEMBL,32,inhibitor,0.047951263,CROLIBULIN,ncit:C66938,CROLIBULIN,FALSE,FALSE,FALSE,Unknown,,Natural Product
TUBA1C,hgnc:20768,TUBA1C,ChEMBL,32,inhibitor,0.047951263,VINFLUNINE,ncit:C61564,VINFLUNINE,TRUE,FALSE,FALSE,Novel,,Antineoplastic agents
TUBA1A,hgnc:20766,TUBA1A,ChEMBL,32,inhibitor,0.047373537,VINFLUNINE,ncit:C61564,VINFLUNINE,TRUE,FALSE,FALSE,Both,,Antineoplastic agents
TUBB2A,hgnc:12412,TUBB2A,ChEMBL,32,inhibitor,0.046809567,VINFLUNINE,ncit:C61564,VINFLUNINE,TRUE,FALSE,FALSE,Unknown,,Antineoplastic agents
TUBB4B,hgnc:20771,TUBB4B,ChEMBL,32,inhibitor,0.047373537,VINFLUNINE,ncit:C61564,VINFLUNINE,TRUE,FALSE,FALSE,Novel,,Antineoplastic agents
PDE4C,hgnc:8782,PDE4C,ChEMBL,32,inhibitor,0.50844874,DOVRAMILAST,ncit:C189964,DOVRAMILAST,FALSE,FALSE,FALSE,Unknown,,Phosphodiesterase Inhibitor
TUBB3,hgnc:20772,TUBB3,ChEMBL,32,inhibitor,0.044954309,ENFORTUMAB VEDOTIN,rxcui:2268306,ENFORTUMAB VEDOTIN-EJFV,TRUE,FALSE,TRUE,Both,,Antineoplastic agents
TUBB,hgnc:20778,TUBB,ChEMBL,32,inhibitor,0.03761483,ENFORTUMAB VEDOTIN,rxcui:2268306,ENFORTUMAB VEDOTIN-EJFV,TRUE,FALSE,TRUE,Known,,Antineoplastic agents
TUBA1A,hgnc:20766,TUBA1A,ChEMBL,32,inhibitor,0.044412691,ENFORTUMAB VEDOTIN,rxcui:2268306,ENFORTUMAB VEDOTIN-EJFV,TRUE,FALSE,TRUE,Both,,Antineoplastic agents
TUBB3,hgnc:20772,TUBB3,ClearityFoundationBiomarkers,26-Jul-13,,0.104747905,PACLITAXEL,rxcui:56946,PACLITAXEL,TRUE,FALSE,TRUE,Both,,Taxanes
CSNK1A1,hgnc:2451,CSNK1A1,DTC,5-Jun-23,,0.141778976,SB-203580,iuphar.ligand:5269,SB203580,FALSE,FALSE,FALSE,Novel,,p38 MAP Kinase Inhibitor
TUBA4A,hgnc:12407,TUBA4A,DTC,5-Jun-23,,0.125090252,PODOFILOX,rxcui:8463,PODOFILOX,TRUE,FALSE,TRUE,Unknown,,Dermatologicals
TUBB2B,hgnc:30829,TUBB2B,DTC,5-Jun-23,,0.125090252,PODOFILOX,rxcui:8463,PODOFILOX,TRUE,FALSE,TRUE,Both,,Dermatologicals
TUBB4A,hgnc:20774,TUBB4A,DTC,5-Jun-23,,0.125090252,PODOFILOX,rxcui:8463,PODOFILOX,TRUE,FALSE,TRUE,Novel,,Dermatologicals
HDAC6,hgnc:14064,HDAC6,DTC,5-Jun-23,,0.580031586,VORINOSTAT,rxcui:194337,VORINOSTAT,TRUE,FALSE,TRUE,Known,,Antineoplastic agents
CSNK1A1,hgnc:2451,CSNK1A1,DTC,5-Jun-23,,0.041418577,SP-600125,chembl:CHEMBL1725279,SP-600125,FALSE,FALSE,FALSE,Novel,,c-Jun N-terminal Kinase Inhibitor
TUBB,hgnc:20778,TUBB,DTC,5-Jun-23,,0.026166838,VORINOSTAT,rxcui:194337,VORINOSTAT,TRUE,FALSE,TRUE,Known,,Antineoplastic agents
TUBA1A,hgnc:20766,TUBA1A,DTC,5-Jun-23,,0.030895785,VORINOSTAT,rxcui:194337,VORINOSTAT,TRUE,FALSE,TRUE,Both,,Antineoplastic agents
TUBB3,hgnc:20772,TUBB3,DTC,5-Jun-23,,0.031272563,VORINOSTAT,rxcui:194337,VORINOSTAT,TRUE,FALSE,TRUE,Both,,Antineoplastic agents
HTT,hgnc:4851,HTT,DTC,5-Jun-23,,0.021699799,CLIOQUINOL,rxcui:5942,CLIOQUINOL,TRUE,FALSE,FALSE,Both,,Dermatologicals
GSK3B,hgnc:4617,GSK3B,DTC,5-Jun-23,,0.014726605,SP-600125,chembl:CHEMBL1725279,SP-600125,FALSE,FALSE,FALSE,Known,,c-Jun N-terminal Kinase Inhibitor
GSK3B,hgnc:4617,GSK3B,DTC,5-Jun-23,,0.050410302,SB-203580,iuphar.ligand:5269,SB203580,FALSE,FALSE,FALSE,Known,,p38 MAP Kinase Inhibitor
TUBA3C,hgnc:12408,TUBA3C,DTC,5-Jun-23,,0.021796029,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE,Unknown,,Not classified
TUBB3,hgnc:20772,TUBB3,DTC,5-Jun-23,,0.021796029,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE,Both,,Not classified
TUBB4B,hgnc:20771,TUBB4B,DTC,5-Jun-23,,0.021533426,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE,Novel,,Not classified
TUBB,hgnc:20778,TUBB,DTC,5-Jun-23,,0.018237493,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE,Known,,Not classified
HTT,hgnc:4851,HTT,DTC,5-Jun-23,,0.008310561,KENPAULLONE,iuphar.ligand:6000,KENPAULLONE,FALSE,FALSE,FALSE,Both,,CDK Inhibitor
PRKCA,hgnc:9393,PRKCA,MyCancerGenome,20-Jun-17,inhibitor,0.307187781,ENZASTAURIN,ncit:C77392,ENZASTAURIN,FALSE,FALSE,TRUE,Novel,,Protein Kinase C Inhibitor
CSNK1E,hgnc:2453,CSNK1E,PharmGKB,5-Jun-23,,1.34045577,heroin,rxcui:3304,HEROIN,FALSE,FALSE,FALSE,Both,,Opioid Analgesic
AKT1,hgnc:391,AKT1,TALC,12-May-16,inhibitor,0.2808574,MK2206,ncit:C90581,AKT INHIBITOR MK2206,FALSE,FALSE,TRUE,Known,,Protein Kinase Inhibitor
HDAC6,hgnc:14064,HDAC6,TALC,12-May-16,inhibitor,0.580031586,VORINOSTAT,rxcui:194337,VORINOSTAT,TRUE,FALSE,TRUE,Known,,Antineoplastic agents
UNIPROT:P49768,hgnc:9508,PSEN1,TdgClinicalTrial,14-Jan,,1.296264921,BMS-708163,ncit:C96305,AVAGACESTAT,FALSE,FALSE,FALSE,Known,,Gamma-Secretase Inhibitor
UNIPROT:Q71U36,hgnc:20766,TUBA1A,TdgClinicalTrial,14-Jan,,0.142120612,MEBENDAZOLE,rxcui:6672,MEBENDAZOLE,TRUE,FALSE,FALSE,Both,,Anthelmintics
UNIPROT:Q9UBN7,hgnc:14064,HDAC6,TdgClinicalTrial,14-Jan,,0.580031586,VORINOSTAT,rxcui:194337,VORINOSTAT,TRUE,FALSE,TRUE,Known,,Antineoplastic agents
AMYLOID BETA A4 PROTEIN,hgnc:620,APP,TTD,2020.06.01,,1.310667864,EB-101,chembl:CHEMBL4594312,PRADEMAGENE ZAMIKERACEL,FALSE,FALSE,FALSE,Both,,Gene Therapy Agent
TUBULIN BETA,hgnc:20778,TUBB,TTD,2020.06.01,,0.601837285,ZD-6126,drugbank:DB11872,ZD-6126,FALSE,FALSE,FALSE,Known,,Tubulin Inhibitor
BETA-CATENIN,hgnc:2514,CTNNB1,TTD,2020.06.01,,1.78727436,Recombinant human endostatin,ncit:C45515,RECOMBINANT HUMAN ENDOSTATIN,FALSE,FALSE,FALSE,Both,,Angiogenesis Inhibitor
TUBB2B,hgnc:30829,TUBB2B,ChEMBL,32,inhibitor,0.047951263,VINFLUNINE,ncit:C61564,VINFLUNINE,TRUE,FALSE,FALSE,Both,,Antineoplastic agents
APP,hgnc:620,APP,DTC,5-Jun-23,,0.079434416,CURCUMIN,rxcui:2955,CURCUMIN,TRUE,FALSE,FALSE,Both,,Not classified
CTNNB1,hgnc:2514,CTNNB1,PharmGKB,5-Jun-23,,0.274965286,lenalidomide,rxcui:342369,LENALIDOMIDE,TRUE,FALSE,TRUE,,,Other immunosuppressants
TUBB2A,hgnc:12412,TUBB2A,DTC,5-Jun-23,,0.030527978,VORINOSTAT,rxcui:194337,VORINOSTAT,TRUE,FALSE,TRUE,Unknown,,Antineoplastic agents
APP,hgnc:620,APP,ChEMBL,32,modulator,3.932003593,TRAMIPROSATE,rxcui:1374845,TRAMIPROSATE,FALSE,FALSE,FALSE,Both,,Alzheimer's Disease Therapeutic Agent
TUBB3,hgnc:20772,TUBB3,DTC,5-Jun-23,,0.125090252,PODOFILOX,rxcui:8463,PODOFILOX,TRUE,FALSE,TRUE,Both,,Dermatologicals
