Gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
ADAMTS16,-0.530116472,8.34393742,-5.67638442,2.23E-08,2.22E-07,8.76407206
TMEM232,-0.664704032,8.176396644,-5.668476389,2.33E-08,2.30E-07,8.722331542
NME7,1.190156084,10.72415635,5.661995058,2.41E-08,2.35E-07,8.688160021
TTC26,-0.675219912,8.232885141,-5.659167505,2.45E-08,2.36E-07,8.673263192
CATSPERD,-0.749879043,7.343579506,-5.652849322,2.54E-08,2.39E-07,8.640000026
OPN5,-0.48668496,7.738496934,-5.652822109,2.54E-08,2.39E-07,8.639856832
MAP1B,1.741403837,11.5013405,5.648363926,2.60E-08,2.41E-07,8.616405919
DNAJB13,-0.410121366,8.855899271,-5.646929722,2.62E-08,2.41E-07,8.608865226
NTPCR,0.504689006,10.14568298,5.64349115,2.67E-08,2.43E-07,8.590792978
GRK4,-0.481193361,8.768536952,-5.632456123,2.84E-08,2.55E-07,8.532861825
AGR3,-0.910335662,7.575808642,-5.628884354,2.89E-08,2.57E-07,8.51413252
CCDC88A,0.416778084,10.07102132,5.626706273,2.93E-08,2.57E-07,8.502716489
GRK1,-0.48467333,7.849120442,-5.617394499,3.08E-08,2.68E-07,8.453954781
ADGB,-1.044679646,7.849842951,-5.612705532,3.16E-08,2.69E-07,8.429427905
PDE6A,-0.60139336,8.023652816,-5.61208123,3.17E-08,2.69E-07,8.426163701
ABLIM3,0.409752143,9.858328778,5.61073588,3.19E-08,2.69E-07,8.419130556
SASS6,-0.664931561,8.535045359,-5.598878105,3.41E-08,2.84E-07,8.357206057
KIF27,-0.899942932,7.820950477,-5.593849584,3.50E-08,2.89E-07,8.330980991
TEKT3,-0.691750905,7.53225967,-5.58624475,3.65E-08,2.98E-07,8.291359639
DYNC1I2,0.77666678,10.71202082,5.571062723,3.97E-08,3.21E-07,8.212404613
TPGS1,-0.509709274,8.887785892,-5.566360412,4.07E-08,3.25E-07,8.187988814
C5orf49,-0.622988425,8.554559063,-5.565221941,4.09E-08,3.25E-07,8.182080299
GNAT1,-0.568337813,7.95869873,-5.562213056,4.16E-08,3.27E-07,8.166469767
GABARAP,1.407133389,11.34356638,5.55433014,4.34E-08,3.38E-07,8.125607757
C21orf58,-0.391596838,8.148565725,-5.550332817,4.44E-08,3.42E-07,8.104906929
MYO7A,-0.544304829,8.602162832,-5.543139047,4.61E-08,3.52E-07,8.067686242
NME8,-0.747707507,7.358139513,-5.537768949,4.75E-08,3.59E-07,8.039929345
AKAP9,0.515276194,9.526117279,5.528214106,5.00E-08,3.75E-07,7.99060179
TUBA1C,1.855331074,12.33921317,5.509074944,5.55E-08,4.12E-07,7.892023372
STIL,-0.47069652,8.782431164,-5.477898655,6.56E-08,4.79E-07,7.732100891
GNA11,0.613372686,10.40587032,5.477289794,6.58E-08,4.79E-07,7.728985745
KIF5A,1.154353503,10.64391352,5.473502882,6.71E-08,4.85E-07,7.709617564
DNAJA1,1.273771801,11.44046748,5.463577976,7.08E-08,5.07E-07,7.658913473
ATG3,0.524402533,10.27405168,5.457043677,7.33E-08,5.18E-07,7.625576204
GALNT11,0.944389817,10.80382626,5.456127574,7.37E-08,5.18E-07,7.620905202
CASC1,-0.78413131,8.43765884,-5.435660771,8.21E-08,5.73E-07,7.516732862
CCDC172,-0.817875903,8.15682851,-5.432606707,8.35E-08,5.77E-07,7.501218313
DAAM1,0.364808244,9.881694448,5.427805528,8.57E-08,5.87E-07,7.476844283
CNGA1,-0.646045967,7.930958619,-5.421411719,8.86E-08,6.02E-07,7.444414987
SPEF2,-0.646647884,8.500825956,-5.416681934,9.09E-08,6.13E-07,7.420447658
CCT2,1.031016461,10.93235551,5.399832787,9.94E-08,6.61E-07,7.335220197
PIH1D2,-0.886061494,7.914079225,-5.399267181,9.96E-08,6.61E-07,7.332363347
INHA,-0.695428139,8.396903524,-5.387812319,1.06E-07,6.96E-07,7.274563172
CCP110,0.806602994,10.67848474,5.370127095,1.16E-07,7.58E-07,7.185541727
RRH,-0.451573605,7.675627049,-5.368260742,1.17E-07,7.60E-07,7.176162481
RILPL1,0.500472616,10.20458047,5.344847812,1.33E-07,8.52E-07,7.058751251
C7orf57,-1.139932736,7.825589945,-5.33928375,1.37E-07,8.70E-07,7.030916473
ATMIN,0.561633738,10.14480336,5.337968853,1.38E-07,8.70E-07,7.024342377
CALCR,-0.6523608,7.852737412,-5.334478115,1.40E-07,8.75E-07,7.006896794
CYLD,0.389753477,9.925664275,5.333885227,1.41E-07,8.75E-07,7.00393475
SPTAN1,0.956178565,10.84096175,5.330618418,1.43E-07,8.83E-07,6.987619231
CYFIP2,1.324185579,11.4477583,5.324565737,1.48E-07,9.02E-07,6.957413933
HSP90AB1,1.416422397,11.71076452,5.323812679,1.48E-07,9.02E-07,6.953658029
TUBA1B,1.955332032,12.47108711,5.320459385,1.51E-07,9.06E-07,6.936939186
TTC30A,-0.542612182,8.727393987,-5.320075853,1.51E-07,9.06E-07,6.935027576
MYH10,1.151244964,11.20514145,5.31657046,1.54E-07,9.12E-07,6.917561668
VDAC3,1.262425311,11.39891928,5.316020397,1.54E-07,9.12E-07,6.914821877
PKD2,0.371093413,9.856655684,5.314575122,1.56E-07,9.12E-07,6.907624365
HK1,1.144425513,11.1126973,5.29849837,1.69E-07,9.85E-07,6.827680583
TACR2,-0.431515382,8.331294071,-5.294249479,1.73E-07,9.99E-07,6.806588877
DNAH14,-0.932123329,7.722603546,-5.292998183,1.74E-07,9.99E-07,6.800380291
CETN2,1.032672568,11.13072714,5.283799926,1.83E-07,1.04E-06,6.754781676
EVC,-0.500727078,8.46723552,-5.275229738,1.91E-07,1.08E-06,6.712360968
OPN1SW,-0.554635585,7.44515705,-5.273068752,1.93E-07,1.08E-06,6.701674329
PKD1L1,-0.888171271,7.664386904,-5.269973985,1.96E-07,1.09E-06,6.686376779
VPS35,1.063157543,11.08658931,5.266866775,1.99E-07,1.10E-06,6.671025875
IQCH,-0.714429924,7.660049108,-5.263757696,2.03E-07,1.12E-06,6.655673914
RP1,-0.828696916,7.410263013,-5.255360553,2.12E-07,1.15E-06,6.614251537
CSNK1A1,0.549465307,10.02152439,5.255002878,2.12E-07,1.15E-06,6.612488479
TSPEAR,-0.68648311,7.852802568,-5.253464352,2.14E-07,1.15E-06,6.604906002
TSGA10,-0.704064934,8.443774666,-5.252244426,2.15E-07,1.15E-06,6.598895138
SNAP25,1.737126494,12.12512867,5.245557896,2.23E-07,1.18E-06,6.565971419
CATSPERB,-0.599089234,7.631864143,-5.243472013,2.25E-07,1.19E-06,6.555708518
KIF2A,0.560495251,10.12310129,5.23910775,2.30E-07,1.21E-06,6.534247527
TP53BP1,0.445035702,9.837902734,5.234429269,2.36E-07,1.23E-06,6.511259319
HMGB2,0.483537482,9.738556797,5.2211722,2.52E-07,1.31E-06,6.44622013
IFT88,0.48258001,9.901075917,5.207458669,2.71E-07,1.38E-06,6.379098456
ARHGAP35,0.763494765,10.26411189,5.206287257,2.73E-07,1.38E-06,6.373372316
C20orf85,-0.629492315,7.350178684,-5.205973773,2.73E-07,1.38E-06,6.371840129
CEP72,-0.496733071,8.748887834,-5.205825593,2.73E-07,1.38E-06,6.37111591
SHH,-0.402636749,8.302963394,-5.204562294,2.75E-07,1.38E-06,6.364942406
KIF24,-0.79164327,7.60758302,-5.199329187,2.82E-07,1.41E-06,6.339383621
BBS5,-0.690178304,8.362936936,-5.197595272,2.85E-07,1.41E-06,6.330920219
C21orf59,0.346273741,9.647837391,5.188146307,2.99E-07,1.47E-06,6.284843815
DRD5,-0.578715751,8.871206306,-5.18754704,3.00E-07,1.47E-06,6.281924141
CTNNB1,1.102212079,10.73544206,5.182879713,3.07E-07,1.50E-06,6.259195031
MYOC,-0.435089993,8.10432694,-5.174501218,3.21E-07,1.55E-06,6.21843962
GNB1,1.308284114,11.70156997,5.170425542,3.27E-07,1.58E-06,6.198635953
FAM179B,0.845120308,10.64371776,5.163563273,3.39E-07,1.62E-06,6.165324194
DNAH1,-0.51561343,8.32743483,-5.155656705,3.53E-07,1.68E-06,6.126992757
PRKACG,-0.578225842,8.540260877,-5.153559674,3.57E-07,1.69E-06,6.116835178
SF3B2,0.523583447,10.34549732,5.147853415,3.67E-07,1.73E-06,6.089214223
SCCPDH,0.464139235,10.10811163,5.134317879,3.93E-07,1.84E-06,6.023806889
SLC26A3,-0.781965338,7.47845785,-5.131275205,4.00E-07,1.86E-06,6.009125376
CKAP5,0.659738211,10.51620575,5.123326838,4.16E-07,1.92E-06,5.970810158
CATSPER1,-0.468301467,7.539192965,-5.117763515,4.28E-07,1.97E-06,5.944024152
PHC1,0.313241866,9.752548884,5.111351959,4.42E-07,2.02E-06,5.913186878
SPAG4,-0.596466769,8.508980981,-5.105227599,4.56E-07,2.07E-06,5.883763687
RGS22,-0.620261328,8.452324541,-5.102688972,4.62E-07,2.09E-06,5.871576784
PSMC5,0.997687533,11.15967942,5.100724488,4.66E-07,2.09E-06,5.86214988
DSTN,1.26631711,11.51800389,5.100640103,4.67E-07,2.09E-06,5.861745022
DYNLL1,1.563047126,12.06064057,5.088442457,4.96E-07,2.21E-06,5.803287278
CST11,-0.554557287,7.892674352,-5.079316479,5.19E-07,2.30E-06,5.759633813
C5orf42,-0.449595017,8.746520503,-5.074975826,5.31E-07,2.33E-06,5.738895603
CEP89,-0.506278069,8.502988655,-5.0710817,5.41E-07,2.37E-06,5.720304471
PKHD1,-0.583846477,7.658972332,-5.068927472,5.47E-07,2.38E-06,5.710025442
DEFB1,-0.649756586,8.375814866,-5.064828374,5.59E-07,2.42E-06,5.69047732
C1orf101,-0.606689832,7.933566983,-5.061653951,5.68E-07,2.44E-06,5.67534875
RIBC2,-0.648773637,8.051248714,-5.058861827,5.76E-07,2.46E-06,5.662049256
CENPJ,-0.472539596,8.719528529,-5.053434775,5.91E-07,2.52E-06,5.636218132
IFT80,0.668897038,10.04112352,5.052173943,5.95E-07,2.52E-06,5.630220565
DNAH5,-0.498841167,8.799998275,-5.051180825,5.98E-07,2.52E-06,5.625497424
ACTR2,0.894318898,10.74628522,5.049292068,6.04E-07,2.53E-06,5.616517078
TPPP2,-0.485891302,7.729691913,-5.038636307,6.37E-07,2.65E-06,5.565910111
TEX9,-0.86277424,7.895388613,-5.038008533,6.39E-07,2.65E-06,5.562931684
ICK,-0.606464305,8.439810688,-5.031535876,6.60E-07,2.72E-06,5.53224236
STK38L,0.395517806,9.883432039,5.026904161,6.75E-07,2.77E-06,5.510303695
NAPEPLD,0.394924428,9.838677142,5.021920813,6.92E-07,2.83E-06,5.486720026
ODF1,-0.5529042,8.26525917,-5.020221524,6.98E-07,2.84E-06,5.478683027
RAN,1.079052191,10.97379679,5.016581394,7.11E-07,2.86E-06,5.461474904
HYAL3,-0.52747423,8.738530661,-5.016465197,7.11E-07,2.86E-06,5.460925791
C2orf73,-0.755325927,8.199887862,-5.00415533,7.56E-07,3.03E-06,5.40281841
KATNAL2,-0.536705577,8.662929475,-5.000252978,7.71E-07,3.07E-06,5.38442495
PRKACB,1.379009018,11.17136472,4.993911207,7.96E-07,3.15E-06,5.354561364
TACR3,-0.586362843,7.603272647,-4.993292411,7.98E-07,3.15E-06,5.351649283
TTC30B,-0.733680969,8.276405367,-4.992087555,8.03E-07,3.15E-06,5.345980131
ROPN1L,-0.768963435,8.177508397,-4.98463727,8.33E-07,3.26E-06,5.310952353
TSSK1B,-0.544807922,7.564010432,-4.983502556,8.38E-07,3.26E-06,5.30562164
CBY1,0.234442913,9.380946111,4.980875468,8.49E-07,3.28E-06,5.293284237
IFT122,-0.401004956,8.9666464,-4.980013986,8.52E-07,3.28E-06,5.289239818
IFT140,-0.36485981,8.681031799,-4.970844677,8.92E-07,3.42E-06,5.246231964
PPP2CB,1.220939622,11.00063729,4.965255633,9.17E-07,3.50E-06,5.22005252
RSPH4A,-1.010545286,7.957637302,-4.962849791,9.28E-07,3.52E-06,5.208791679
TACR1,-0.413526729,8.34147345,-4.959689758,9.42E-07,3.56E-06,5.194008321
DCTN1,0.870349703,10.84772371,4.958985345,9.45E-07,3.56E-06,5.190714085
MARK4,0.766698956,10.35315325,4.951760372,9.80E-07,3.66E-06,5.156950696
PFKM,1.102961166,11.07397084,4.951079006,9.83E-07,3.66E-06,5.153768888
RALGAPA1,0.316749024,9.851157727,4.937242046,1.05E-06,3.90E-06,5.089240335
PAFAH1B1,0.909664255,10.93086032,4.933038904,1.07E-06,3.97E-06,5.069671692
PCDH15,-0.851370756,7.677739733,-4.929235471,1.09E-06,4.02E-06,5.051977104
CCT8,0.811373774,10.63758591,4.924825269,1.12E-06,4.09E-06,5.03147529
PRKAR2A,0.539272275,9.947444432,4.916007397,1.17E-06,4.25E-06,4.990533744
CNGA4,-0.799492647,8.13768051,-4.906370183,1.22E-06,4.44E-06,4.945864723
CCDC28B,-0.255690062,9.071185675,-4.905209896,1.23E-06,4.44E-06,4.940492132
PTPRK,0.626505622,10.39484657,4.899367835,1.27E-06,4.55E-06,4.913458748
MAP6,0.427805798,10.10538021,4.895414726,1.29E-06,4.62E-06,4.89518297
KATNAL1,0.365919176,9.93361763,4.885801497,1.35E-06,4.82E-06,4.850795999
WDR66,-0.50516763,8.286766391,-4.878965135,1.40E-06,4.96E-06,4.819279205
TUBB4B,1.228156783,11.41275756,4.868401467,1.47E-06,5.20E-06,4.770658368
HYDIN,-0.754287975,8.117166806,-4.857648602,1.55E-06,5.45E-06,4.721265885
CEP152,-0.641791103,8.228727288,-4.849630212,1.61E-06,5.65E-06,4.684499157
SLC27A2,-0.608019106,8.752097791,-4.846235366,1.64E-06,5.71E-06,4.668949543
GUCY2F,-0.533444787,7.494897972,-4.829156778,1.78E-06,6.18E-06,4.590874967
NUDC,0.866537907,10.64799517,4.81825345,1.88E-06,6.48E-06,4.541162767
PDE6D,0.293323029,9.704876073,4.817289385,1.88E-06,6.49E-06,4.53677221
DNAH6,-0.546642419,8.295227952,-4.8133264,1.92E-06,6.58E-06,4.518732401
IFT74,-0.60983845,8.707318477,-4.806825017,1.98E-06,6.76E-06,4.48916713
AKT1,0.481066731,10.2222749,4.802897228,2.02E-06,6.86E-06,4.471323148
RNF38,0.493563347,10.22222155,4.799208135,2.05E-06,6.95E-06,4.454575763
TUBB2B,1.162873614,11.39576924,4.797409716,2.07E-06,6.99E-06,4.446415758
MAL,1.062975576,11.21684102,4.793315661,2.11E-06,7.09E-06,4.427850195
ROPN1B,-0.396155917,7.631595782,-4.792083588,2.13E-06,7.11E-06,4.42226589
PSMC2,0.711842465,10.66812817,4.778857486,2.26E-06,7.54E-06,4.362402344
HSPA1L,0.658882352,10.36767791,4.776749188,2.29E-06,7.58E-06,4.352873882
PACRG,-0.285681458,9.057928305,-4.775405049,2.30E-06,7.60E-06,4.346801059
ARL3,0.385546872,10.03716906,4.760333021,2.47E-06,8.14E-06,4.278813192
UMOD,-0.412845792,7.763327198,-4.755990019,2.53E-06,8.27E-06,4.259259179
MAP1LC3B,0.932969606,11.07014705,4.75230286,2.57E-06,8.38E-06,4.242670935
GPI,1.134459522,11.21063318,4.740152717,2.72E-06,8.83E-06,4.18809213
RAB17,-0.49682816,8.606428033,-4.739589121,2.73E-06,8.83E-06,4.185563565
WDR47,1.136748342,10.88645108,4.731399607,2.84E-06,9.10E-06,4.148852591
SLC22A4,-0.631993575,8.74348308,-4.731345656,2.84E-06,9.10E-06,4.148610936
BEST2,-0.525263397,7.830077688,-4.730765533,2.85E-06,9.10E-06,4.146012677
PDC,-0.656910526,7.463836548,-4.730029467,2.86E-06,9.10E-06,4.142716395
LDHC,-0.382446858,8.126520543,-4.729153535,2.87E-06,9.10E-06,4.138794379
ABCA4,-0.445519334,8.015913797,-4.727892031,2.89E-06,9.12E-06,4.133147123
PIH1D3,-0.565358379,7.833221647,-4.707883798,3.17E-06,9.98E-06,4.043763692
TPPP3,0.54568679,10.1319207,4.700992744,3.28E-06,1.03E-05,4.013059912
TMEM67,-0.601254945,8.253648489,-4.696400399,3.35E-06,1.05E-05,3.992621273
C4orf22,-0.730330767,7.666575154,-4.690937069,3.43E-06,1.07E-05,3.968330218
LRRC46,-0.591068198,8.755594504,-4.688641708,3.47E-06,1.08E-05,3.958132361
ATG14,0.368958326,9.992385476,4.679823986,3.62E-06,1.12E-05,3.918999684
LRGUK,-0.502925517,7.824719182,-4.657071778,4.03E-06,1.24E-05,3.818340234
DCDC2,-0.599492645,7.976430533,-4.642263074,4.31E-06,1.32E-05,3.753067395
IGBP1,0.487285626,10.23711245,4.64208863,4.32E-06,1.32E-05,3.752299638
VWA3B,-0.624963124,8.167142668,-4.63565361,4.45E-06,1.35E-05,3.723996591
TTLL3,-0.39455843,8.770286435,-4.635459255,4.45E-06,1.35E-05,3.723142327
HAUS6,-0.350603467,8.980111214,-4.631168234,4.54E-06,1.37E-05,3.704290078
ARR3,-0.419011717,8.822341947,-4.629422104,4.58E-06,1.38E-05,3.696623219
DYNLT1,0.592877676,10.41686873,4.625490941,4.66E-06,1.40E-05,3.679372148
CATSPERG,-0.368436544,7.678163898,-4.621850335,4.74E-06,1.42E-05,3.663408205
CLTC,1.098503146,10.64593957,4.620447419,4.77E-06,1.42E-05,3.657259561
DZIP1L,-0.494543205,8.637559261,-4.617292597,4.84E-06,1.43E-05,3.643439037
ZNF474,-0.63224928,8.002114448,-4.616087334,4.87E-06,1.43E-05,3.638161372
MYO5B,-0.533196751,8.648285733,-4.615994769,4.87E-06,1.43E-05,3.637756093
KCNRG,-0.743216311,8.144211175,-4.611181747,4.98E-06,1.46E-05,3.616693674
RAB28,0.277942701,9.566213519,4.607842989,5.06E-06,1.48E-05,3.602094762
TUBB,0.984085785,11.01715744,4.60483114,5.13E-06,1.49E-05,3.588933665
TCTN2,0.600463491,9.272104355,4.59485421,5.37E-06,1.56E-05,3.545393585
EVC2,-0.501503445,7.822904587,-4.5819935,5.70E-06,1.65E-05,3.489397346
SLIRP,1.00396397,11.16922011,4.580486535,5.74E-06,1.65E-05,3.482845445
RHO,-0.304998599,8.622267882,-4.576720162,5.84E-06,1.68E-05,3.466478925
ATP6V1D,0.884674023,11.05149239,4.572269649,5.96E-06,1.70E-05,3.447155585
CLTB,0.653724454,10.32237195,4.560658654,6.29E-06,1.79E-05,3.396824633
DDX6,0.67964165,10.31074867,4.556717549,6.40E-06,1.82E-05,3.379767796
RGS9BP,-0.477004509,7.79865977,-4.553001464,6.51E-06,1.84E-05,3.363697346
RUVBL2,0.547674162,10.02723646,4.544805372,6.76E-06,1.90E-05,3.328295742
PDZD7,-0.417475432,8.908040227,-4.544412381,6.78E-06,1.90E-05,3.326599771
TEKT2,-0.459351727,8.406886822,-4.515718716,7.72E-06,2.16E-05,3.203138155
CDC14A,-0.645062163,8.162470907,-4.514006664,7.78E-06,2.17E-05,3.195794548
TUBA4A,1.107042737,10.98281009,4.511061096,7.89E-06,2.19E-05,3.183165989
CETN1,-0.3753371,8.109459366,-4.503460771,8.17E-06,2.26E-05,3.150616378
CEP250,-0.241486282,9.05411297,-4.496592462,8.42E-06,2.33E-05,3.121245547
INVS,-0.560983894,8.460186626,-4.486866654,8.80E-06,2.42E-05,3.079726407
SPATA6,-0.504133826,8.742926609,-4.485724619,8.85E-06,2.43E-05,3.074856572
CEP135,-0.509157056,8.636747236,-4.474940875,9.29E-06,2.54E-05,3.028929581
CCDC65,-0.722055018,8.196651621,-4.465551153,9.69E-06,2.64E-05,2.989023214
MCHR1,-0.568433019,8.879812952,-4.458083828,1.00E-05,2.72E-05,2.957342633
PKM,0.703324216,10.76649719,4.456202583,1.01E-05,2.74E-05,2.949369108
SSTR3,-0.339453816,8.933577743,-4.455432967,1.01E-05,2.74E-05,2.946108044
CACNA1F,-0.418189298,8.481339683,-4.450031997,1.04E-05,2.79E-05,2.923237456
RILPL2,0.382221939,9.818498443,4.442569775,1.07E-05,2.88E-05,2.89168085
KIF3B,0.667313124,10.48908719,4.440676122,1.08E-05,2.89E-05,2.883680711
CCSAP,0.630345639,10.05957659,4.43420096,1.12E-05,2.97E-05,2.856348972
MORN5,-0.545729108,8.597373306,-4.429595739,1.14E-05,3.02E-05,2.83693285
C2orf71,-0.366769271,7.736727128,-4.421217204,1.18E-05,3.13E-05,2.801656143
DVL1,0.653885457,10.04629539,4.4130183,1.23E-05,3.23E-05,2.767195902
WDR63,-0.741057784,8.006099897,-4.412052497,1.23E-05,3.24E-05,2.76314052
AKAP4,-0.510152907,8.461438658,-4.40641443,1.26E-05,3.31E-05,2.739482916
HIPK1,0.447265805,9.620970589,4.400948303,1.29E-05,3.37E-05,2.71657366
