term,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0090151,establishment of protein localization to mitochondrial membrane,May-76,49/18866,1.54E-06,6.53E-05,5.22E-05,YWHAG/HSP90AA1/YWHAB/YWHAE/YWHAQ,5
GO:1904951,positive regulation of establishment of protein localization,Oct-76,370/18866,2.25E-06,9.19E-05,7.35E-05,YWHAG/HSP90AB1/KIF5B/PANX1/PARD6A/PCM1/PCNT/YWHAB/YWHAE/YWHAQ,10
GO:0032388,positive regulation of intracellular transport,Aug-76,222/18866,3.07E-06,0.000117148,9.37E-05,YWHAG/HSP90AB1/KIF5B/PCM1/PCNT/YWHAB/YWHAE/YWHAQ,8
GO:1900739,regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,Apr-76,26/18866,3.40E-06,0.00012053,9.64E-05,YWHAG/YWHAB/YWHAE/YWHAQ,4
GO:1900740,positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,Apr-76,26/18866,3.40E-06,0.00012053,9.64E-05,YWHAG/YWHAB/YWHAE/YWHAQ,4
GO:0001844,protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,Apr-76,30/18866,6.15E-06,0.000208563,0.00016685,YWHAG/YWHAB/YWHAE/YWHAQ,4
GO:0051205,protein insertion into membrane,May-76,65/18866,6.35E-06,0.000210533,0.000168426,YWHAG/HSP90AA1/YWHAB/YWHAE/YWHAQ,5
GO:1903829,positive regulation of cellular protein localization,Sep-76,338/18866,8.48E-06,0.000258626,0.000206901,YWHAG/HSP90AB1/KIF5B/PARD6A/PCM1/PCNT/YWHAB/YWHAE/YWHAQ,9
GO:1903747,regulation of establishment of protein localization to mitochondrion,May-76,73/18866,1.13E-05,0.000318057,0.000254446,YWHAG/PARL/YWHAB/YWHAE/YWHAQ,5
GO:1901030,positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,Apr-76,35/18866,1.16E-05,0.000321093,0.000256875,YWHAG/YWHAB/YWHAE/YWHAQ,4
GO:0032386,regulation of intracellular transport,Sep-76,358/18866,1.34E-05,0.000348034,0.000278428,YWHAG/HSP90AB1/KIF5B/PARL/PCM1/PCNT/YWHAB/YWHAE/YWHAQ,9
GO:0072655,establishment of protein localization to mitochondrion,Jun-76,140/18866,2.14E-05,0.000518014,0.000414411,YWHAG/HSP90AA1/PARL/YWHAB/YWHAE/YWHAQ,6
GO:0070585,protein localization to mitochondrion,Jun-76,144/18866,2.51E-05,0.000571246,0.000456997,YWHAG/HSP90AA1/PARL/YWHAB/YWHAE/YWHAQ,6
GO:1901028,regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,Apr-76,45/18866,3.20E-05,0.000686539,0.000549231,YWHAG/YWHAB/YWHAE/YWHAQ,4
GO:0097345,mitochondrial outer membrane permeabilization,Apr-76,55/18866,7.10E-05,0.001405579,0.001124463,YWHAG/YWHAB/YWHAE/YWHAQ,4
GO:1901990,regulation of mitotic cell cycle phase transition,Sep-76,448/18866,7.72E-05,0.001508817,0.001207054,YWHAG/CSNK1D/CSNK1E/HSP90AA1/NDE1/PAFAH1B1/PCM1/PCNT/YWHAE,9
GO:1903749,positive regulation of establishment of protein localization to mitochondrion,Apr-76,58/18866,8.75E-05,0.001667658,0.001334126,YWHAG/YWHAB/YWHAE/YWHAQ,4
GO:1902110,positive regulation of mitochondrial membrane permeability involved in apoptotic process,Apr-76,61/18866,0.000106627,0.001983009,0.001586408,YWHAG/YWHAB/YWHAE/YWHAQ,4
GO:0010822,positive regulation of mitochondrion organization,May-76,119/18866,0.000118589,0.002170345,0.001736276,YWHAG/HTT/YWHAB/YWHAE/YWHAQ,5
GO:0010821,regulation of mitochondrion organization,Jun-76,191/18866,0.000120853,0.002170345,0.001736276,YWHAG/HTT/PARL/YWHAB/YWHAE/YWHAQ,6
GO:1902686,mitochondrial outer membrane permeabilization involved in programmed cell death,Apr-76,63/18866,0.00012097,0.002170345,0.001736276,YWHAG/YWHAB/YWHAE/YWHAQ,4
GO:0035794,positive regulation of mitochondrial membrane permeability,Apr-76,65/18866,0.000136662,0.002368287,0.00189463,YWHAG/YWHAB/YWHAE/YWHAQ,4
GO:1901987,regulation of cell cycle phase transition,Sep-76,486/18866,0.000142998,0.002450252,0.001960202,YWHAG/CSNK1D/CSNK1E/HSP90AA1/NDE1/PAFAH1B1/PCM1/PCNT/YWHAE,9
GO:1902108,regulation of mitochondrial membrane permeability involved in apoptotic process,Apr-76,66/18866,0.000145037,0.002457568,0.001966055,YWHAG/YWHAB/YWHAE/YWHAQ,4
GO:0008637,apoptotic mitochondrial changes,May-76,125/18866,0.000149457,0.002504629,0.002003703,YWHAG/PARL/YWHAB/YWHAE/YWHAQ,5
GO:1905710,positive regulation of membrane permeability,Apr-76,67/18866,0.000153777,0.002549021,0.002039217,YWHAG/YWHAB/YWHAE/YWHAQ,4
GO:1905477,positive regulation of protein localization to membrane,May-76,127/18866,0.000161002,0.002640086,0.002112068,YWHAG/KIF5B/YWHAB/YWHAE/YWHAQ,5
GO:0046902,regulation of mitochondrial membrane permeability,Apr-76,77/18866,0.000263374,0.003976681,0.003181345,YWHAG/YWHAB/YWHAE/YWHAQ,4
GO:0007006,mitochondrial membrane organization,May-76,142/18866,0.000270777,0.004048386,0.003238709,YWHAG/HSP90AA1/YWHAB/YWHAE/YWHAQ,5
GO:0090559,regulation of membrane permeability,Apr-76,88/18866,0.000438918,0.00607704,0.004861632,YWHAG/YWHAB/YWHAE/YWHAQ,4
GO:0006839,mitochondrial transport,Jun-76,271/18866,0.000783531,0.010201266,0.008161013,YWHAG/HSP90AA1/PARL/YWHAB/YWHAE/YWHAQ,6
GO:1905475,regulation of protein localization to membrane,May-76,195/18866,0.001143119,0.013307298,0.010645838,YWHAG/KIF5B/YWHAB/YWHAE/YWHAQ,5
GO:2001233,regulation of apoptotic signaling pathway,Jul-76,413/18866,0.001366274,0.015098313,0.01207865,YWHAG/CTNNB1/HTT/PARL/YWHAB/YWHAE/YWHAQ,7
GO:0090150,establishment of protein localization to membrane,Jun-76,342/18866,0.002558809,0.025175381,0.020140305,YWHAG/HSP90AA1/PARD3/YWHAB/YWHAE/YWHAQ,6
GO:2001235,positive regulation of apoptotic signaling pathway,Apr-76,183/18866,0.006386473,0.052931364,0.042345091,YWHAG/YWHAB/YWHAE/YWHAQ,4
GO:0042326,negative regulation of phosphorylation,May-76,484/18866,0.045604297,0.201477272,0.161181818,YWHAG/PAFAH1B1/PARD3/PARD6A/PDE12,5
