term,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0043312,neutrophil degranulation,9/108,487/18866,0.001932121,0.019044227,0.01377445,HSP90AB1/CEP290/EEF1A1/HRNR/HSP90AA1/HSPA8/PSEN1/TUBB/TUBB4B,9
GO:0002283,neutrophil activation involved in immune response,9/108,490/18866,0.002014194,0.019455268,0.014071751,HSP90AB1/CEP290/EEF1A1/HRNR/HSP90AA1/HSPA8/PSEN1/TUBB/TUBB4B,9
GO:0016049,cell growth,9/108,490/18866,0.002014194,0.019455268,0.014071751,HSP90AB1/AKT1/APP/AURKA/CTNNB1/GSK3B/HDAC6/HSP90AA1/PAFAH1B1,9
GO:0045429,positive regulation of nitric oxide biosynthetic process,3/108,45/18866,0.00217367,0.020024762,0.014483659,HSP90AB1/AKT1/HSP90AA1,3
GO:1904407,positive regulation of nitric oxide metabolic process,3/108,46/18866,0.002315713,0.021126201,0.015280316,HSP90AB1/AKT1/HSP90AA1,3
GO:1902947,regulation of tau-protein kinase activity,2/108,13/18866,0.002430382,0.021681163,0.015681714,HSP90AB1/HSP90AA1,2
GO:0051972,regulation of telomerase activity,3/108,48/18866,0.002616758,0.022837896,0.016518364,HSP90AB1/CTNNB1/HSP90AA1,3
GO:1903320,regulation of protein modification by small protein conjugation or removal,6/108,242/18866,0.002697535,0.023345968,0.016885846,HSP90AB1/AKT1/CTNNB1/HSP90AA1/PSEN1/SQSTM1,6
GO:0051402,neuron apoptotic process,6/108,245/18866,0.00286711,0.024198749,0.017502652,HSP90AB1/APP/CLCF1/CTNNB1/HIF1A/PSEN1,6
GO:0071156,regulation of cell cycle arrest,4/108,106/18866,0.003224852,0.026426914,0.019114256,HSP90AB1/AURKA/CDK1/PRKACA,4
GO:0048608,reproductive structure development,8/108,443/18866,0.003951904,0.030355359,0.02195565,HSP90AB1/AKT1/ANXA1/AR/CTNNB1/HIF1A/HSF1/PRKACG,8
GO:0001959,regulation of cytokine-mediated signaling pathway,5/108,183/18866,0.004051868,0.030829739,0.022298764,HSP90AB1/CCDC3/HIF1A/HIPK1/PAFAH1B1,5
GO:0061458,reproductive system development,8/108,447/18866,0.004170325,0.03146718,0.022759817,HSP90AB1/AKT1/ANXA1/AR/CTNNB1/HIF1A/HSF1/PRKACG,8
GO:0006913,nucleocytoplasmic transport,7/108,354/18866,0.004264502,0.031557795,0.022825358,HSP90AB1/AKT1/CDK1/GSK3B/PRKACA/PSEN1/YWHAE,7
GO:0051169,nuclear transport,7/108,357/18866,0.004463885,0.032712736,0.023660712,HSP90AB1/AKT1/CDK1/GSK3B/PRKACA/PSEN1/YWHAE,7
GO:0043666,regulation of phosphoprotein phosphatase activity,4/108,117/18866,0.004587923,0.03333339,0.024109623,HSP90AB1/GSK3B/HSP90B1/HTT,4
GO:0042306,regulation of protein import into nucleus,3/108,59/18866,0.004699815,0.033884345,0.024508122,HSP90AB1/CDK1/PSEN1,3
GO:1903428,positive regulation of reactive oxygen species biosynthetic process,3/108,60/18866,0.004926805,0.03516117,0.025431634,HSP90AB1/AKT1/HSP90AA1,3
GO:2000010,positive regulation of protein localization to cell surface,2/108,19/18866,0.00521019,0.036005975,0.02604267,HSP90AB1/AKT1,2
GO:0034504,protein localization to nucleus,6/108,277/18866,0.005211223,0.036005975,0.02604267,HSP90AB1/AKT1/CDK1/GSK3B/PSEN1/YWHAE,6
GO:0045861,negative regulation of proteolysis,7/108,369/18866,0.005332794,0.036666208,0.026520209,HSP90AB1/AKT1/ANXA8/APP/HDAC6/PSEN1/YWHAE,7
GO:0060759,regulation of response to cytokine stimulus,5/108,196/18866,0.005407543,0.036999666,0.026761395,HSP90AB1/CCDC3/HIF1A/HIPK1/PAFAH1B1,5
GO:0048675,axon extension,4/108,123/18866,0.00547376,0.03736206,0.02702351,HSP90AB1/GSK3B/HSP90AA1/PAFAH1B1,4
GO:2000377,regulation of reactive oxygen species metabolic process,5/108,200/18866,0.005882324,0.039229504,0.028374208,HSP90AB1/AKT1/HDAC6/HIF1A/HSP90AA1,5
GO:0034394,protein localization to cell surface,3/108,66/18866,0.006427322,0.041747977,0.030195789,HSP90AB1/AKT1/CTNNB1,3
GO:0051131,chaperone-mediated protein complex assembly,2/108,22/18866,0.006960137,0.043929965,0.031773993,HSP90AB1/HSP90AA1,2
GO:0045428,regulation of nitric oxide biosynthetic process,3/108,68/18866,0.00698142,0.043929965,0.031773993,HSP90AB1/AKT1/HSP90AA1,3
GO:0007004,telomere maintenance via telomerase,3/108,69/18866,0.007268776,0.045133658,0.032644609,HSP90AB1/CTNNB1/HSP90AA1,3
GO:2000573,positive regulation of DNA biosynthetic process,3/108,69/18866,0.007268776,0.045133658,0.032644609,HSP90AB1/CTNNB1/HSP90AA1,3
GO:0031396,regulation of protein ubiquitination,5/108,211/18866,0.007338548,0.045367032,0.032813406,HSP90AB1/AKT1/HSP90AA1/PSEN1/SQSTM1,5
GO:0043523,regulation of neuron apoptotic process,5/108,214/18866,0.007775738,0.046440263,0.03358966,HSP90AB1/CLCF1/CTNNB1/HIF1A/PSEN1,5
GO:0006278,RNA-dependent DNA biosynthetic process,3/108,76/18866,0.009476212,0.053749382,0.038876254,HSP90AB1/CTNNB1/HSP90AA1,3
GO:0006809,nitric oxide biosynthetic process,3/108,79/18866,0.010529081,0.057189746,0.041364627,HSP90AB1/AKT1/HSP90AA1,3
GO:0043524,negative regulation of neuron apoptotic process,4/108,149/18866,0.010623654,0.057481921,0.041575953,HSP90AB1/CLCF1/HIF1A/PSEN1,4
GO:0006470,protein dephosphorylation,6/108,323/18866,0.010707432,0.057824234,0.041823544,HSP90AB1/GSK3B/HSP90B1/HTT/YWHAB/YWHAE,6
GO:0006606,protein import into nucleus,4/108,150/18866,0.01086766,0.058387059,0.042230628,HSP90AB1/AKT1/CDK1/PSEN1,4
GO:0010833,telomere maintenance via telomere lengthening,3/108,81/18866,0.011267193,0.059227555,0.042838548,HSP90AB1/CTNNB1/HSP90AA1,3
GO:0021954,central nervous system neuron development,3/108,82/18866,0.011647185,0.060466696,0.043734803,HSP90AB1/HSP90AA1/PAFAH1B1,3
GO:0001890,placenta development,4/108,156/18866,0.012407872,0.062904497,0.045498034,HSP90AB1/AKT1/HIF1A/HSF1,4
GO:0046209,nitric oxide metabolic process,3/108,84/18866,0.012429161,0.062904497,0.045498034,HSP90AB1/AKT1/HSP90AA1,3
GO:2001057,reactive nitrogen species metabolic process,3/108,87/18866,0.013657414,0.067190664,0.048598165,HSP90AB1/AKT1/HSP90AA1,3
GO:0071353,cellular response to interleukin-4,2/108,32/18866,0.014399984,0.06927228,0.050103772,HSP90AB1/TUBA1B,2
GO:0071902,positive regulation of protein serine/threonine kinase activity,6/108,345/18866,0.014431296,0.069304641,0.050127178,HSP90AB1/AKT1/CDK1/CKS1B/HIGD1A/PSEN1,6
GO:0051170,import into nucleus,4/108,171/18866,0.016849865,0.078124621,0.056506559,HSP90AB1/AKT1/CDK1/PSEN1,4
GO:0070670,response to interleukin-4,2/108,35/18866,0.017083378,0.078689611,0.056915209,HSP90AB1/TUBA1B,2
GO:0010948,negative regulation of cell cycle process,6/108,359/18866,0.017224361,0.078860714,0.057038966,HSP90AB1/AURKA/CDK1/CDK2AP2/CDK5RAP2/PRKAR1A,6
GO:0071634,regulation of transforming growth factor beta production,2/108,36/18866,0.018021499,0.081545115,0.05898056,HSP90AB1/HIF1A,2
GO:0010921,regulation of phosphatase activity,4/108,175/18866,0.018182097,0.082139953,0.059410798,HSP90AB1/GSK3B/HSP90B1/HTT,4
GO:0051052,regulation of DNA metabolic process,6/108,365/18866,0.0185283,0.083303475,0.060252359,HSP90AB1/AKT1/CLCF1/CTNNB1/HSF1/HSP90AA1,6
GO:0071604,transforming growth factor beta production,2/108,38/18866,0.019961587,0.087242967,0.063101744,HSP90AB1/HIF1A,2
GO:0008361,regulation of cell size,4/108,181/18866,0.020300495,0.087906445,0.06358163,HSP90AB1/AKT1/GSK3B/PAFAH1B1,4
GO:1904029,regulation of cyclin-dependent protein kinase activity,3/108,106/18866,0.023001139,0.095181775,0.068843785,HSP90AB1/AKT1/CKS1B,3
GO:2000379,positive regulation of reactive oxygen species metabolic process,3/108,106/18866,0.023001139,0.095181775,0.068843785,HSP90AB1/AKT1/HSP90AA1,3
GO:1903426,regulation of reactive oxygen species biosynthetic process,3/108,107/18866,0.023568415,0.096428684,0.069745658,HSP90AB1/AKT1/HSP90AA1,3
GO:2000278,regulation of DNA biosynthetic process,3/108,109/18866,0.024725676,0.099859141,0.072226865,HSP90AB1/CTNNB1/HSP90AA1,3
GO:0072593,reactive oxygen species metabolic process,5/108,288/18866,0.025009466,0.099942537,0.072287185,HSP90AB1/AKT1/HDAC6/HIF1A/HSP90AA1,5
GO:0042493,response to drug,6/108,397/18866,0.026635617,0.103566625,0.074908442,HSP90AB1/ANXA1/CDK1/CTNNB1/HDAC5/HSF1,6
GO:0042220,response to cocaine,2/108,48/18866,0.030870198,0.114957845,0.083147568,HSP90AB1/HDAC5,2
GO:2000059,negative regulation of ubiquitin-dependent protein catabolic process,2/108,49/18866,0.0320657,0.118161056,0.085464411,HSP90AB1/PSEN1,2
GO:0090287,regulation of cellular response to growth factor stimulus,5/108,310/18866,0.032873443,0.119665914,0.086552856,HSP90AB1/CTNNB1/HGS/HHIP/HIF1A,5
GO:1903409,reactive oxygen species biosynthetic process,3/108,128/18866,0.037221428,0.129061752,0.093348748,HSP90AB1/AKT1/HSP90AA1,3
GO:0007050,cell cycle arrest,4/108,234/18866,0.045559483,0.150388974,0.10877446,HSP90AB1/AURKA/CDK1/PRKACA,4
GO:0019058,viral life cycle,5/108,341/18866,0.046331166,0.151066518,0.109264519,HSP90AB1/CDHR3/CDK1/HAVCR1/HSPA8,5
GO:0016234,inclusion body,6/111,78/19559,5.37289e-06,0.00012089,7.87754e-05,HSP90AB1/HAP1/HDAC6/HTT/PSEN1/SQSTM1,6
GO:0030426,growth cone,8/111,184/19559,1.01875e-05,0.000188769,0.000123007,HSP90AB1/APP/HAP1/HSP90AA1/PAFAH1B1/PSEN1/TUBB3/YWHAE,8
GO:0030427,site of polarized growth,8/111,191/19559,1.33677e-05,0.000233935,0.000152439,HSP90AB1/APP/HAP1/HSP90AA1/PAFAH1B1/PSEN1/TUBB3/YWHAE,8
GO:0042470,melanosome,6/111,105/19559,2.97396e-05,0.000425817,0.000277475,HSP90AB1/HSP90AA1/HSP90B1/HSPA8/YWHAB/YWHAE,6
GO:0048770,pigment granule,6/111,105/19559,2.97396e-05,0.000425817,0.000277475,HSP90AB1/HSP90AA1/HSP90B1/HSPA8/YWHAB/YWHAE,6
GO:0150034,distal axon,9/111,309/19559,6.73096e-05,0.000883439,0.000575675,HSP90AB1/APP/HAP1/HSP90AA1/HSPA8/PAFAH1B1/PSEN1/TUBB3/YWHAE,9
GO:0034774,secretory granule lumen,9/111,322/19559,9.21993e-05,0.001075658,0.00070093,HSP90AB1/APP/CEP290/EEF1A1/HRNR/HSP90AA1/HSPA8/TUBB/TUBB4B,9
GO:0060205,cytoplasmic vesicle lumen,9/111,326/19559,0.000101259,0.001128465,0.000735341,HSP90AB1/APP/CEP290/EEF1A1/HRNR/HSP90AA1/HSPA8/TUBB/TUBB4B,9
GO:0031983,vesicle lumen,9/111,328/19559,0.000106062,0.001128465,0.000735341,HSP90AB1/APP/CEP290/EEF1A1/HRNR/HSP90AA1/HSPA8/TUBB/TUBB4B,9
GO:0101031,chaperone complex,3/111,25/19559,0.000373542,0.002941646,0.001916862,HSP90AB1/HSF1/HSPA8,3
GO:0044292,dendrite terminus,2/111,13/19559,0.002389978,0.013063725,0.008512703,HSP90AB1/HSP90AA1,2
GO:0101002,ficolin-1-rich granule,4/111,124/19559,0.005469842,0.024818899,0.016172716,HSP90AB1/EEF1A1/HSP90AA1/HSPA8,4
GO:1904813,ficolin-1-rich granule lumen,4/111,124/19559,0.005469842,0.024818899,0.016172716,HSP90AB1/EEF1A1/HSP90AA1/HSPA8,4
GO:0005774,vacuolar membrane,7/111,427/19559,0.010960869,0.0426256,0.02777608,HSP90AB1/AP5B1/EEF1A1/EEF1A2/HSPA8/PSEN1/YWHAB,7
GO:0044295,axonal growth cone,2/111,29/19559,0.011726419,0.044268884,0.028846892,HSP90AB1/HSP90AA1,2
GO:0008180,COP9 signalosome,2/111,36/19559,0.017734166,0.061387498,0.040001878,HSP90AB1/HSPA1L,2
GO:0005765,lysosomal membrane,6/111,375/19559,0.020112851,0.066312722,0.043211297,HSP90AB1/AP5B1/EEF1A1/EEF1A2/HSPA8/PSEN1,6
GO:0098852,lytic vacuole membrane,6/111,375/19559,0.020112851,0.066312722,0.043211297,HSP90AB1/AP5B1/EEF1A1/EEF1A2/HSPA8/PSEN1,6
GO:0045177,apical part of cell,6/111,433/19559,0.036966885,0.101257119,0.065982083,HSP90AB1/ANXA1/APP/CTNNB1/PSEN1/TUBG1,6
GO:0031253,cell projection membrane,5/111,344/19559,0.046392758,0.122804359,0.08002289,HSP90AB1/CDHR1/CTNNB1/EEF1A1/HHIP,5
GO:0005525,GTP binding,18/104,376/18352,3.59784e-12,2.23585e-10,1.57188e-10,HSP90AB1/EEF1A1/EEF1A2/TUBA1A/TUBA1B/TUBA1C/TUBA3C/TUBA3D/TUBA4A/TUBA4B/TUBB/TUBB2A/TUBB2B/TUBB3/TUBB4A/TUBB4B/TUBE1/TUBG1,18
GO:0032550,purine ribonucleoside binding,18/104,380/18352,4.29379e-12,2.23585e-10,1.57188e-10,HSP90AB1/EEF1A1/EEF1A2/TUBA1A/TUBA1B/TUBA1C/TUBA3C/TUBA3D/TUBA4A/TUBA4B/TUBB/TUBB2A/TUBB2B/TUBB3/TUBB4A/TUBB4B/TUBE1/TUBG1,18
GO:0001883,purine nucleoside binding,18/104,383/18352,4.89601e-12,2.23585e-10,1.57188e-10,HSP90AB1/EEF1A1/EEF1A2/TUBA1A/TUBA1B/TUBA1C/TUBA3C/TUBA3D/TUBA4A/TUBA4B/TUBB/TUBB2A/TUBB2B/TUBB3/TUBB4A/TUBB4B/TUBE1/TUBG1,18
GO:0032549,ribonucleoside binding,18/104,383/18352,4.89601e-12,2.23585e-10,1.57188e-10,HSP90AB1/EEF1A1/EEF1A2/TUBA1A/TUBA1B/TUBA1C/TUBA3C/TUBA3D/TUBA4A/TUBA4B/TUBB/TUBB2A/TUBB2B/TUBB3/TUBB4A/TUBB4B/TUBE1/TUBG1,18
GO:0001882,nucleoside binding,18/104,389/18352,6.34375e-12,2.48313e-10,1.74572e-10,HSP90AB1/EEF1A1/EEF1A2/TUBA1A/TUBA1B/TUBA1C/TUBA3C/TUBA3D/TUBA4A/TUBA4B/TUBB/TUBB2A/TUBB2B/TUBB3/TUBB4A/TUBB4B/TUBE1/TUBG1,18
GO:0019001,guanyl nucleotide binding,18/104,397/18352,8.89881e-12,2.70919e-10,1.90466e-10,HSP90AB1/EEF1A1/EEF1A2/TUBA1A/TUBA1B/TUBA1C/TUBA3C/TUBA3D/TUBA4A/TUBA4B/TUBB/TUBB2A/TUBB2B/TUBB3/TUBB4A/TUBB4B/TUBE1/TUBG1,18
GO:0032561,guanyl ribonucleotide binding,18/104,397/18352,8.89881e-12,2.70919e-10,1.90466e-10,HSP90AB1/EEF1A1/EEF1A2/TUBA1A/TUBA1B/TUBA1C/TUBA3C/TUBA3D/TUBA4A/TUBA4B/TUBB/TUBB2A/TUBB2B/TUBB3/TUBB4A/TUBB4B/TUBE1/TUBG1,18
GO:0044389,ubiquitin-like protein ligase binding,16/104,316/18352,2.76786e-11,7.58394e-10,5.33178e-10,HSP90AB1/AURKA/GSK3B/HDAC6/HGS/HIF1A/HSP90AA1/HSPA1L/HSPA8/PRKACA/PRKACB/PRKAR1A/SQSTM1/TUBA1B/TUBB/YWHAE,16
